Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
100601	7|Cast|10060101	0|Effect|FxR2ShenweiAttack01||1	7|Cast|10060103	8|Shake|3|0.1|-1|5|0.2|1																																																																												
100602	7|Cast|10060201	14|Cast|10060202	0|Effect|FxR2ShenweiAttack02||1	7|Cast|10060204	4|Shake|4|0.3|-1|5|0.2|0																																																																											
100603	7|Cast|10060301	0|Effect|FxR2ShenweiAttack03||1	8|Cast|10060303	8|Shake|3|0.2|-1|5|0.2|1																																																																												
100604	9|Cast|10060401	10|Shake|3|0.35|-1|8|0.5|1	10|Cast|10060403	0|Effect|FxR2ShenweiAttack04||1																																																																												
100605	9|Cast|10060501	10|Cast|10060502	0|Effect|FxR2ShenweiAttack11||1	0|Magic|100029|0	10|Shake|2|0.3|-1|6|0.5|1																																																																											
100606	9|Cast|10060601	10|Cast|10060602	0|Effect|FxR2ShenweiAttack11||1	0|Magic|100030|0	10|Shake|2|0.3|-1|6|0.5|1																																																																											
100607	10|Cast|10060701	11|Cast|10060703	0|Effect|FxR2ShenweiAttack13||1	0|Magic|100031|0	11|Shake|2|0.35|-1|6|0.5|2																																																																											
100608	0|Magic|100686|0	0|Magic|100029|0	0|Magic|100636|0	0|Effect|FxR2ShenweiAttack31||1	0|Magic|100638|0	2|Magic|100639|0	0|Shake|4|0.2|0|5|0.3|0	0|Magic|100678|0																																																																								
100609	0|Magic|100686|0	0|Magic|100030|0	0|Magic|100636|0	0|Effect|FxR2ShenweiAttack31||1	0|Magic|100638|0	2|Magic|100639|0	0|Shake|4|0.2|0|5|0.3|0	0|Magic|100678|0																																																																								
100610	0|Magic|100686|0	0|Magic|100031|0	0|Magic|100636|0	0|Effect|FxR2ShenweiAttack33||1	0|Magic|100638|0	2|Magic|100639|0	0|Shake|4|0.2|0|5|0.3|0	0|Magic|100678|0																																																																								
