Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
870101	11|Cast|87010101	13|Cast|87010102	12|Cast|87010103	0|Turn|550|0.65|1	0|Effect|FxMb1OsirisMd000001Attack01||1																																																																											
870102	13|Cast|87010201	14|Cast|87010202	13|Cast|87010203	0|Turn|550|0.65|1	0|Effect|FxMb1OsirisMd000001Attack02||1																																																																											
870103	11|Cast|87010301	18|Cast|87010302	36|Cast|87010303	13|Cast|87010304	37|Cast|87010305	0|Effect|FxMb1OsirisMd000001Attack03||1																																																																										
870104	7|Cast|87010401	18|Cast|87010402	7|Cast|87010403	0|Turn|550|0.35|1	0|Effect|FxMb1OsirisMd000001Attack05||1																																																																											
870105	19|Cast|87010501	26|Cast|87010502	19|Magic|870309|0	0|Turn|500|0.5|1	0|Cast|87010505																																																																											
870106	24|Cast|87010601	32|Cast|87010602	24|Cast|87010603	1|Effect|FxMb1OsirisMd000001Attack07||1																																																																												
870107	3|Cast|87010701	7|Cast|87010702	15|Cast|87010703	27|Cast|87010704	47|Cast|87010705	53|Cast|87010706	89|Cast|87010707	92|Cast|87010708	102|Cast|87010709	113|Cast|87010710	17|Magic|870111|0	23|Magic|870114|0	24|Magic|870115|0	0|Effect|FxMb1OsirisMd000001Attack08||1	0|Effect|FxMb1OsirisMd000001Attack08Bone121|Bone121|	0|Magic|870247|0	0|Cast|87010717	55|Cast|87010718	110|Magic|870252|0	53|Magic|870327|0																																																												
870108	23|Cast|87010801	22|Magic|870253|0	22|Magic|870141|0	0|Magic|870143|0																																																																												
870109	22|Cast|87010901																																																																															
870110	0|Cast|87011001																																																																															
870111	5|Cast|87011101	13|Cast|87011102	14|Cast|87011103	5|Move|30|0.4|10	0|Effect|FxMb1OsirisMd000001Attack1301||1	0|Effect|FxMb1OsirisMd000001Attack1302||1																																																																										
