Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
900101	41|Cast|90010101	1|Effect|||	1|Effect|||	1|Effect|||	1|Effect|||	1|Effect|||	1|Cast|90010107	39|Cast|90010108																																																																								
900102	54|Move|80|0.2|0	54|Cast|90010202	87|Cast|90010203	1|Effect|||	52|Cast|90010205																																																																											
900103	61|Cast|90010301	1|Effect|||	59|Cast|90010303																																																																													
900104	26|Cast|90010401	31|Cast|90010402	37|Cast|90010403	42|Cast|90010404	47|Cast|90010405	53|Cast|90010406	1|Effect|||	1|Effect|||	1|Effect|||	26|Cast|90010410																																																																						
900301	23|Cast|90030101	0|Effect|FxMo1BraveMd010031Attack01||1	8|Magic|730063|0	12|Effect|FxYubei02|HitCase|1																																																																												
900302	24|Cast|90030201	31|Cast|90030202	0|Effect|FxMo1BraveMd010031Attack02||1	11|Magic|730063|0	14|Effect|FxYubei02|HitCase|1																																																																											
900303	1|Cast|90030301|90030302|90030303|90030304																																																																															
900304	0|Turn|60|0.8|1	23|Cast|90030402	0|Effect|FxMo1BraveMd010031Attack03||1	13|Effect|FxYubei02|HitCase|1																																																																												
900305	1|Cast|90030501																																																																															
900306																																																																																
900901	26|Cast|90090101	0|Effect|FxMoActMd02Attack01||1	0|Cast|90090103	0|Turn|60|0.7|1	18|Cast|90090105	0|Cast|90090106	18|Cast|90090107																																																																									
900902	0|Effect|FxMoActMd02Attack0201||1	30|Cast|90090202																																																																														
901001	22|Cast|90100101	0|Effect|FxMoCaMd030010Attack01||1	21|Move|15|0.3|	8|Effect|FxYubei02|Head|1	9|Magic|730063|0	0|Cast|90100106	29|Magic|900025|0																																																																									
901002	0|Effect|FxMoCaMd030010Attack02||1	19|Cast|90100202	0|Cast|90100203																																																																													
901101	0|Effect|FxMe1BioMd030061Attack0101||1	17|Cast|90110102	0|Turn|20|0.7|1	0|Cast|90110107|90110110	1|Effect|FxYubei02|HitCase|1	1|Magic|700028|0	14|Cast|90110111																																																																									
