Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]
902301	1|Cast|90230101	1|Turn|60|999|	0|Effect|FxMo1JgrcMd000002Attack0103||1																																																																													
902302	16|Cast|90230201|90230202	0|Cast|90230203																																																																														
902303	1|Cast|90230301	0|Effect|FxMo1JgrcMd000002Attack0103||1	0|Turn|40|3|	60|Turn|-40|3|																																																																												
902304	1|Cast|90230401	1|Turn|60|999|	0|Cast|90230403																																																																													
902305																																																																																
902306																																																																																
902307																																																																																
902308																																																																																
902309																																																																																
902310																																																																																
902401	27|Cast|90240101	0|Effect|FxMe1DestroyerMd001001Attack01||1																																																																														
902402	27|Cast|90240201	0|Effect|FxMe1DestroyerMd001001Attack02||1	28|Magic|100002|0																																																																													
970501																																																																																
970502																																																																																
970503																																																																																
970601	20|Cast|97060101	0|Effect|FxMe1DestroyerMd001001Attack01||1																																																																														
970602	20|Cast|97060201	0|Effect|FxMe1DestroyerMd001001Attack02||1																																																																														
970603	50|Cast|97060301	0|Effect|FxMe1DestroyerMd001001Attack0302||1	0|Effect|FxMe1DestroyerMd001001Attack0301|Bone14|1	0|Effect|FxMe1DestroyerMd001001Attack0401|Bone12|1																																																																												
970701	34|Cast|97070101	40|Cast|97070102	46|Cast|97070103	51|Cast|97070104	56|Cast|97070105	0|Effect|FxMe1SwordMd002001Attack01||1																																																																										
970702	14|Cast|97070201	0|Effect|FxMe1SwordMd002001Attack02||1																																																																														
970703	21|Cast|97070301	0|Effect|FxMe1SwordMd002001Attack03||1																																																																														
970704	7|Move|100|0.2|0	0|Effect|FxMe1SwordMd002001Attack04||1																																																																														
970705	20|Cast|97070501	0|Effect|FxMe1SwordMd002001Attack05||1																																																																														
970706	21|Cast|97070601	0|Effect|FxMe1SwordMd002001Attack06||1																																																																														
970707	18|Magic|970004|0																																																																															
970708																																																																																
970709	27|Magic|970005|0																																																																															
