Id	LastSectionId	Activity	Weight	DifficultType	StageId	ModelId	NpcPic	Animation	Scene	CameraSetting[1]	CameraSetting[2]	CameraSetting[3]	Description[1]	Description[2]	Description[3]	SkillName[1]	SkillDes[1]	SkillName[2]	SkillDes[2]	SkillName[3]	SkillDes[3]	SkillName[4]	SkillDes[4]	SkillName[5]	SkillDes[5]	SkillName[6]	SkillDes[6]	SkillName[7]	SkillDes[7]	SkillName[8]	SkillDes[8]	SkillName[9]	SkillDes[9]	SkillName[10]	SkillDes[10]
3001	3001		100	1	20000101	Mb1OsirisMd000001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【近程装甲、进攻、辅助】的组队配置进行战斗	"注意吸引欧西里斯注意力,注意破坏处刑之眼"	<color=#ff5656>警告：大体型感染体，极度危险</color>	帝王	欧西里斯会攻击距离他最近的敌人	处刑	"欧西里斯会召唤处刑之眼,当处刑之眼充能结束会持续发射激光,处刑之眼霸体护盾存在期间获得巨额减伤"	沙暴	"欧西里斯召唤沙漠风暴,<color=#ff5656>沙漠风暴会持续吸引周边敌人</color>"														
6001	6001		100	2	20000102	Mb1OsirisMd000001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【近程装甲、进攻、辅助】的组队配置进行战斗	"注意吸引欧西里斯注意力,注意破坏处刑之眼"	<color=#ff5656>警告：大体型感染体，极度危险</color>	帝王	欧西里斯会攻击距离他最近的敌人	处刑	"欧西里斯会召唤处刑之眼,当处刑之眼充能结束会持续发射激光,处刑之眼霸体护盾存在期间获得巨额减伤"	沙暴	"欧西里斯召唤沙漠风暴,<color=#ff5656>沙漠风暴会持续吸引周边敌人</color>"														
9001	9001		100	3	20000103	Mb1OsirisMd000001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【近程装甲、进攻、辅助】的组队配置进行战斗	"注意吸引欧西里斯注意力,注意破坏处刑之眼"	<color=#ff5656>警告：大体型感染体，极度危险</color>	帝王	欧西里斯会攻击距离他最近的敌人	处刑	"欧西里斯会召唤处刑之眼,当处刑之眼充能结束会持续发射激光,处刑之眼霸体护盾存在期间获得巨额减伤"	沙暴	"欧西里斯召唤沙漠风暴,<color=#ff5656>沙漠风暴会持续吸引周边敌人</color>"														
12001	12001		100	4	20000104	Mb1OsirisMd000001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【近程装甲、进攻、辅助】的组队配置进行战斗	"注意吸引欧西里斯注意力,注意破坏处刑之眼"	<color=#ff5656>警告：大体型感染体，极度危险</color>	帝王	欧西里斯会攻击距离他最近的敌人	处刑	"欧西里斯会召唤处刑之眼,当处刑之眼充能结束会持续发射激光,处刑之眼霸体护盾存在期间获得巨额减伤"	沙暴	"欧西里斯召唤沙漠风暴,<color=#ff5656>沙漠风暴会持续吸引周边敌人</color>"	噩梦-审判	传说中欧西里斯还会召唤审判之眼，审判之眼充能完毕后世界将迎来终结												
6003	6003		100	2	20000302	Mb1LadyMd10001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、远程进攻、辅助】的组队配置进行战斗	注意躲避修女布道技能、注意消灭殉道者	<color=#ff5657>警告：极度危险，注意配合</color>	布道	修女在布道期间对周边环形区域造成持续伤害，并间断轰炸所有敌人受到严重伤害后退出布道	殉道	修女召唤殉道者追击敌人，殉道者会对身边环形区域造成持续伤害	异端	修女引爆手中能量对大范围敌人造成大量伤害	狂热	极大提升自身行动速度												
9003	9003		100	3	20000303	Mb1LadyMd10001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、远程进攻、辅助】的组队配置进行战斗	注意躲避修女布道技能、注意消灭殉道者	<color=#ff5658>警告：极度危险，注意配合</color>	布道	修女在布道期间对周边环形区域造成持续伤害，并持续轰炸所有敌人，受到严重伤害后退出布道	殉道	修女召唤殉道者追击敌人，殉道者会对身边环形区域造成持续伤害	异端	修女引爆手中能量对大范围敌人造成大量伤害	狂热	极大提升自身行动速度												
12003	12003		100	4	20000304	Mb1LadyMd10001	RoleStory.bossonline01			UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、远程进攻、辅助】的组队配置进行战斗	注意躲避修女布道技能、注意消灭殉道者	<color=#ff5659>警告：极度危险，注意配合</color>	布道	修女在布道期间对周边环形区域造成持续伤害，并持续轰炸所有敌人受到严重伤害后退出布道	殉道	修女召唤殉道者追击敌人，殉道者会对身边环形区域造成持续伤害	异端	修女引爆手中能量对大范围敌人造成大量伤害	狂热	极大提升自身行动速度												
50000	3001	1	100	1	20000401	Mb1LuosaitaMd010001	RoleStory.bossonline01		Assets/Product/Ui/Scene3DPrefab/UiOnlineBossScene1.prefab	UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、进攻、辅助】的组队配置进行战斗	不要远离罗塞塔	<color=#ff5656>警告：控制作战距离</color>	裂颅	罗塞塔蓄力重击造成严重伤害	冲锋	罗塞塔冲锋对沿途目标造成伤害																
50001	6001	1	100	2	20000402	Mb1LuosaitaMd010001	RoleStory.bossonline01		Assets/Product/Ui/Scene3DPrefab/UiOnlineBossScene1.prefab	UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、进攻、辅助】的组队配置进行战斗	不要远离罗塞塔	<color=#ff5656>警告：控制作战距离</color>	离子弹-聚爆	罗塞塔舞动长矛形成引力离子弹牵引周围目标并造成伤害	离子弹-散射	罗塞塔发射追踪离子弹对多个目标造成伤害	离子弹-十字	罗塞塔引爆十字斩对前方大范围造成伤害														
50002	9001	1	100	3	20000403	Mb1LuosaitaMd010002	RoleStory.bossonline01		Assets/Product/Ui/Scene3DPrefab/UiOnlineBossScene1.prefab	UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、进攻、辅助】的组队配置进行战斗	注意罗塞塔远程技能	<color=#ff5656>警告：控制作战距离</color>	歼灭模式	罗塞塔切换攻击模式提升机动性能，强化输出功率	离子弹-散射	罗塞塔发射追踪离子弹对单个目标造成伤害	离子剑风	罗塞塔扫出剑风对远距离目标造成伤害	输出超载	罗塞塔强化自身能量输出极大强化自身攻击速度												
50003	12001	1	100	4	20000404	Mb1LuosaitaMd010002	RoleStory.bossonline01		Assets/Product/Ui/Scene3DPrefab/UiOnlineBossScene1.prefab	UiFubenOnlineBoss2_1	UiFubenOnlineBoss2_2	UiFubenOnlineBoss2_3	以【装甲、进攻、辅助】的组队配置进行战斗	极地雷暴阶段注意分散	<color=#ff5656>警告：注意极地雷暴</color>	极地雷暴	罗塞塔跳至高空引动雷暴在场上所有目标周围形成巨量落雷	歼灭模式	罗塞塔切换攻击模式提升机动性能，强化输出功率	输出超载	罗塞塔强化自身能量输出极大强化自身攻击速度	噩梦-离子区域	"传说中极地雷暴会在地面留下离子区域,区域会形成罗塞塔的能量体,必须用自己的身体破坏地上离子区域的稳定性"												
