Id	TypeId[1]	TypeId[2]	TypeId[3]	TypeId[4]	TypeId[5]	TypeId[6]	TypeId[7]	TypeId[8]	TypeId[9]	TypeId[10]	AffixGroupId
1	300	-1	200	-1	-1						2
2	300	200	-1	-1	-1	-1	-1				1
3	300	-1	-1								4
4	400										13
31	300	201	-1								8
32	300	200	-1								8
33	301	200	-1								8
34	301	201	-1								8
61	300	201	-1	100	-1	-1					8
62	300	201	-1	101	-1	-1					8
63	300	200	-1	100	-1	-1					8
64	300	200	-1	101	-1	-1					8
65	301	201	-1	100	-1	-1					8
66	301	201	-1	101	-1	-1					8
67	301	200	-1	100	-1	-1					8
68	301	200	-1	101	-1	-1					8
101	400										13
301	200	100	-1								8
302	200	101	-1								9
311	201	100	-1								8
312	201	101	-1								9
401	300	201	-1	-1							8
402	300	200	-1	-1							9
403	300	-1	-1	101							10
411	301	200	-1	-1							8
412	301	201	-1	-1							9
413	301	-1	-1	100							10
501	300	201	-1	-1	-1						5
502	300	101	-1	-1	-1						8
503	300	-1	-1	101	-1						5
511	301	200	-1	-1	-1						5
512	301	100	-1	-1	-1						8
513	301	-1	-1	100	-1						5
601	300	201	-1	-1	-1	-1					5
602	300	101	-1	-1	-1	-1					8
603	300	201	-1	101	-1	-1					7
611	301	200	-1	-1	-1	-1					5
612	301	100	-1	-1	-1	-1					8
613	301	200	-1	100	-1	-1					7
701	300	101	-1	-1	-1	-1	-1				8
702	300	101	-1	-1	-1	-1	-1				9
703	300	201	-1	-1	101	-1	-1				5
711	301	100	-1	-1	-1	-1	-1				8
712	301	100	-1	-1	-1	-1	-1				9
713	301	200	-1	-1	100	-1	-1				6
901	100	-1	-1	-1	-1	-1	-1	-1	-1		4
800	301	100	-1								11
801	300	101	-1								11
810	301	201	-1								5
811	300	200	-1								5
812	300	303	-1	-1							4
813	301	304	-1	-1							4
802	301	100	-1	-1							10
803	300	101	-1	-1							10
804	300	100	-1	-1							10
805	303	101	-1	-1							11
806	304	100	-1	-1							11
807	300	100	-1	-1	-1	-1					11
808	301	101	-1	-1	-1	-1					11
