Id	NextStep	Mask	ConditionType	ConditionParam	CompleteType	CompleteParam	Effect	Arrow	UiName	IsFlow[1]	ListIndex[1]	FlowParam[1]	Target[1]	IsFlow[2]	ListIndex[2]	FlowParam[2]	Target[2]	IsFlow[3]	ListIndex[3]	FlowParam[3]	Target[3]	IsFlow[4]	ListIndex[4]	FlowParam[4]	Target[4]	RewardId	Record	IconPos	Icon	Name	Text
10101	10102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	终于跟你接上了！别的来不及解释，我带你了解一下连接员的基本操作。
10102	10103	1	3	10101	1	UiTask			UiMain	0			SafeAreaContentPane/BgView/Background/BtnLegion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	从这里查看伊甸给各部队的任务。
10103		1	6	PanelTaskStoryList	0				UiTask	1	98	Id	PanelTaskStoryList	0			BtnFinish										1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	选取已完成的任务。
10201	10202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	你已经提交了完成报告。现在来为队员更换一下【意识】装备。
10202	10203	1	3	10201	1	UiCharacter			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
10203	10204	1	3	10202	1	UiEquipAwarenessReplace			UiCharacter	0			BtnAwarenessReplace1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
10204	10205	1	6	PanelEquipScroll	1	UiEquipAwarenessPopup			UiEquipAwarenessReplace	1	3012001		PanelEquipScroll	0			@										0	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
10205		1	3	10204	0				UiEquipAwarenessPopup	0			BtnPutOn	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
10301	10302	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	【意识】装备也可以进行强化。
10302	10303	1	3	10301	1	UiCharacter			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
10303	10304	1	3	10302	1	UiEquipAwarenessReplace			UiCharacter	0			PanelAwareness1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
10304	10305	1	3	10205|10303	1	UiEquipAwarenessPopup			UiEquipAwarenessReplace	0			PanelPos1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	选择需要强化的【意识】装备。
10305	10306	1	3	10304	1	UiEquipDetail			UiEquipAwarenessPopup	0			BtnStrengthen	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	谜之少女	
