Id	Key	Text
0	Success	成功
1	Fail	失败
2	ServerInternalError	服务器异常，暂无法使用
3	ServiceUnavailable	当前服务未开放，暂无法使用
4	ParamsError	参数错误
5	Unknown	未知错误
1001	GateServerNotOpen	服务器暂未开放\n开服时间
1002	GateServerUpperLimit	服务器人数已达上限
1003	LoginApplicationVersionError	游戏版本号错误
1004	LoginDocumentVersionError	热更版本号错误
1005	LoginMd5Error	配置表差异，请重启更新
1006	LoginInvalidStatus	登录错误
1007	LoginInvalidLoginToken	账号已过期，请重新登录
1008	LoginInvalidUserId	账号不存在
1009	LoginAccessDenied	账号没有权限
1010	LoginLoadMemberFailed	加载数据失败
1011	LoginServiceInvalidLoginType	无效的登录方式
1012	LoginServiceInvalidToken	Token无效
1013	LoginServiceRetry	重试登录
1014	LoginServiceAlreadyLogin	玩家已登录
1015	LoginServiceInternalError	服务器错误
1016	LoginServiceCreateAccountFailed	创建账号失败
1017	LoginServiceEnterGameServerFailed	登录游戏失败
1018	LoginServiceLoadPlayerDataFailed	加载玩家数据失败
1019	LoginServiceUnknownError	发生未知错误
1020	LoginServiceMaxUserLimit	本次测试人数已达上限。敬请关注官网与官方微博微信，了解最新信息。
1021	RpcHandlerNotFound	无法找到Rpc
1022	RpcCooldownLimited	Rpc发送频率限制
1023	GateServerPlayerNotOffline	玩家不是离线状态
1024	GateServerForceLogoutByAnotherLogin	账号在其他地方登录
1025	GateServerKcpSessionAlreadyCreated	
1026	GameServerFullLoad	服务器已满员，请稍后再试
1027	KickOutByBanned	违规强制下线
1028	ReconnectInvalidToken	
1029	ReconnectPlayerLogout	
1030	ReconnectInvalidSeqNo	
10001	HeroUsdkLoginFail	账号登录失败
10002	HeroUsdkConnectSdkServerFail	连接账号服失败
10003	HeroUsdkUserIdIsEmpty	用户Id不能为空
10004	HeroUsdkTokenIsEmpty	token不能为空
3002001	DrawManagerInitDrawFail	抽卡信息初始化失败
3002002	DrawManagerInitDrawGroupFail	抽卡组信息初始失败
3002003	DrawManagerDrawAddAutoResetTimeIsNull	抽卡自动重置时间为空
3003001	PartManagerInitReadPartGradeTableFail	初始化部件等级表失败
3004001	EquipTemplateCompareStarFail	装备模板检查星星失败
3004002	EquipTemplateCompareBreakthroughFail	装备模板检查突破失败
3005001	CharacterTemplateCompareQulityFail	角色品质检查失败
3005002	CharacterTemplateCompareGradeFail	角色改造检查失败
20000001	PlayerForceLogoutByAnotherLogin	账号在其他地方登录
20000002	PlayerFunctionNotOpen	功能未开启
20000003	PlayerFunctionClose	系统已关闭
20000004	PlayerChangeDisplayCharIdCharIsNotOwned	尚未拥有此角色
20000005	PlayerMedalIsNotOwned	尚未拥有此勋章
20001001	PlayerManagerGetPlayerWithPlayerIdFail	通过玩家Id获取玩家失败
20001002	PlayerManagerGetPlayerNotFound	无法找到玩家信息
20002001	PlayerDataManagerGetPlayerMaxExpFail	获取玩家最大经验失败
20002002	PlayerDataManagerChangeNameTimeLimit	改名冷却中，还剩{0}时{1}分
20002003	PlayerDataManagerChangeNameInvalid	名字不符合规定，请重新检查
20002004	PlayerDataManagerChangeSignInvalid	签名不符合规定，请重新检查
