Id	CharacterId	Name	Icon	StoryId	UnlockLv	ConditionDescript	SectionNumber
1	1011002	里·异火·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140811	1	信赖度1级解锁	1
2	1011002	里·异火·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140812	2	信赖度2级解锁	2
3	1011002	里·异火·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140813	3	信赖度3级解锁	3
4	1011002	里·异火·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140814	4	信赖度4级解锁	4
5	1011002	里·异火·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140815	5	信赖度5级解锁	5
6	1011002	里·异火·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1140816	6	信赖度6级解锁	6
7	1021001	露西亚·红莲·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150111	1	信赖度1级解锁	1
8	1021001	露西亚·红莲·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150112	2	信赖度2级解锁	2
9	1021001	露西亚·红莲·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150113	3	信赖度3级解锁	3
10	1021001	露西亚·红莲·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150114	4	信赖度4级解锁	4
11	1021001	露西亚·红莲·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150115	5	信赖度5级解锁	5
12	1021001	露西亚·红莲·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1150116	6	信赖度6级解锁	6
13	1031001	丽芙·蚀暗·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150211	1	信赖度1级解锁	1
14	1031001	丽芙·蚀暗·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150212	2	信赖度2级解锁	2
15	1031001	丽芙·蚀暗·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150213	3	信赖度3级解锁	3
16	1031001	丽芙·蚀暗·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150214	4	信赖度4级解锁	4
17	1031001	丽芙·蚀暗·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150215	5	信赖度5级解锁	5
18	1031001	丽芙·蚀暗·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1150216	6	信赖度6级解锁	6
19	1041002	比安卡·零度·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150421	1	信赖度1级解锁	1
20	1041002	比安卡·零度·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150422	2	信赖度2级解锁	2
21	1041002	比安卡·零度·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150423	3	信赖度3级解锁	3
22	1041002	比安卡·零度·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150424	4	信赖度4级解锁	4
23	1041002	比安卡·零度·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150425	5	信赖度5级解锁	5
24	1041002	比安卡·零度·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1150426	6	信赖度6级解锁	6
25	1051001	七实·风暴·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150311	1	信赖度1级解锁	1
26	1051001	七实·风暴·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150312	2	信赖度2级解锁	2
27	1051001	七实·风暴·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150313	3	信赖度3级解锁	3
28	1051001	七实·风暴·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150314	4	信赖度4级解锁	4
29	1051001	七实·风暴·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150315	5	信赖度5级解锁	5
30	1051001	七实·风暴·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1150316	6	信赖度6级解锁	6
31	1061002	神威·重能·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150711	1	信赖度1级解锁	1
32	1061002	神威·重能·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150712	2	信赖度2级解锁	2
33	1061002	神威·重能·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150713	3	信赖度3级解锁	3
34	1061002	神威·重能·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150714	4	信赖度4级解锁	4
35	1061002	神威·重能·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150715	5	信赖度5级解锁	5
36	1061002	神威·重能·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1150716	6	信赖度6级解锁	6
37	1071002	卡列尼娜·爆裂·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140521	1	信赖度1级解锁	1
38	1071002	卡列尼娜·爆裂·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140522	2	信赖度2级解锁	2
39	1071002	卡列尼娜·爆裂·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140523	3	信赖度3级解锁	3
40	1071002	卡列尼娜·爆裂·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140524	4	信赖度4级解锁	4
41	1071002	卡列尼娜·爆裂·其之五	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140525	5	信赖度5级解锁	5
42	1071002	卡列尼娜·爆裂·其之六	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1140526	6	信赖度6级解锁	6
43	1081002	渡边·夜刃·其之一	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140711	1	信赖度1级解锁	1
44	1081002	渡边·夜刃·其之二	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140712	2	信赖度2级解锁	2
45	1081002	渡边·夜刃·其之三	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140713	3	信赖度3级解锁	3
46	1081002	渡边·夜刃·其之四	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1140714	4	信赖度4级解锁	4
