Id	CharacterId	Type	UnlockType	UnlockPara	Title	Content	Picture	ConditionDescript	PreviewPicture
1	1011002	1	1	2	异火的秘密1	对喜欢的东西一开始会有拆开来研究的冲动。		信赖度2级解锁	
2	1011002	1	1	2	异火的秘密2	战斗间隙的时间放松方式是快速拆卸重装枪械。		信赖度2级解锁	
3	1011002	1	1	3	异火的秘密3	擅长裁缝。		信赖度3级解锁	
4	1011002	1	1	3	异火的秘密4	对人类正装的种类和款式，穿着方式很有研究。		信赖度3级解锁	
5	1011002	1	1	4	异火的秘密5	对“哥哥”这个称呼有点在意。		信赖度4级解锁	
6	1011002	1	1	4	异火的秘密6	雷达能力仅次于丽芙，但实际上是个路痴。		信赖度4级解锁	
7	1011002	1	1	5	异火的秘密7	对人类的电子娱乐有兴趣，但是听说神威很喜欢后马上放弃了。		信赖度5级解锁	
8	1011002	1	1	5	异火的秘密8	认为自己的机械组装与拆卸风格是学院派，而七实是来乱派。		信赖度5级解锁	
9	1011002	1	1	6	异火的秘密9	偶尔会在武器上加上不切实际的新功能，例如开瓶器。		信赖度6级解锁	
10	1011002	1	1	6	异火的秘密10	但从来没有向任何人展示过新功能。		信赖度6级解锁	
21	1021001	1	1	2	红莲的秘密1	有很多条一模一样的红色围巾。		信赖度2级解锁	
22	1021001	1	1	2	红莲的秘密2	曾经想为指挥官做一顿饭，然后认真地炸了厨房。		信赖度2级解锁	
23	1021001	1	1	3	红莲的秘密3	使用红莲-双刀术会导致身体发热，体感近似于人类发烧。		信赖度3级解锁	
24	1021001	1	1	3	红莲的秘密4	头发是人造合成纤维，一般刀具无法弄断。		信赖度3级解锁	
25	1021001	1	1	4	红莲的秘密5	对物品的审美比较特别。		信赖度4级解锁	
26	1021001	1	1	4	红莲的秘密6	任务以外的时间里的沉默并不是在思考，而是在发呆。		信赖度4级解锁	
27	1021001	1	1	5	红莲的秘密7	莫名尊敬机体设计年纪稍长的构造体，比如比安卡，渡边。		信赖度5级解锁	
28	1021001	1	1	5	红莲的秘密8	认为丽芙是非常有潜力的。		信赖度5级解锁	
29	1021001	1	1	6	红莲的秘密9	无法理解七实在想什么。		信赖度6级解锁	
30	1021001	1	1	6	红莲的秘密10	无法招架卡列尼娜热情的攻势。		信赖度6级解锁	
41	1031001	1	1	2	蚀暗的秘密1	实际上并不喜欢被照顾。		信赖度2级解锁	
42	1031001	1	1	2	蚀暗的秘密2	在编入灰鸦前就听过露西亚的名字，非常仰慕她。		信赖度2级解锁	
43	1031001	1	1	3	蚀暗的秘密3	知道里一个人行动时偶尔会迷路这件事。		信赖度3级解锁	
44	1031001	1	1	3	蚀暗的秘密4	在雷达上搜索到特殊的目标物时，会给标记点起可爱的名字。		信赖度3级解锁	
45	1031001	1	1	4	蚀暗的秘密5	厚重的着装方式是模仿露西亚的。		信赖度4级解锁	
46	1031001	1	1	4	蚀暗的秘密6	曾经提心吊胆地在雷达上监控着里迷路两小时，最后看到对方回到正确路线上才松了一口气。		信赖度4级解锁	
47	1031001	1	1	5	蚀暗的秘密7	和其他队伍交涉时往往能获得有利的结果。		信赖度5级解锁	
48	1031001	1	1	5	蚀暗的秘密8	休整舱在露西亚左边。		信赖度5级解锁	
49	1031001	1	1	6	蚀暗的秘密9	觉得自己的逆元装置过于显眼，但在被露西亚夸奖了防护性能后改观了。		信赖度6级解锁	
50	1031001	1	1	6	蚀暗的秘密10	浮游装置偶尔会因失速掉落在地面，丽芙一般会偷偷用手捡起来。		信赖度6级解锁	
61	1041002	1	1	2	零度的秘密1	帽子靠隐藏的带子绑在了头上，战斗时不会掉下来。		信赖度2级解锁	
62	1041002	1	1	2	零度的秘密2	头发是卡列尼娜帮忙梳的。		信赖度2级解锁	
63	1041002	1	1	3	零度的秘密3	觉得自己胸部的缓冲垫太厚了，特别是跟卡列尼娜比较的时候。		信赖度3级解锁	
64	1041002	1	1	3	零度的秘密4	会因为胸口的扣子松开而分心。		信赖度3级解锁	
65	1041002	1	1	4	零度的秘密5	鞋子偶尔在跳跃落地时会打滑。		信赖度4级解锁	
66	1041002	1	1	4	零度的秘密6	袜子的花纹据说是构造体制造者的品位。		信赖度4级解锁	
67	1041002	1	1	5	零度的秘密7	出战前会默默的划十字祈祷。		信赖度5级解锁	
