Id	CharacterId	Name	CvId	UnlockLv	ConditionDescript	SoundType	IsShow
1	1011002	构造体加入	101001	1	信赖度1级解锁		1
2	1011002	升级	101006	1	信赖度1级解锁		1
3	1011002	晋升	101007	1	信赖度1级解锁		1
4	1011002	进化	101008	1	信赖度1级解锁		1
5	1011002	技能升级	101009	1	信赖度1级解锁		1
6	1011002	武器装备	101010	1	信赖度1级解锁		1
7	1011002	升级	101113	1	信赖度1级解锁	2	0
8	1011002	晋升	101114	1	信赖度1级解锁	4	0
9	1011002	进化	101115	1	信赖度1级解锁	3	0
10	1011002	技能升级	101116	1	信赖度1级解锁	5	0
11	1011002	武器装备	101117	1	信赖度1级解锁	6	0
12	1011002	编入队伍	101012	1	信赖度1级解锁	7	1
13	1011002	设为队长	101013	1	信赖度1级解锁	8	1
14	1011002	任务完成1	101014	1	信赖度1级解锁		1
15	1011002	任务完成2	101015	1	信赖度1级解锁		1
16	1011002	日常问候1	101016	1	信赖度1级解锁		1
17	1011002	日常问候2	101017	1	信赖度1级解锁		1
18	1011002	日常问候3	101019	2	信赖度2级解锁		1
19	1011002	日常问候4	101020	2	信赖度2级解锁		1
20	1011002	日常问候5	101021	2	信赖度2级解锁		1
21	1011002	日常问候6	101022	3	信赖度3级解锁		1
22	1011002	日常问候7	101023	3	信赖度3级解锁		1
23	1011002	日常问候8	101024	3	信赖度3级解锁		1
24	1011002	日常问候9	101025	5	信赖度5级解锁		1
25	1011002	日常问候10	101026	5	信赖度5级解锁		1
26	1011002	日常问候11	101027	5	信赖度5级解锁		1
27	1011002	日常问候12	101028	6	信赖度6级解锁		1
28	1011002	日常问候13	101029	6	信赖度6级解锁		1
29	1011002	日常问候14	101030	6	信赖度6级解锁		1
30	1011002	信赖度增加1	101031	1	信赖度1级解锁		1
31	1011002	信赖度增加2	101032	1	信赖度1级解锁		1
32	1011002	信赖度增加3	101033	3	信赖度3级解锁		1
33	1011002	信赖度增加4	101034	3	信赖度3级解锁		1
34	1011002	信赖度增加5	101035	5	信赖度5级解锁		1
35	1011002	信赖度增加6	101036	5	信赖度5级解锁		1
36	1011002	信赖度增加7	101037	6	信赖度6级解锁		1
37	1011002	信赖度增加8	101038	6	信赖度6级解锁		1
38	1011002	空闲1	101043	1	信赖度1级解锁		1
39	1011002	空闲2	101044	3	信赖度3级解锁		1
40	1011002	空闲3	101045	5	信赖度5级解锁		1
41	1011002	空闲4	101046	6	信赖度6级解锁		1
42	1011002	连接时间过长1	101047	1	信赖度1级解锁		1
43	1011002	连接时间过长2	101048	3	信赖度3级解锁		1
44	1011002	连接时间过长3	101049	5	信赖度5级解锁		1
45	1011002	连接时间过长4	101050	6	信赖度6级解锁		1
46	1011002	连接接入1	101051	1	信赖度1级解锁		1
47	1011002	连接接入2	101052	3	信赖度3级解锁		1
48	1011002	连接接入3	101053	5	信赖度5级解锁		1
49	1011002	连接接入4	101054	6	信赖度6级解锁		1
50	1011002	长时间未接入1	101055	1	信赖度1级解锁		1
51	1011002	长时间未接入2	101056	3	信赖度3级解锁		1
52	1011002	长时间未接入3	101057	5	信赖度5级解锁		1
53	1011002	长时间未接入4	101058	6	信赖度6级解锁		1
54	1011002	摇晃1	101059	1	信赖度1级解锁		1
55	1011002	摇晃2	101060	3	信赖度3级解锁		1
56	1011002	摇晃3	101061	5	信赖度5级解锁		1
57	1011002	摇晃4	101062	6	信赖度6级解锁		1
58	1011002	快速点击1	101063	1	信赖度1级解锁		1
59	1011002	快速点击2	101064	3	信赖度3级解锁		1
60	1011002	快速点击3	101065	5	信赖度5级解锁		1
61	1011002	快速点击4	101066	6	信赖度6级解锁		1
62	1011002	活跃度已满	101067	1	信赖度1级解锁		1
63	1011002	战胜归来	101068	1	信赖度1级解锁		1
64	1011002	队友归来	101069	1	信赖度1级解锁		1
65	1011002	战斗1	101151	1	信赖度1级解锁		1
66	1011002	战斗2	101152	1	信赖度1级解锁		1
67	1011002	战斗3	101153	1	信赖度1级解锁		1
68	1011002	必杀	101154	1	信赖度1级解锁		1
69	1011002	受伤	101155	1	信赖度1级解锁		1
70	1011002	危险警告	101156	1	信赖度1级解锁		1
71	1011002	力尽	101157	1	信赖度1级解锁		1
72	1011002	助战	101158	1	信赖度1级解锁		1
73	1011002	QTE	101159	1	信赖度1级解锁		1
74	1011002	战斗结束	101068	1	信赖度1级解锁		1
75	1021001	构造体加入	102001	1	信赖度1级解锁		1
76	1021001	升级	102006	1	信赖度1级解锁		1
77	1021001	晋升	102007	1	信赖度1级解锁		1
78	1021001	进化	102008	1	信赖度1级解锁		1
79	1021001	技能升级	102009	1	信赖度1级解锁		1
80	1021001	武器装备	102010	1	信赖度1级解锁		1
81	1021001	升级	102137	1	信赖度1级解锁	2	0
82	1021001	晋升	102138	1	信赖度1级解锁	4	0
83	1021001	进化	102139	1	信赖度1级解锁	3	0
84	1021001	技能升级	102140	1	信赖度1级解锁	5	0
85	1021001	武器装备	102141	1	信赖度1级解锁	6	0
86	1021001	编入队伍	102012	1	信赖度1级解锁	7	1
87	1021001	设为队长	102013	1	信赖度1级解锁	8	1
88	1021001	任务完成1	102014	1	信赖度1级解锁		1
89	1021001	任务完成2	102015	1	信赖度1级解锁		1
90	1021001	任务完成3	102017	2	信赖度2级解锁		1
91	1021001	任务完成4	102018	2	信赖度2级解锁		1
92	1021001	任务完成5	102020	3	信赖度3级解锁		1
93	1021001	任务完成6	102021	3	信赖度3级解锁		1
94	1021001	任务完成7	102022	5	信赖度5级解锁		1
95	1021001	任务完成8	102023	5	信赖度5级解锁		1
96	1021001	任务完成9	102024	6	信赖度6级解锁		1
97	1021001	任务完成10	102025	6	信赖度6级解锁		1
98	1021001	日常问候1	102026	1	信赖度1级解锁		1
99	1021001	日常问候2	102027	1	信赖度1级解锁		1
100	1021001	日常问候3	102028	1	信赖度1级解锁		1
101	1021001	日常问候4	102029	1	信赖度1级解锁		1
102	1021001	日常问候5	102030	2	信赖度2级解锁		1
103	1021001	日常问候6	102031	2	信赖度2级解锁		1
104	1021001	日常问候7	102032	2	信赖度2级解锁		1
105	1021001	日常问候8	102033	3	信赖度3级解锁		1
106	1021001	日常问候9	102034	3	信赖度3级解锁		1
107	1021001	日常问候10	102035	3	信赖度3级解锁		1
108	1021001	日常问候11	102036	4	信赖度4级解锁		1
109	1021001	日常问候12	102037	4	信赖度4级解锁		1
110	1021001	日常问候13	102038	4	信赖度4级解锁		1
111	1021001	日常问候14	102039	5	信赖度5级解锁		1
112	1021001	日常问候15	102040	5	信赖度5级解锁		1
113	1021001	日常问候16	102041	5	信赖度5级解锁		1
114	1021001	日常问候17	102042	6	信赖度6级解锁		1
115	1021001	日常问候18	102043	6	信赖度6级解锁		1
116	1021001	日常问候19	102044	6	信赖度6级解锁		1
117	1021001	信赖提升1	102045	1	信赖度1级解锁		1
118	1021001	信赖提升2	102046	1	信赖度1级解锁		1
119	1021001	信赖提升3	102047	2	信赖度2级解锁		1
120	1021001	信赖提升4	102048	2	信赖度2级解锁		1
121	1021001	信赖提升5	102049	3	信赖度3级解锁		1
122	1021001	信赖提升6	102050	3	信赖度3级解锁		1
123	1021001	信赖提升7	102051	5	信赖度5级解锁		1
124	1021001	信赖提升8	102052	5	信赖度5级解锁		1
125	1021001	信赖提升9	102053	6	信赖度6级解锁		1
126	1021001	信赖提升10	102054	6	信赖度6级解锁		1
127	1021001	空闲1	102059	1	信赖度1级解锁		1
128	1021001	空闲2	102060	2	信赖度2级解锁		1
129	1021001	空闲3	102061	4	信赖度4级解锁		1
130	1021001	空闲4	102062	6	信赖度6级解锁		1
131	1021001	连接时间过长1	102063	1	信赖度1级解锁		1
132	1021001	连接时间过长2	102064	2	信赖度2级解锁		1
133	1021001	连接时间过长3	102065	4	信赖度4级解锁		1
