Id	Question	Answer	Time	Weight	Difficult
1	1|22|333	23212332	6	3	1
2	11|222|333	22211333	6	3	1
3	111|22|33	33111221	6	3	1
4	2|33|11	13211233	6	3	1
5	22|1|333	13332213	6	3	1
6	222|111|33	33111222	6	3	1
7	3|111|22	22311132	6	3	1
8	33|22|11	11233122	6	3	1
9	333|22|11	21223331	6	3	1
10	1|2|333	33123133	6	3	1
11	1|22|333	23212332	5	2	2
12	11|222|333	22211333	5	2	2
13	111|22|33	33111221	5	2	2
14	2|33|11	13211233	5	2	2
15	22|1|333	13332213	5	2	2
16	222|111|33	33111222	5	2	2
17	3|111|22	22311132	5	2	2
18	33|22|11	11233122	5	2	2
19	333|22|11	21223331	5	2	2
20	1|2|333	33123133	5	2	2
21	1|22|333	23212332	4	1	3
22	11|222|333	22211333	4	1	3
23	111|22|33	33111221	4	1	3
24	2|33|11	13211233	4	1	3
25	22|1|333	13332213	4	1	3
26	222|111|33	33111222	4	1	3
27	3|111|22	22311132	4	1	3
28	33|22|11	11233122	4	1	3
29	333|22|11	21223331	4	1	3
30	1|2|333	33123133	4	1	3
