Key	Type	Value
ConnectTimeout	int	10000
ReconnectInterval	int	3000
GameServerPingInterval	int	10
SyncServerListInterval	int	10000
VerificationWaitInterval	int	30000
FriendRecommendationInterval	int	10
RemoveChatRecordOfDay	int	7
WorldChatMaxSize	int	200
RoomChatMaxSize	int	50
AcfFile	string	External/Criware/Punishing_CRIProject.acf
GraphicDefaultLevel	int	2
GraphicLowFps	int	40
GraphicHighFps	int	58
GraphicCheckFpsInterval	int	10
GraphicDefaultMode	int	0
BossSingleMaxRanCount	int	99
BossSingleAnimaTime	float	2.2
BossOnlineInvadeDelay	int	5500
BossOnlineInvadeInterval	int	100
BossOnlineInvadeWait	int	1500
BossOnlineInvadeDescCount	int	5
BossOnlineInvadeEffectUrl	string	Assets/Product/Ui/ComponentPrefab/UiOnlineBoss/Donghua.prefab
PrivateChatTextLimit	int	50
WorldChatTextLimit	int	50
UiGridFurnitureControlLimit	int	100
UiFurnitureReformDefaultBaseType	int	1
UiFubenCoinSkillDuration	float	1
UiFubenPanelTabDuration	float	1
FxUiKeJinHua	string	Assets/Product/Effect/Prefab/FxUi/FxUiCharacter/FxUiKeJinHua.prefab
FxUiJihuo	string	Assets/Product/Effect/Prefab/FxUi/FxUiCharacter/FxUiJihuo.prefab
FxUiEquipReform	string	Assets/Product/Effect/Prefab/FxUi/FxUiCharacter/FxUiEquipReform.prefab
FxUi008	string	FxUi008
KcpNoDelay	int	1
KcpInterval	int	10
KcpResend	int	1
KcpNc	int	1
KcpSndWndSize	int	256
KcpRcvWndSize	int	256
KcpMtu	int	470
SignBoardPlayInterval	int	6
SignBoardWaitInterval	int	60
SignBoardClickInterval	float	0.2
SignBoardDelayInterval	float	0.5
SignBoardMultClickCountLimit	int	4
NewPlayerTaskExpId	int	20
NewPlayerTaskSmallSize	int	90
NewPlayerTaskBigSize	int	95
AffixLevel2	string	Assets/Product/Texture/Image/IconAffix/2.png
AffixLevel3	string	Assets/Product/Texture/Image/IconAffix/3.png
UiGridChapterMoveMinX	int	-500
UiGridChapterMoveMaxX	int	-300
UiGridChapterMoveTargetX	int	-400
UiGridChapterMoveDuration	float	0.5
RebootFree	string	<size=60>免费</size>
SettleRewardAnimationDelay	int	1500
SettleRewardAnimationInterval	int	250
DormDraftShopId	int	3
FurnitureInvestmentIncreaseStep	int	1
FurnitureCostEnough	string	#26BFFF
FurnitureCostNotEnough	string	#ff0000
DormCharacterTouchLength	int	120000
DormCharacterWaterGunTime	int	5
DormCharacterPlayTime	int	6
DormPutOnAnimaTime	float	0.6
DormDetailDisppearTime	int	2000
DormDraftDistance	int	2
ExhibitionShowDetailMinScale	float	0.7
ExhibitionDetailFadeTime	float	0.5
ExhibitionDetailZoomTime	float	0.5
DefaultDormTargetAngle	int	45
DefaultAllowYAxis	int	1
ExploreShowDetailMinScale	float	0.7
ExploreDetailFadeTime	float	0.5
DormFurnitureInteractCD	int	180
DormFurnitureInteractDistance	int	10
DormCharacterInteractCD	int	180
DormCharacterInteractDistance	int	5
DormCharacterInteractMinDistance	int	2
DormCharacterTouchCD	float	3
DormCharacterTouchProportion	float	0.2
AreanShopId	int	2001
PurChaseGiftTips	int	1
FavorabilityDelaySecond	int	400
AudioManagerAssetUrl	string	Assets/Product/Common/AudioManager.prefab
MovieSettingAssetUrl	string	Assets/Product/Movie/Data/MovieSetting.asset
HomeMapAssetUrl	string	Assets/Product/Common/HomeMapManager.prefab
HomeGridColorDefaultAssetUrl	string	Assets/Product/Scene/SuShe/GridColorSO/XDefaultGridColor.asset
HomeGridColorGreenAssetUrl	string	Assets/Product/Scene/SuShe/GridColorSO/XGreenGridColor.asset
HomeGridColorRedAssetUrl	string	Assets/Product/Scene/SuShe/GridColorSO/XRedGridColor.asset
HomeGridColorInteractAssetUrl	string	Assets/Product/Scene/SuShe/GridColorSO/XInteractGridColor.asset
HomeGridColorBlueAssetUrl	string	Assets/Product/Scene/SuShe/GridColorSO/XBlueGridColor.asset
HomeSceneSoAssetUrl	string	Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOsushe003.asset
SuShe003	string	Assets/Product/Scene/ScenePrefab/sushe003.prefab
EquipBreakThroughBig0	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughBig0.png
EquipBreakThroughBig1	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughBig1.png
EquipBreakThroughBig2	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughBig2.png
EquipBreakThroughBig3	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughBig3.png
EquipBreakThroughBig4	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughBig4.png
EquipBreakThroughSmall1	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughSmall1.png
EquipBreakThroughSmall2	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughSmall2.png
EquipBreakThroughSmall3	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughSmall3.png
EquipBreakThroughSmall4	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThroughSmall4.png
EquipBreakThrough0	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThrough0.png
EquipBreakThrough1	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThrough1.png
EquipBreakThrough2	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThrough2.png
EquipBreakThrough3	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThrough3.png
EquipBreakThrough4	string	Assets/Product/Texture/Atlas/UIEquipNew/EquipBreakThrough4.png
CommonBagWhite	string	Assets/Product/Texture/Atlas/Common/CommonBagWhite.png
CommonBagGreed	string	Assets/Product/Texture/Atlas/Common/CommonBagGreed.png
CommonBagBlue	string	Assets/Product/Texture/Atlas/Common/CommonBagBlue.png
CommonBagPurple	string	Assets/Product/Texture/Atlas/Common/CommonBagPurple.png
CommonBagGold	string	Assets/Product/Texture/Atlas/Common/CommonBagGold.png
CommonBagRed	string	Assets/Product/Texture/Atlas/Common/CommonBagRed.png
UiMainPitchOn	string	Assets/Product/Texture/Image/UiMain/MainPoint1.png
UiMainPitchOff	string	Assets/Product/Texture/Image/UiMain/MainPoint2.png
UiBagItemRed	string	Assets/Product/Texture/Atlas/UiBag/BagTag5Days.png
UiBagItemYellow	string	Assets/Product/Texture/Atlas/UiBag/BagTagHangse.png
UiBagItemBlue	string	Assets/Product/Texture/Atlas/UiBag/BagTagHuishou.png
UiBagItemGreen	string	Assets/Product/Texture/Atlas/UiBag/BagTagMax.png
DefaultPortraitImagePath	string	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png
RoomDefaultSoPath	string	Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOsushe003DormDefault.asset
MissionQuality1	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality1.png
MissionQuality2	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality2.png
MissionQuality3	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality3.png
MissionQuality4	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality4.png
MissionQuality5	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality5.png
TaskDailyActiveReach1	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach1.png
TaskDailyActiveReach2	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach2.png
TaskDailyActiveReach3	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach3.png
TaskDailyActiveReach4	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach4.png
TaskDailyActiveReach5	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach5.png
TaskDailyActiveNotReach1	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach1.png
TaskDailyActiveNotReach2	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach2.png
TaskDailyActiveNotReach3	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach3.png
