Id	FurnitureType	AttrMinScore[1]	AttrMinScore[2]	AttrMinScore[3]	AttrMaxScore[1]	AttrMaxScore[2]	AttrMaxScore[3]	Quality
1	25001	0	0	0	199	199	199	2
2	25001	200	200	200	249	249	249	3
3	25001	250	250	250	299	299	299	4
4	25001	300	300	300	425	425	425	5
5	25002	0	0	0	199	199	199	2
6	25002	200	200	200	249	249	249	3
7	25002	250	250	250	299	299	299	4
8	25002	300	300	300	425	425	425	5
9	25003	0	0	0	199	199	199	2
10	25003	200	200	200	249	249	249	3
11	25003	250	250	250	299	299	299	4
12	25003	300	300	300	425	425	425	5
13	25004	0	0	0	199	199	199	2
14	25004	200	200	200	249	249	249	3
15	25004	250	250	250	299	299	299	4
16	25004	300	300	300	425	425	425	5
17	25005	0	0	0	199	199	199	2
18	25005	200	200	200	249	249	249	3
19	25005	250	250	250	299	299	299	4
20	25005	300	300	300	425	425	425	5
21	25006	0	0	0	199	199	199	2
22	25006	200	200	200	249	249	249	3
23	25006	250	250	250	299	299	299	4
24	25006	300	300	300	425	425	425	5
25	25007	0	0	0	199	199	199	2
26	25007	200	200	200	249	249	249	3
27	25007	250	250	250	299	299	299	4
28	25007	300	300	300	425	425	425	5
29	25008	0	0	0	79	79	79	2
30	25008	80	80	80	99	99	99	3
31	25008	100	100	100	149	149	149	4
32	25008	150	150	150	215	215	215	5
33	25009	0	0	0	79	79	79	2
34	25009	80	80	80	99	99	99	3
35	25009	100	100	100	149	149	149	4
36	25009	150	150	150	215	215	215	5
37	25010	0	0	0	79	79	79	2
38	25010	80	80	80	99	99	99	3
39	25010	100	100	100	149	149	149	4
40	25010	150	150	150	215	215	215	5
41	25011	0	0	0	119	119	119	2
42	25011	120	120	120	149	149	149	3
43	25011	150	150	150	199	199	199	4
44	25011	200	200	200	285	285	285	5
45	25012	0	0	0	39	39	39	2
46	25012	40	40	40	64	64	64	3
47	25012	50	50	50	89	89	89	4
48	25012	100	100	100	145	145	145	5
49	1	600	600	600	999	999	999	2
50	1	2000	2000	2000	2999	2999	2999	3
51	1	3000	3000	3000	6499	6499	6499	4
52	1	6500	6500	6500	24000	24000	24000	5
