Id	GroupId	GroupName	GroupLogo	GroupDescription	CharacterId	HeadPortrait	GraduationPortrait	Port
1	1	灰鸦小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1021001	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	1
2	1	灰鸦小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1031001	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	2
3	2	灰鸦小队·中级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1021002	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4S.png	3
4	2	灰鸦小队·中级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1011002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	4
5	2	灰鸦小队·中级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1031002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4S.png	5
6	3	灰鸦小队·高级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	0			6
7	3	灰鸦小队·高级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1011003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4SS.png	7
8	3	灰鸦小队·高级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1031003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4SS.png	8
9	4	突击鹰小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	1061002	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	9
10	4	突击鹰小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	1061003	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4SS.png	10
11	4	突击鹰小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	0			11
12	4	突击鹰小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	0			12
13	5	三头犬小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon004.png	空中花园执行者部队下属三头犬小队，擅长执行地面作战任务。	0			13
14	6	无从属	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	空中花园数据库未查询到该势力相关信息。	1051001	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	14
15	6	无从属	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	空中花园数据库未查询到该势力相关信息。	1051003	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4SS.png	15
16	7	清理部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	空中花园清理部队，主要负责清理战场及追捕叛逃构造体的工作。	1041002	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	16
17	7	清理部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	空中花园清理部队，主要负责清理战场及追捕叛逃构造体的工作。	0			17
18	8	工程部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	空中花园工程部队，主要负责军事及战后城市的工程建设。	1071002	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	18
19	8	工程部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	空中花园工程部队，主要负责军事及战后城市的工程建设。	1071003	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4SS.png	19
20	9	艺术协会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	空中花园艺术协会，聚集着各流派知名艺术家，保存着人类史上所有已记录的艺术作品，被标榜为未来艺术诞生的摇篮。	1091002	Assets/Product/Texture/Image/RolePlayer/RoleHeadAila1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadAila4.png	20
21	10	升格者	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon009.png	能够完全驾驭帕弥什病毒的组织，其余信息不明。	1021003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa4SS.png	21
22	10	升格者	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon009.png	能够完全驾驭帕弥什病毒的组织，其余信息不明。	0			22
23	11	遗忘者	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon010.png	大撤退时期由被抛弃者和不愿离开地球者组成的军事组织，对空中花园充满敌意。	1081002	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	23
