Id	Type	Order	Models[0]	Models[1]	Models[2]	Intensity	FadeIn	FadeOut	Params[0]	Params[1]
1	1	1	1	1	1	0	0	0.1	#FFFFFFFF	2
2	2	1	1	1	1	1	1	1		
3	3	1	1	1	1	1	1	1		
4	1	1	1	1	1	1	0.1	0.1	#C0C0C0	2
5	1	1	1	1	1	1	0	0	#00FF00	2
6	1	1	1	1	1	1	0	0	#FF0000	2
7	1	1	1	1	1	1	0	0	#0000FF	2
8	1	1	1	1	1	1	0	0	#FFFF00	2
9	1	1	1	1	1	0.2	0.5	0.1	#FF0000	2
10	1	1	1	1	1	0.8	0.5	0.1	#FF0000	2
11	1	1	1	1	1	1.5	0.5	0.1	#FF0000	2
12	1	1	1	1	1	2.2	0.5	0.1	#FF0000	2
13	1	1	1	1	1	1	0.5	0.1	#FF0000	2
14	1	1	1	1	1	1	0.5	0.1	#FFFFFF	2
15	1	1	1	1	1	1	0.5	0.1	#DC143C	3
16	1	1	1	1	1	1	0.5	0.1	#1E90FF	4
17	1	1	1	1	1	1	0.5	0.1	#800080	5
18	1	1	1	1	1	1	0.5	0.1	#32CD32	6
19	1	1	1	1	1	1	0.5	0.1	#87CEFA	6
100098	4	1	1	1	1	1	0.5	0.5	#858484FF	2.5
760519	1	1	1	1	1	1	0.1	0.1	#FF9F00	1
