ModelId	Quality
"iPad1,1"	3
"iPad2,1"	3
"iPad2,2"	3
"iPad2,3"	3
"iPad2,4"	3
"iPad3,1"	3
"iPad3,2"	3
"iPad3,3"	3
"iPad3,4"	3
"iPad3,5"	3
"iPad3,6"	3
"iPad4,1"	3
"iPad4,2"	3
"iPad4,3"	3
"iPad5,3"	3
"iPad5,4"	3
"iPad6,7"	3
"iPad6,8"	3
"iPad6,3"	3
"iPad6,4"	3
"iPad6,11"	3
"iPad6,12"	3
"iPad7,1"	3
"iPad7,2"	3
"iPad7,3"	3
"iPad7,4"	3
"iPad7,5"	3
"iPad7,6"	3
"iPad8,1"	3
"iPad8,2"	3
"iPad8,3"	3
"iPad8,4"	3
"iPad8,5"	3
"iPad8,6"	3
"iPad8,7"	3
"iPad8,8"	3
"iPad2,5"	3
"iPad2,6"	3
"iPad2,7"	3
"iPad4,4"	3
"iPad4,5"	3
"iPad4,6"	3
"iPad4,7"	3
"iPad4,8"	3
"iPad4,9"	3
"iPad5,1"	3
"iPad11,2"	3
"iPad11,1"	3
"iPad5,2"	3
"iPad11,4"	3
"iPad11,3"	3
"iPhone1,1"	0
"iPhone1,2"	0
"iPhone2,1"	0
"iPhone3,1"	0
"iPhone3,2"	0
"iPhone3,3"	0
"iPhone4,1"	0
"iPhone5,1"	0
"iPhone5,2"	0
"iPhone5,3"	0
"iPhone5,4"	0
"iPhone6,1"	1
"iPhone6,2"	1
"iPhone7,2"	2
"iPhone7,1"	2
"iPhone8,1"	2
"iPhone8,2"	2
"iPhone8,4"	2
"iPhone9,1"	2
"iPhone9,3"	2
"iPhone9,2"	2
"iPhone9,4"	2
"iPhone10,1"	3
"iPhone10,4"	3
"iPhone10,2"	3
"iPhone10,5"	3
"iPhone10,3"	3
"iPhone10,6"	3
"iPhone11,8"	3
"iPhone11,2"	3
"iPhone11,4"	3
"iPhone11,6"	3
