Id	Name	Function	Describe	IsShowCourse	ImageAsset[1]	ImageAsset[2]	ImageAsset[3]	ImageAsset[4]	ImageAsset[5]	ImageAsset[6]	ImageAsset[7]
10001	意识营救战	Trial	这里是意识营救战的图文教程\n意识营救战会产出大量的高级意识，请指挥官积极参与。\n这里能稳定产出高级意识。	1	Assets/Product/Texture/Image/UiHelp/UiHelpTrial1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpTrial2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpTrial3.jpg				
10002	人物培养	Character	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter6.jpg	
10003	武器培养	EquipWeapon	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpArms1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms6.jpg	
10004	意识培养	EquipAwareness	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpWafer1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer6.jpg	
10005	赛利卡补习班	Practice	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpPractice1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPractice2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPractice3.jpg				
10006	幻痛囚笼	BossSingle	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle6.jpg	
10007	纷争战区	Arena	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpArena1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena7.jpg
10008	黄金之涡	Explore	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpExplore1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore5.jpg		
10009	宿舍	Dorm	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpDorm1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm5.jpg		
10010	巴别塔计划	BabelTower	1、巴别塔计划一共分为5关，每关共有4个阶段，每关前3个阶段为指定战略目标组合的挑战，成功挑战前3阶段后可以解锁自选阶段。自选阶段中可以自由选择战略目标组合\n\n2、关卡内分为【环境情报】、【战略目标】和【支援模组】三个部分影响战斗\n※环境情报：战斗中的环境词缀，本关内的挑战会受到环境词缀的影响\n※战略目标：战斗中的难度词缀，选中的词缀会加入到关卡环境中增加战斗挑战性\n※支援模组：援助战斗的增益词缀，选中的词缀会辅助构造体进行关卡战斗\n\n3、每次挑战成功后挑战使用的构造体将被锁定，被锁定的构造体不能在其他关卡中使用。玩家可以通过【清除记录】或者【恢复记录】更改角色的使用状态\n※清除记录：清除关卡获得的战略等级，同时解除构造体的锁定状态\n※恢复记录：将关卡恢复回上次通关的状态，重新获得对应的战略等级，通关角色重新锁定\n\n4、根据每关挑战中选择的战略目标组合会获得对应的战略等级分数，单关战略等级或总战略等级达到挑战任务要求后可以获得奖励。	2							
