Id	AttrIds[1]	AttrIds[2]	AttrIds[3]	FurnitureMaterials[1]	FurnitureMaterials[2]	FurnitureMaterials[3]	DefaultMaterial	FurnitureFx[1]	FurnitureFx[2]	FurnitureFx[3]	DefaultFurnitureFx	FurnitureIcons[1]	FurnitureIcons[2]	FurnitureIcons[3]	DefaultFurnitureIcon
8511003	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basistrays/Materials/BasistraysR001.mat	Assets/Product/Scene/SuShe/Furniture/Basistrays/Materials/Basistrays001.mat	Assets/Product/Scene/SuShe/Furniture/Basistrays/Materials/BasistraysB001.mat	Assets/Product/Scene/SuShe/Furniture/Basistrays/Materials/BasistraysG001.mat	Assets/Product/Effect/Prefab/FxSushe/FxSusheBasistrays001R.prefab	Assets/Product/Effect/Prefab/FxSushe/FxSusheBasistrays001Y.prefab	Assets/Product/Effect/Prefab/FxSushe/FxSusheBasistrays001B.prefab	Assets/Product/Effect/Prefab/FxSushe/FxSusheBasistrays001W.prefab	Assets/Product/Texture/Image/IconTools/IconDormBasistraysR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasistrays001.png	Assets/Product/Texture/Image/IconTools/IconDormBasistraysB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasistraysG001.png
8511004	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basisteatable/Materials/BasisteatableR001.mat	Assets/Product/Scene/SuShe/Furniture/Basisteatable/Materials/Basisteatable001.mat	Assets/Product/Scene/SuShe/Furniture/Basisteatable/Materials/BasisteatableB001.mat	Assets/Product/Scene/SuShe/Furniture/Basisteatable/Materials/BasisteatableG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasisteatableR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisteatable001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisteatableB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisteatableG001.png
8510005	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basiscabinet/Materials/BasiscabinetR001.mat	Assets/Product/Scene/SuShe/Furniture/Basiscabinet/Materials/Basiscabinet001.mat	Assets/Product/Scene/SuShe/Furniture/Basiscabinet/Materials/BasiscabinetB001.mat	Assets/Product/Scene/SuShe/Furniture/Basiscabinet/Materials/BasiscabinetG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasiscabinetR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiscabinet001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiscabinetB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiscabinetG001.png
8612005	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basiscable/Materials/BasiscableR001.mat	Assets/Product/Scene/SuShe/Furniture/Basiscable/Materials/Basiscable001.mat	Assets/Product/Scene/SuShe/Furniture/Basiscable/Materials/BasiscableB001.mat	Assets/Product/Scene/SuShe/Furniture/Basiscable/Materials/BasiscableG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasiscableR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiscable001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiscableB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiscableG001.png
8612006	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basisairconditioning/Materials/BasisairconditioningR001.mat	Assets/Product/Scene/SuShe/Furniture/Basisairconditioning/Materials/Basisairconditioning001.mat	Assets/Product/Scene/SuShe/Furniture/Basisairconditioning/Materials/BasisairconditioningB001.mat	Assets/Product/Scene/SuShe/Furniture/Basisairconditioning/Materials/BasisairconditioningG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioningR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioning001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioningB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioningG001.png
8612007	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basiswindow/Materials/BasiswindowR001.mat	Assets/Product/Scene/SuShe/Furniture/Basiswindow/Materials/Basiswindow001.mat	Assets/Product/Scene/SuShe/Furniture/Basiswindow/Materials/BasiswindowB001.mat	Assets/Product/Scene/SuShe/Furniture/Basiswindow/Materials/BasiswindowG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasiswindowR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiswindow001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiswindowB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasiswindowG001.png
8508002	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basisstool/Materials/BasisstoolR001.mat	Assets/Product/Scene/SuShe/Furniture/Basisstool/Materials/Basisstool001.mat	Assets/Product/Scene/SuShe/Furniture/Basisstool/Materials/BasisstoolB001.mat	Assets/Product/Scene/SuShe/Furniture/Basisstool/Materials/BasisstoolG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasisstoolR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisstool001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisstoolB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasisstoolG001.png
8404002	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basissofa/Materials/BasissofaR001.mat	Assets/Product/Scene/SuShe/Furniture/Basissofa/Materials/Basissofa001.mat	Assets/Product/Scene/SuShe/Furniture/Basissofa/Materials/BasissofaB001.mat	Assets/Product/Scene/SuShe/Furniture/Basissofa/Materials/BasissofaG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasissofaR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasissofa001.png	Assets/Product/Texture/Image/IconTools/IconDormBasissofaB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasissofaG001.png
8508003	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basischair/Materials/BasischairR001.mat	Assets/Product/Scene/SuShe/Furniture/Basischair/Materials/Basischair001.mat	Assets/Product/Scene/SuShe/Furniture/Basischair/Materials/BasischairB001.mat	Assets/Product/Scene/SuShe/Furniture/Basischair/Materials/BasischairG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasischairR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasischair001.png	Assets/Product/Texture/Image/IconTools/IconDormBasischairB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasischairG001.png
8407005	20	20	20	Assets/Product/Scene/SuShe/Furniture/Basistable/Materials/BasistableR001.mat	Assets/Product/Scene/SuShe/Furniture/Basistable/Materials/Basistable001.mat	Assets/Product/Scene/SuShe/Furniture/Basistable/Materials/BasistableB001.mat	Assets/Product/Scene/SuShe/Furniture/Basistable/Materials/BasistableG001.mat					Assets/Product/Texture/Image/IconTools/IconDormBasistableR001.png	Assets/Product/Texture/Image/IconTools/IconDormBasistable001.png	Assets/Product/Texture/Image/IconTools/IconDormBasistableB001.png	Assets/Product/Texture/Image/IconTools/IconDormBasistableG001.png
