Id	RoleId	ConditionId	ConditionParam	Content	CvId	FaceId	ActionId	Duration	Weight	Validity	CoolTime	FavorLimit	ShowButton	ActivityId	ShowTime
1001	1021001	10001	1	露西亚随时听候您的调遣。	102069		BoardAct0101	3	1	-1	-1	1|6	1|2		
1002	1021001	10001	1	我会让自己变得更强，所以请您不要勉强自己。	102038		BoardAct0201	6	1	-1	-1	1|6	1|2		
1003	1021001	10001	1	只要有你在，无论是怎样的未来我都无所畏惧。	102043		BoardAct0301	6	1	-1	-1	1|6	1|2		
1005	1021001	120	-1	露西亚随时听候您的调遣。	102069		BoardAct0101	3	1	-1	-1	1|6	1|2		
1008	1021001	2	-1	好像对指挥官更加了解了				4	1	-1	-1	1|6	1|2		
2001	1031001	10001	1	请您放心去休息，我会辅佐露西亚守护好基地。	103018		BoardAct0401	7	1	-1	-1	1|6	1|2		
2002	1031001	10001	1	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	103022		BoardAct0601	5	1	-1	-1	1|6	1|2		
2005	1031001	120	-1	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	103022		BoardAct0601	5	1	-1	-1	1|6	1|2		
2006	1031001	2	-1	您身上还有很多值得我分析的地方				4	1	-1	-1	1|6	1|2		
2009	1031003	10001	1	一片黑暗的地球并不值得留念，所以我希望把她恢复成充满光明的星球。	103082		BoardAct0201	9	1	-1	-1	1|6	1|2		
2010	1031003	10001	1	今天的作战计划需要我帮忙吗？	103085		BoardAct0202	4	1	-1	-1	1|6	1|2		
2011	1031003	10001	1	身处黑暗也无需害怕，我会带着你一起前行。	103087		BoardAct0203	8	1	-1	-1	1|6	1|2		
2015	1031003	120	-1	今天的作战计划需要我帮忙吗？	103085		BoardAct0202	4	1	-1	-1	1|6	1|2		
2016	1031003	2	-1	我是无法讨厌你的。				4	1	-1	-1	1|6	1|2		
3001	1011002	10001	1	不错，活着回来了。	101069		BoardAct0401	5	1	-1	-1	1|6	1|2		
3002	1011002	10001	1	准备开始新一天的作战了，指挥官。	101051		BoardAct0101	4	1	-1	-1	1|6	1|2		
3003	1011002	10001	1	这次的外出任务需要这么久吗？	101055		BoardAct0301	6	1	-1	-1	1|6	1|2		
3005	1011002	120	-1	准备开始新一天的作战了，指挥官。	101051		BoardAct0101	4	1	-1	-1	1|6	1|2		
3006	1011002	2	-1	跟你相处比上一个指挥官来得轻松一点，也不是坏事				4	1	-1	-1	1|6	1|2		
4001	1061002	10001	1	指挥官——什么时候再带我出去任务啊——！	106019		BoardAct0201	6	1	-1	-1	1|6	1|2		
4002	1061002	10001	1	一想到能和你并肩战斗，我就觉得浑身都充满了力量~	106022		BoardAct0202	6	1	-1	-1	1|6	1|2		
4003	1061002	10001	1	我还挺想体验一下人类的饥饿感……不过我们只要有能源就好，也挺方便不是吗？	106017		BoardAct0203	8	1	-1	-1	1|6	1|2		
4005	1061002	120	-1	指挥官——什么时候再带我出去任务啊——！	106019		BoardAct0201	6	1	-1	-1	1|6	1|2		
4006	1061002	2	-1	嗯嗯，我们是好兄弟！				4	1	-1	-1	1|6	1|2		
4011	1061003	10001	1	你有好好吃饭吗？等会儿如果饿了我们可没有东西给你吃。	106070		BoardAct0201	7	1	-1	-1	1|6	1|2		
4012	1061003	10001	1	你是我见过的最奇特的指挥官……不过我不讨厌，嘿嘿~	106073		BoardAct0202	9	1	-1	-1	1|6	1|2		
4013	1061003	10001	1	如今的地球在夜晚看不到星星，有这个闲心看，不如多思考一下明天的战斗。	106071		BoardAct0203	7	1	-1	-1	1|6	1|2		
4015	1061003	120	-1	你有好好吃饭吗？等会儿如果饿了我们可没有东西给你吃。	106070		BoardAct0201	6	1	-1	-1	1|6	1|2		
4016	1061003	2	-1	我从书本上学到一个词，叫男闺蜜，是用来形容我的吗？				4	1	-1	-1	1|6	1|2		
5001	1071002	10001	1	快给我把日程安排好。	107016		BoardAct0201	3	1	-1	-1	1|6	1|2		
5002	1071002	10001	1	我能找到除了战斗以外，更加意义重大的事物吗？	107022		BoardAct0202	6	1	-1	-1	1|6	1|2		
5003	1071002	10001	1	我为什么讨厌露西亚？因为她很强……不，什么都没有！	107019		BoardAct0203	6	1	-1	-1	1|6	1|2		
5005	1071002	120	-1	快给我把日程安排好。	107016		BoardAct0201	3	1	-1	-1	1|6	1|2		
5006	1071002	2	-1	想让我更厉害？那就让我战斗吧。				4	1	-1	-1	1|6	1|2		
10001	1071003	10001	1	早点休息对你有好处，不听我的你就等着吃亏吧。	107070		BoardAct0201	7	1	-1	-1	1|6	1|2		
10002	1071003	10001	1	你带领的队伍都是这样傻兮兮的吗？	107072		BoardAct0202	4	1	-1	-1	1|6	1|2		
10003	1071003	10001	1	我会变得更强大，让你觉得我在你身边是理所应当的。	107075		BoardAct0203	7	1	-1	-1	1|6	1|2		
10005	1071003	120	-1	我会变得更强大，让你觉得我在你身边是理所应当的。	107075		BoardAct0203	7	1	-1	-1	1|6	1|2		
10006	1071003	2	-1	想让我更厉害？那就让我战斗吧。				4	1	-1	-1	1|6	1|2		
6001	1081002	10001	1	我会守着这里的，一旦有异常发生立刻通知你。	108018		BoardAct0201	7	1	-1	-1	1|6	1|2		
6002	1081002	10001	1	你身上蕴含着超越规则的力量，非常强大。	108025		BoardAct0202	7	1	-1	-1	1|6	1|2		
6003	1081002	10001	1	夜晚黑暗又漫长，我知道的。	108021		BoardAct0203	6	1	-1	-1	1|6	1|2		
6005	1081002	120	-1	我会守着这里的，一旦有异常发生立刻通知你。	108018		BoardAct0201	6	1	-1	-1	1|6	1|2		
6006	1081002	2	-1	以往的指挥官，好像不会做到这个地步……				4	1	-1	-1	1|6	1|2		
7001	1041002	10001	1	现在的我就是灰鸦小队一员，以最普通的态度面对我就好。	104019		BoardAct0201	9	1	-1	-1	1|6	1|2		
7011	1041002	10001	1	信仰吗？这是不知不觉的东西，请别介意。	104020		BoardAct0202	6	1	-1	-1	1|6	1|2		
7012	1041002	10001	1	到补充能量的时间了，指挥官阁下请按时补充。	104017		BoardAct0203	6	1	-1	-1	1|6	1|2		
7014	1041002	120	-1	现在的我就是灰鸦小队一员，以最普通的态度面对我就好。	104019		BoardAct0201	9	1	-1	-1	1|6	1|2		
7015	1041002	2	-1	和指挥官阁下共事，非常舒心。				4	1	-1	-1	1|6	1|2		
8001	1051001	10001	1	我和其他人都不同哦？你多看看我不就弄明白了。	105023		BoardAct0201	6	1	-1	-1	1|6	1|2		
8002	1051001	10001	1	灰鸦小队是七实第一个小队呢。	105020		BoardAct0202	6	1	-1	-1	1|6	1|2		
8003	1051001	10001	1	七实呢，或许会有一天突然就不见了也说不定，所以，请你一定要记得我。	105026		BoardAct0203	9	1	-1	-1	1|6	1|2		
8005	1051001	120	-1	我和其他人都不同哦？你多看看我不就弄明白了。	105023		BoardAct0201	6	1	-1	-1	1|6	1|2		
8007	1051001	2	-1	总觉得和你在一起，我好像也变成人类了呢……				4	1	-1	-1	1|6	1|2		
9001	1011003	10001	1	没事做的话就去锻炼一下自己的精神能力。	101072		BoardAct0201	5	1	-1	-1	1|6	1|2		
9002	1011003	10001	1	你很闲？那和我来一场训练赛怎么样？	101076		BoardAct0202	5	1	-1	-1	1|6	1|2		
9003	1011003	10001	1	你说的话我都会记住的，无论是命令，还是其他的话。	101081		BoardAct0203	7	1	-1	-1	1|6	1|2		
9005	1011003	120	-1	你很闲？那和我来一场训练赛怎么样？	101076		BoardAct0202	6	1	-1	-1	1|6	1|2		
9006	1011003	2	-1	嗯……其实我也并不排斥这样。				4	1	-1	-1	1|6	1|2		
12001	1051003	10001	1	不要总是在七实面前进食嘛！好想吃……	105069		BoardAct0201	5	1	-1	-1	1|6	1|2		
12002	1051003	10001	1	人类对于我来说是神秘的存在~那七实也想成为一个对于人类来说神秘的存在~	105071		BoardAct0202	10	1	-1	-1	1|6	1|2		
12003	1051003	10001	1	七实还是最喜欢人类了——！	105073		BoardAct0203	4	1	-1	-1	1|6	1|2		
12005	1051003	120	-1	七实还是最喜欢人类了——！	105073		BoardAct0203	4	1	-1	-1	1|6	1|2		
12006	1051003	2	-1	总觉得和你在一起，我好像也变成人类了呢……				4	1	-1	-1	1|6	1|2		
13001	1021002	10001	1	早上好指挥官，请继续为了收复地球而努力。	102026		BoardAct0201	7	1	-1	-1	1|6	1|2		
13002	1021002	10001	1	我会让自己变得更强，所以请您不要勉强自己。	102038		BoardAct0202	7	1	-1	-1	1|6	1|2		
13003	1021002	10001	1	只要有你在，无论是怎样的未来我都无所畏惧。	102043		BoardAct0203	6	1	-1	-1	1|6	1|2		
13004	1021002	120	-1	早上好指挥官，请继续为了收复地球而努力。	102026		BoardAct0201	7	1	-1	-1	1|6	1|2		
13005	1021002	2	-1	好像对指挥官更加了解了				4	1	-1	-1	1|6	1|2		
14001	1031002	10001	1	请您放心去休息，我会辅佐露西亚守护好基地。	103018		BoardAct0201	6	1	-1	-1	1|6	1|2		
14002	1031002	10001	1	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	103022		BoardAct0202	6	1	-1	-1	1|6	1|2		
14003	1031002	10001	1	嗯？你是怕黑吗？那……丽芙再陪你一会儿吧！	103031		BoardAct0203	7	1	-1	-1	1|6	1|2		
14004	1031002	120	-1	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	103022		BoardAct0202	6	1	-1	-1	1|6	1|2		
14005	1031002	2	-1	您身上还有很多值得我分析的地方				4	1	-1	-1	1|6	1|2		
15001	1021003	10001	1	没什么要紧事的话，可以出战了，指挥官。	102091		BoardAct0201	6	1	-1	-1	1|6	1|2		
15002	1021003	10001	1	只要我还没有报废，战场永远都是我最后的归宿。	102096		BoardAct0202	7	1	-1	-1	1|6	1|2		
15003	1021003	10001	1	放心吧，战场上我会保护你的。	102101		BoardAct0203	5	1	-1	-1	1|6	1|2		
15004	1021003	120	-1	没什么要紧事的话，可以出战了，指挥官。	102091		BoardAct0201	6	1	-1	-1	1|6	1|2		
15005	1021003	2	-1	放心吧，战场上我会保护你的。				4	1	-1	-1	1|6	1|2		
16001	1081003	10001	1	我希望在未来，这片土地上会开放你我都喜欢的花——请加油吧。	108072		BoardAct0201	7	1	-1	-1	1|6	1|2		
16002	1081003	10001	1	至少夜晚的星空，还是很值得看的，前提是乌云都散开的话。	108073		BoardAct0202	8	1	-1	-1	1|6	1|2		
16003	1081003	10001	1	规矩是我定的，那自然也该由我来打破。	108076		BoardAct0203	5	1	-1	-1	1|6	1|2		
16004	1081003	120	-1	我希望在未来，这片土地上会开放你我都喜欢的花——请加油吧。	108072		BoardAct0201	7	1	-1	-1	1|6	1|2		
16005	1081003	2	-1	只要你觉得好就可以。				4	1	-1	-1	1|6	1|2		
17001	1091002	10001	1	笑容是很重要的！	109009		BoardAct0201	3	1	-1	-1	1|6	1|2		
17002	1091002	10001	1	和艾拉一起创作的感觉怎么样？很棒对吧！	109011		BoardAct0202	5	1	-1	-1	1|6	1|2		
17003	1091002	10001	1	这个广阔的世界，正是最适合我的画布！	109010		BoardAct0203	5	1	-1	-1	1|6	1|2		
17004	1091002	120	-1	笑容是很重要的！	109009		BoardAct0201	3	1	-1	-1	1|6	1|2		
17005	1091002	2	-1	指挥官原来这么会讨女孩子欢心吗……要用什么来回报你呢？				4	1	-1	-1	1|6	1|2		
