Key	Text
HeroSdkLoginFailed	用户账号登录失败
CommonNotOpen	暂未开放
TeamManagerCheckCaptainNil	队长不能为空
EquipLevelUpItemEmpty	请选择材料
EquipLevelUpMaxLevel	已达到等级上限
EquipLevelUpItemNotEnough	材料不足
EquipFunctionNotOpen	暂未开放
EquipBreakMax	已突破最大次数
EquipBreakMinLevel	等级不足，无法突破
EquipBreakItemNotEnough	材料不足
EquipBreakCoinNotEnough	螺母不足
EquipResonanceSelectWeapon	选择消耗武器
EquipResonanceSelectAwareness	选择消耗意识
EquipWithSpecialCharacterIdCanNotBeReplaced	专属武器不可交换使用
EquipBreakThroughPopUpAttrPrefix	每级{0}成长
EquipSuitSkillPrefix2	二件套
EquipSuitSkillPrefix4	四件套
EquipSuitSkillPrefix6	六件套
EquipResonanceNotOwnCharacter	没有这个角色不能共鸣
EquipAwakenNot	<color=#FF0000FF>绿蓝品质</color>的装备不可觉醒
EquipReformNot	<color=#FF0000FF>绿蓝品质</color>的装备不可改造
EquipAwakenMax	已觉醒到最高等级
EquipAwakenItemNotEnough	材料不足
EquipAwakenCoinNotEnough	螺母不足
EquipAutoTakeOffNotWearingEquip	当前没有可卸下的装备
EquipBreakthroughConfirmTiltle	装备突破确认
EquipBreakthroughConfirmContent	突破后提升等级，可大幅度提升属性。
EquipBreakThroughDes0	暂无
EquipBreakThroughDes1	突破1
EquipBreakThroughDes2	突破2
EquipBreakThroughDes3	突破3
EquipBreakThroughDes4	突破4
CharacterManagerItemNotEnough	材料不足
CharacterManagerCoinNotEnough	螺母不足
CharacterCheckTeamNil	队伍不能为空
CharacterNotOpen	暂未开放
CharacterMaxLevelLimit	已达等级上限
CharacterPromotePartNotEnoughCoin	<color=#FF0000FF>进阶消耗螺母 {0}</color>
CharacterPromotePartEnoughCoin	消耗螺母： {0}
CharacterPromotePartEnoughCoin02	<color=#0F70BCFF>消耗螺母： {0}</color>
CharacterGradeSufix	{0}阶
CharacterGradeSufix02	<color=#FF0000FF>{0}阶</color>
CharacterPromotePartLevelLimit	能力提升失败，角色等级不足
CharacterPromotePartItemLimit	能力提升失败，条件不足
CharacterPromotePartCoinLimit	能力提升失败，螺母不足
CharacterPromoteGradeConditionTitle	<color=#0F70BCFF>晋升需要4项能力达到：</color>
CharacterPromoteGradeTitle	进阶消耗螺母
CharacterGradeMax	已进阶到最高级
CharacterUpgradeSkillConditionTitle	条件：
CharacterUpgradeSkillConsumeTitle	需要：
CharacterUpgradeSkillConsumeSkillPoint	技能点
CharacterUpgradeSkillConsumeCoin	螺母
CostCoin	消耗螺母:
CharacterUpgradeSkillConditionLevel	角色等级达到{0}
CharacterUpgradeSkillConditionQuality	角色进化至{0}
CharacterUpgradeSkillConditionGrade	角色晋升为{0}
CharacterSkillMax	已升级到最高级
FightAssistClose	支援信号已关闭
FightAssistOpen	已向最近的小队发出支援请求
CharacterUngradeSkillCoinNotEnough	螺母不足
CharacterUngradeSkillSkillPointNotEnough	技能点不足
CharacterUngradeSkillLevelLimit	角色等级不足
CharacterUngradeSkillQualityLimit	角色品质不足
CharacterUngradeSkillGradeLimit	角色改造不足
CharacterUngradeSkillComplete	成功升级技能
CharacterUnlockSkillComplete	成功解锁技能
CharacterUnlockNewCharacter	解锁新构造体
CharacterUpgradeComplete	晋升成功
CharacterLiberateShouldFollowOrder	需先解放上一个等级
CharacterLiberateSuccess	{0}解放达成
CharacterResonanceSkillDes	等级：{0} + {1}
CharacterFullName	{0} · {1}
CharacterUnowenedIntroduce	<size=40>{0}</size>·<size=40>{1}</size><size=26>   {2}</size>
CharacterLackDps	缺少{0}名进攻型角色
CharacterLackTank	缺少{0}名装甲型角色
CharacterLackCure	缺少{0}名辅助型角色
TipTitle	提示
