Index	Attrib	Name
1	Life	生命
2	Energy	能量
3	RunSpeed	跑速度
4	WalkSpeed	走速度
5	TurnRoundSpeed	转身角速度
6	BallInterval	出球间隔
7	DamageNormalImmunity	普通伤害免疫
8	DamageMagicImmunity	元素伤害免疫
9	AntiDamageNormalImmunity	反普通伤害免疫
10	AntiDamageMagicImmunity	反元素伤害免疫
11	AttackNormal	攻击
12	AttackMagic1	火元素攻击
13	AttackMagic2	雷元素攻击
14	AttackMagic3	冰元素攻击
15	AttackMagic4	暗元素攻击
16	AttackMagicEnd	
17	AntiAttackNormal	反普通攻击
18	AntiAttackMagic1	反火元素攻击
19	AntiAttackMagic2	反雷元素攻击
20	AntiAttackMagic3	反冰元素攻击
21	AntiAttackMagic4	反暗元素攻击
22	AntiAttackMagicEnd	
23	DefenseNormal	防御
24	AntiDefenseNormal	反普通防御
25	DamageChangeP	总伤害加深率
26	DamageNormalChangeP	普通伤害加深率
27	DamageMagic1ChangeP	火元素伤害加深率
28	DamageMagic2ChangeP	雷元素伤害加深率
29	DamageMagic3ChangeP	冰元素伤害加深率
30	DamageMagic4ChangeP	暗元素伤害加深率
31	DamageMagicChangePEnd	
32	AntiDamageChangeP	反总伤害加深率
33	AntiDamageNormalChangeP	反普通伤害加深率
34	AntiDamageMagic1ChangeP	反火元素伤害加深率
35	AntiDamageMagic2ChangeP	反雷元素伤害加深率
36	AntiDamageMagic3ChangeP	反冰元素伤害加深率
37	AntiDamageMagic4ChangeP	反暗元素伤害加深率
38	AntiDamageMagicChangePEnd	
39	DamagePBegin	
40	Damage1P	机械伤害率
41	Damage2P	异能伤害率
42	Damage3P	生物伤害率
43	DamagePEnd	
44	Crit	会心
45	CritP	暴击率
46	CritDamageP	暴击伤害率
47	AntiCritP	反暴击率
48	AntiCritDamageP	反暴击伤害率
49	Lifesteal	吸血
50	LifestealP	吸血率
51	CureChangeP	治疗加深率
52	AntiCureChangeP	反治疗加深率
53	Endure	霸体值
54	ThreatRateP	仇恨加深率
55	DodgeEnergy	闪避能量值
56	DodgeEnergyAutoRecovery	闪避能量自动回复（能量值/秒）
57	CustomEnergy	自定义能量值
58	End	
