Id	PoolId	Weight	AttribId	AttribGrowRateId	Icon	Name	Description	MaxAttribDesc
1	1	100	1010210		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	攻击+10	
2	1	100	1010211		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	防御+10	
3	1	100	1010212		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	生命+200	
4	1	100	1010213		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	暴击+10	
5	2	100		500	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	攻击+2.5%	
6	2	100		501	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	防御+1%	
7	2	100		502	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	暴击+10%	
8	2	100		503	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	生命+5%	
9	2	100		504	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	属性池1	生命+5%	
10	3	100		501	攻击+2.5%	(Max+5%)		
11	3	100		502	防御+1%	(Max+8%)		
12	3	100		503	暴击+10%	(Max+15%)		
13	3	100		504	生命+5%	(Max+10%)		
14	3	100	9		攻击+10	(Max+15)		
15	3	100	9		防御+10	(Max+15)		
16	3	100	9		生命+200	(Max+300)		
17	3	100	9		暴击+10	(Max+15)		
18	3	100		501	攻击+2.5%	(Max+5%)		
19	3	100		502	防御+1%	(Max+8%)		
20	5	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-1	攻击+30、会心+30	
21	5	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-1	攻击+30、会心+30	
22	8	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-2	攻击+30、会心+30	
23	8	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-2	攻击+30、会心+30	
24	9	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-3	攻击+30、会心+30	
25	9	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-3	攻击+30、会心+30	
26	6	100	201001		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingZhuangjiaqianghua.png	战术调整-初	生命+50、攻击+10	
27	6	100	201003		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingmixingdong.png	精密行动-初	生命+50、会心+10	
28	6	100	201004		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingChuliqiangji.png	出力强化-初	攻击+10、防御+15	
29	6	100	201005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-初	攻击+10、会心+10	
30	7	100	202001		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingZhuangjiaqianghua.png	战术调整-高	生命+75、攻击+15	
31	7	100	202003		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingmixingdong.png	精密行动-高	生命+75、会心+15	
32	7	100	202004		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingChuliqiangji.png	出力强化-高	攻击+15、防御+23	
33	7	100	202005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	精确攻击-高	攻击+15、会心+15	
