Id	RunSpeed	WalkSpeed	TurnRoundSpeed	Life	AttackNormal	DefenseNormal	Crit	AntiDefenseNormal	AttackMagic1	AttackMagic2	AttackMagic3	AttackMagic4	CritP	AntiDamageMagicImmunity	AntiAttackNormal	AntiAttackMagic1	AntiAttackMagic2	AntiAttackMagic3	AntiAttackMagic4	DamageChangeP	DamageNormalChangeP	DamageMagic1ChangeP	DamageMagic2ChangeP	DamageMagic3ChangeP	DamageMagic4ChangeP	AntiDamageChangeP	AntiDamageNormalChangeP	AntiDamageMagic1ChangeP	AntiDamageMagic2ChangeP	AntiDamageMagic3ChangeP	AntiDamageMagic4ChangeP	Energy	BallInterval	DamageNormalImmunity	DamageMagicImmunity	AntiDamageNormalImmunity	Damage1P	Damage2P	Damage3P	CritDamageP	AntiCritP	AntiCritDamageP	Lifesteal	LifestealP	CureChangeP	AntiCureChangeP	Endure	ThreatRateP	DodgeEnergy	DodgeEnergyAutoRecovery
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	2500	10	5	1.5	0.5	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
101	0	0	0	80000	100	300	0	10	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0
2004	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
2005	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7001	0	0	0	400	5	1	0	0.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
7002	0	0	0	500	6	1	0	0.5	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
7003	0	0	0	400	5	1	0	0.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
7004	0	0	0	500	5	1	0	0.5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
7005	0	0	0	600	6	1	0	0.5	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
