Id	AttribTypes[1]	Values[1]	AttribTypes[2]	Values[2]	AttribTypes[3]	Values[3]	AttribTypes[4]	Values[4]	AttribTypes[5]	Values[5]	AttribTypes[6]	Values[6]	AttribTypes[7]	Values[7]	AttribTypes[8]	Values[8]
100	1	-0.8	11	-0.8	23	-0.8	44	-0.8	12	-0.8	13	-0.8	14	-0.8	15	-0.8
101	1	-0.6	11	-0.6	23	-0.6	44	-0.6	12	-0.6	13	-0.6	14	-0.6	15	-0.6
102	1	-0.4	11	-0.4	23	-0.4	44	-0.4	12	-0.4	13	-0.4	14	-0.4	15	-0.4
103	1	-0.2	11	-0.2	23	-0.2	44	-0.2	12	-0.2	13	-0.2	14	-0.2	15	-0.2
104	1	-0.1	11	-0.1	23	-0.1	44	-0.1	12	-0.1	13	-0.1	14	-0.1	15	-0.1
105	1	0.01	11	0.01	23	0.01	44	0.01	12	0.01	13	0.01	14	0.01	15	0.01
106	1	0.03	11	0.03	23	0.03	44	0.03	12	0.03	13	0.03	14	0.03	15	0.03
107	1	0.05	11	0.05	23	0.05	44	0.05	12	0.05	13	0.05	14	0.05	15	0.05
108	1	0.1	11	0.1	23	0.1	44	0.1	12	0.1	13	0.1	14	0.1	15	0.1
109	1	0.2	11	0.2	23	0.2	44	0.2	12	0.2	13	0.2	14	0.2	15	0.2
