Id	CharacterId	RewardId	HeadPortrait	LevelId	ConditionIds[0]	ConditionIds[1]	ConditionIds[2]
1	1021001	2004	9000001	1	40006001	40006002	
2	1021001	2004	9000002	2	40006001	40006002	
3	1021001	2004	9000003	3	40006001	40006002	40006003
4	1031001	2004	9000004	1	40006001	40006002	
5	1031001	2004	9000001	2	40006001	40006002	
6	1031001	2004	9000002	3	40006001	40006002	40006003
7	1031002	2004	9000003	1	40006001	40006002	
8	1031002	2004	9000004	2	40006001	40006002	
9	1031002	2004	9000001	3	40006001	40006002	40006003
10	1021002	2004	9000002	1	40006001	40006002	
11	1021002	2004	9000003	2	40006001	40006002	
12	1021002	2004	9000004	3	40006001	40006002	40006003
13	1011002	2004	9000001	1	40006001	40006002	
14	1011002	2004	9000002	2	40006001	40006002	
15	1011002	2004	9000003	3	40006001	40006002	40006003
16	1061003	2004	9000004	1	40006001	40006002	
17	1061003	2004	9000001	2	40006001	40006002	
18	1061003	2004	9000002	3	40006001	40006002	40006003
19	1041002	2004	9000003	1	40006001	40006002	
20	1041002	2004	9000004	2	40006001	40006002	
21	1041002	2004	9000001	3	40006001	40006002	40006003
22	1031003	2004	9000002	1	40006001	40006002	
23	1031003	2004	9000003	2	40006001	40006002	
24	1031003	2004	9000004	3	40006001	40006002	40006003
25	1081002	2004	9000001	1	40006001	40006002	
26	1081002	2004	9000002	2	40006001	40006002	
27	1081002	2004	9000003	3	40006001	40006002	40006003
28	1071002	2004	9000004	1	40006001	40006002	
29	1071002	2004	9000001	2	40006001	40006002	
30	1071002	2004	9000002	3	40006001	40006002	40006003
31	1061002	2004	9000003	1	40006001	40006002	
32	1061002	2004	9000004	2	40006001	40006002	
33	1061002	2004	9000004	3	40006001	40006002	40006003
34	1051003	2004	9000003	1	40006001	40006002	
35	1051003	2004	9000004	2	40006001	40006002	
36	1051003	2004	9000004	3	40006001	40006002	40006003
37	1021003	2004	9000001	1	40006001	40006002	
38	1021003	2004	9000002	2	40006001	40006002	
39	1021003	2004	9000003	3	40006001	40006002	40006003
