Level	Exp
1	20
2	40
3	60
4	80
5	100
6	120
7	140
8	160
9	180
10	200
11	220
12	240
13	260
14	280
15	300
16	320
17	340
18	360
19	380
20	400
21	440
22	480
23	520
24	560
25	600
26	640
27	680
28	720
29	760
30	800
31	960
32	1120
33	1280
34	1440
35	1600
36	1760
37	1920
38	2080
39	2240
40	2400
41	2640
42	2880
43	3120
44	3360
45	3600
46	3840
47	4080
48	4320
49	4560
50	4800
51	5280
52	5760
53	6240
54	6720
55	7200
56	7680
57	8160
58	8640
59	9120
60	9600
61	10440
62	11280
63	12120
64	12960
65	13800
66	14640
67	15480
68	16320
69	17160
70	18000
71	19200
72	20400
73	21600
74	22800
75	24000
76	25200
77	26400
78	27600
79	28800
80	30000
