Id	PoolId	Weight	SkillId	Icon	Description	Name
1	1	100	101201	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	红球等级+1	精准连射
2	1	100	101206	Assets/Product/Texture/Image/IconSkill/R2lihuang1.png	黄球等级+1	热场射击
3	1	100	101211	Assets/Product/Texture/Image/IconSkill/R2lilan1.png	蓝球等级+1	磁弹速射
4	1	100	101216	Assets/Product/Texture/Image/IconSkill/lipugong1.png	普通攻击等级+1	射击模式
5	2	100	101217	Assets/Product/Texture/Image/IconSkill/R2lidazhao1.png	必杀技等级+1	必杀-零死角
6	2	100	101218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	零死角-速射
7	2	100	101221	Assets/Product/Texture/Image/IconSkill/R2lihexin1.png	核心被动+1	控弹
8	2	100	101223	Assets/Product/Texture/Image/IconSkill/R2lihexin1.png	职业技等级+1	进攻型
12	1	100	102201	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	红球等级+1	乱舞
13	1	100	102206	Assets/Product/Texture/Image/IconSkill/R2luxiyahuang1.png	黄球等级+1	雷域
14	1	100	102211	Assets/Product/Texture/Image/IconSkill/R2luxiyalan1.png	蓝球等级+1	弧月斩
15	1	100	102216	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	普通攻击等级+1	迅刀式
16	2	100	102217	Assets/Product/Texture/Image/IconSkill/R2luxiyadazhao1.png	必杀技等级+1	必杀-红莲剑
17	2	100	102218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	散华
18	2	100	102221	Assets/Product/Texture/Image/IconSkill/R2luxiyahexin1.png	核心被动+1	引雷舞
19	2	100	102223	Assets/Product/Texture/Image/IconSkill/R2luxiyahexin1.png	职业技等级+1	进攻型
20	1	100	103201	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	红球等级+1	自引导雷弹
21	1	100	103206	Assets/Product/Texture/Image/IconSkill/R2lifuhuang1.png	黄球等级+1	豁免空间
22	1	100	103211	Assets/Product/Texture/Image/IconSkill/R2lifulan1.png	蓝球等级+1	虚构障碍
23	1	100	103216	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	普通攻击等级+1	雷式攻击应用
24	2	100	103217	Assets/Product/Texture/Image/IconSkill/R2lifudazhao1.png	必杀技等级+1	必杀-导电波
25	2	100	103218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	新式纳米绽放
26	2	100	103221	Assets/Product/Texture/Image/IconSkill/R2lifuhexin1.png	核心被动+1	逆白鹭领域
27	2	100	103223	Assets/Product/Texture/Image/IconSkill/R2lifuhexin1.png	职业技等级+1	辅助型
28	1	100	104201	Assets/Product/Texture/Image/IconSkill/R2biankahong1.png	红球等级+1	定点射击
29	1	100	104206	Assets/Product/Texture/Image/IconSkill/R2biankahuang1.png	黄球等级+1	翼射
30	1	100	104211	Assets/Product/Texture/Image/IconSkill/R2biankalan1.png	蓝球等级+1	引弓
31	1	100	104216	Assets/Product/Texture/Image/IconSkill/biankapugong1.png	普通攻击等级+1	快速拉弓
32	2	100	104217	Assets/Product/Texture/Image/IconSkill/R2biankadazhao1.png	必杀技等级+1	必杀-天命之雨
33	2	100	104218	Assets/Product/Texture/Image/IconSkill/QTE1.png	qte等级+1	猎杀之雨
34	2	100	104221	Assets/Product/Texture/Image/IconSkill/R2biankahexin1.png	核心被动+1	饶恕箭筒
35	2	100	104223	Assets/Product/Texture/Image/IconSkill/R2biankahexin1.png	职业技等级+1	进攻型
