AttributeId	GroupId	Weight	AddType	AddValue[0]	AddValue[1]	AddValue[2]	AddScore	RestrictedRole[0]	RestrictedRole[1]	RestrictedRole[2]	Introduce	QualityType
101	1	45	2	15	15	0	30				美观值增加15点，舒适值增加15点	2
102	1	45	2	0	15	15	30				舒适值增加15点，实用值增加15点	2
103	1	45	2	15	0	15	30				美观值增加15点，实用值增加15点	2
104	1	45	2	10	10	10	30				美观值增加10点，舒适值增加10点，实用值增加10点	2
105	1	37	2	30	30	0	60				美观值增加30点，舒适值增加30点	3
106	1	37	2	0	30	30	60				舒适值增加30点，实用值增加30点	3
107	1	37	2	30	0	30	60				美观值增加30点，实用值增加30点	3
108	1	39	2	20	20	20	60				美观值增加20点，舒适值增加20点，实用值增加20点	3
109	1	20	0	5	0	0	90				该宿舍内所有成员心情值恢复速率增加5%	4
110	1	20	1	5	0	0	90				该宿舍内所有成员体力值恢复速率增加5%	4
111	1	20	2	45	45	0	90				美观值增加45点，舒适值增加45点	4
112	1	20	2	0	45	45	90				舒适值增加45点，实用值增加45点	4
113	1	20	2	45	0	45	90				美观值增加45点，实用值增加45点	4
114	1	20	2	30	30	30	90				美观值增加30点，舒适值增加30点，实用值增加30点	4
115	1	15	0	10	0	0	120				该宿舍内所有成员心情值恢复速率增加10%	4
116	1	15	1	10	0	0	120				该宿舍内所有成员体力值恢复速率增加10%	4
117	1	15	2	60	60	0	120				美观值增加60点，舒适值增加60点	4
118	1	15	2	0	60	60	120				舒适值增加60点，实用值增加60点	4
119	1	15	2	60	0	60	120				美观值增加60点，实用值增加60点	4
120	1	15	2	40	40	40	120				美观值增加40点，舒适值增加40点，实用值增加40点	4
121	1	10	0	15	0	0	150				该宿舍内所有成员心情值恢复速率增加15%	5
122	1	10	1	15	0	0	150				该宿舍内所有成员体力值恢复速率增加15%	5
123	1	10	2	75	75	0	150				美观值增加75点，舒适值增加75点	5
124	1	10	2	0	75	75	150				舒适值增加75点，实用值增加75点	5
125	1	10	2	75	0	75	150				美观值增加75点，实用值增加75点	5
126	1	10	2	50	50	50	150				美观值增加50点，舒适值增加50点，实用值增加50点	5
201	2	20	2	15	15	0	30				美观值增加15点，舒适值增加15点	2
202	2	20	2	0	15	15	30				舒适值增加15点，实用值增加15点	2
203	2	20	2	15	0	15	30				美观值增加15点，实用值增加15点	2
204	2	20	2	10	10	10	30				美观值增加10点，舒适值增加10点，实用值增加10点	2
205	2	35	2	30	30	0	60				美观值增加30点，舒适值增加30点	3
206	2	35	2	0	30	30	60				舒适值增加30点，实用值增加30点	3
207	2	35	2	30	0	30	60				美观值增加30点，实用值增加30点	3
208	2	35	2	20	20	20	60				美观值增加20点，舒适值增加20点，实用值增加20点	3
209	2	80	0	5	0	0	90				该宿舍内所有成员心情值恢复速率增加5%	4
210	2	80	1	5	0	0	90				该宿舍内所有成员体力值恢复速率增加5%	4
211	2	30	2	45	45	0	90				美观值增加45点，舒适值增加45点	4
212	2	30	2	0	45	45	90				舒适值增加45点，实用值增加45点	4
213	2	30	2	45	0	45	90				美观值增加45点，实用值增加45点	4
214	2	30	2	30	30	30	90				美观值增加30点，舒适值增加30点，实用值增加30点	4
215	2	70	0	10	0	0	120				该宿舍内所有成员心情值恢复速率增加10%	4
216	2	70	1	10	0	0	120				该宿舍内所有成员体力值恢复速率增加10%	4
217	2	70	2	60	60	0	120				美观值增加60点，舒适值增加60点	4
218	2	30	2	0	60	60	120				舒适值增加60点，实用值增加60点	4
219	2	30	2	60	0	60	120				美观值增加60点，实用值增加60点	4
220	2	30	2	40	40	40	120				美观值增加40点，舒适值增加40点，实用值增加40点	4
221	2	50	0	15	0	0	150				该宿舍内所有成员心情值恢复速率增加15%	5
222	2	50	1	15	0	0	150				该宿舍内所有成员体力值恢复速率增加15%	5
223	2	25	2	75	75	0	150				美观值增加75点，舒适值增加75点	5
224	2	25	2	0	75	75	150				舒适值增加75点，实用值增加75点	5
225	2	25	2	75	0	75	150				美观值增加75点，实用值增加75点	5
226	2	25	2	50	50	50	150				美观值增加50点，舒适值增加50点，实用值增加50点	5
301	3	0	2	15	15	0	30				美观值增加15点，舒适值增加15点	2
302	3	0	2	0	15	15	30				舒适值增加15点，实用值增加15点	2
303	3	0	2	15	0	15	30				美观值增加15点，实用值增加15点	2
304	3	0	2	10	10	10	30				美观值增加10点，舒适值增加10点，实用值增加10点	2
305	3	0	2	30	30	0	60				美观值增加30点，舒适值增加30点	3
306	3	0	2	0	30	30	60				舒适值增加30点，实用值增加30点	3
307	3	0	2	30	0	30	60				美观值增加30点，实用值增加30点	3
308	3	0	2	20	20	20	60				美观值增加20点，舒适值增加20点，实用值增加20点	3
309	3	50	0	5	0	0	90				该宿舍内所有成员心情值恢复速率增加5%	4
310	3	50	1	5	0	0	90				该宿舍内所有成员体力值恢复速率增加5%	4
311	3	25	2	45	45	0	90				美观值增加45点，舒适值增加45点	4
312	3	25	2	0	45	45	90				舒适值增加45点，实用值增加45点	4
313	3	25	2	45	0	45	90				美观值增加45点，实用值增加45点	4
314	3	25	2	30	30	30	90				美观值增加30点，舒适值增加30点，实用值增加30点	4
315	3	45	0	10	0	0	120				该宿舍内所有成员心情值恢复速率增加10%	4
316	3	45	1	10	0	0	120				该宿舍内所有成员体力值恢复速率增加10%	4
317	3	20	2	60	60	0	120				美观值增加60点，舒适值增加60点	4
318	3	20	2	0	60	60	120				舒适值增加60点，实用值增加60点	4
319	3	20	2	60	0	60	120				美观值增加60点，实用值增加60点	4
320	3	20	2	40	40	40	120				美观值增加40点，舒适值增加40点，实用值增加40点	4
321	3	35	0	15	0	0	150				该宿舍内所有成员心情值恢复速率增加15%	5
322	3	35	1	15	0	0	150				该宿舍内所有成员体力值恢复速率增加15%	5
323	3	15	2	75	75	0	150				美观值增加75点，舒适值增加75点	5
324	3	15	2	0	75	75	150				舒适值增加75点，实用值增加75点	5
325	3	15	2	75	0	75	150				美观值增加75点，实用值增加75点	5
326	3	15	2	50	50	50	150				美观值增加50点，舒适值增加50点，实用值增加50点	5
