Id	FurnitureId	ExtraAttrId	AdditionId	Quality	Name
8000001	8407005	100001	104		电脑桌
8000002	8508003	100003	104		电脑椅
8010001	8407001	100001	104		咖啡柜台
8010002	8612001	100004	104		风景画框
8010003	8404001	100001	104		深色皮沙发
8010004	8612002	100004	104		挂壁灯
8010005	8612003	100004	104		落地窗
8010006	8612004	100004	104		菜单黑板
8010007	8407002	100001	104		浪漫圆桌
8010008	8511001	100002	104		盆栽植物
8010009	8406001	100001	104		置物柜
8010010	8407003	100001	104		长桌
8010011	8508001	100003	104		高脚凳
8010012	8511002	100002	104		咖啡茶几
8010013	8407004	100001	104		桌椅组合
8010014	8101003	100001	104		咖啡厅地板
8010015	8301003	100001	104		咖啡厅天花板
8010016	8201003	100001	104		咖啡厅白墙
8020001	8406006	100001	104		储物柜
8020002	8612009	100004	104		灯管
8020003	8407006	100001	104		办公桌
8020004	8612010	100004	104		百叶窗
8020005	8511006	100002	104		设备箱
8020006	8511007	100001	104		自动贩卖机
8020007	8612012	100004	104		控制终端
8020008	8406007	100001	104		杂乱置物架
8020009	8508004	100003	104		马桶
8020010	8405003	100001	104		维修台
8020011	8508005	100003	104		吧椅
8020012	8407007	100001	104		吧台
8020013	8404003	100001	104		布艺沙发
8020014	8404004	100001	104		拼接沙发
8020015	8612013	100004	104		海报α
8020016	8612014	100004	104		海报β
8020017	8612015	100004	104		海报γ
8020018	8612016	100004	104		霓虹灯Logo
8020019	8612017	100004	104		置物架
8020020	8101005	100001	104		朋克风地板
8020021	8301005	100001	104		朋克风天花板
8020022	8201005	100001	104		朋克风Logo墙
8020023	8406006	100001	114		储物柜
8020024	8612009	100004	114		灯管
8020025	8407006	100001	114		办公桌
8020026	8612010	100004	114		百叶窗
8020027	8511006	100002	114		设备箱
8020028	8511007	100002	114		自动贩卖机
8020029	8612012	100004	114		控制终端
8020030	8406007	100001	114		杂乱置物架
8020031	8508004	100003	114		马桶
8020032	8405003	100001	114		维修台
8020033	8508005	100003	114		吧椅
8020034	8407007	100001	114		吧台
8020035	8404003	100001	114		布艺沙发
8020036	8404004	100001	114		拼接沙发
8020037	8612013	100004	114		海报α
8020038	8612014	100004	114		海报β
8020039	8612015	100004	114		海报γ
8020040	8612016	100004	114		霓虹灯Logo
8020041	8612017	100004	114		置物架
8020042	8101005	100001	114		朋克风地板
8020043	8301005	100001	114		朋克风天花板
8020044	8201005	100001	114		朋克风Logo墙
8020045	8511023	100002	114		赛博蛋
8030001	8612018	100004	220		纸窗
8030002	8508006	100003	220		坐垫椅
8030003	8511008	100002	220		盆栽竹
8030004	8612019	100004	220		樱花和扇
8030005	8612020	100004	220		挂画墙
8030006	8406008	100001	220		和风立柜
8030007	8511009	100002	220		地铺
8030008	8511010	100002	220		樱花折屏
8030009	8511011	100002	220		刀架矮柜
8030010	8407008	100001	220		被炉
8030011	8407009	100001	220		饮酒茶几
8030012	8511012	100002	220		浴桶
8030013	8612021	100004	220		和风纸吊灯
8030014	8101006	100001	220		和风地板
8030015	8301006	100001	220		木梁吊顶
8030016	8201006	100001	220		樱花墙
8990001	8511013	100002	320		bilibili电视
8990002	8511014	100001	320		OPPOreno2
8990003	8511015	100002	320		游戏机taptap
8990004	8511016	100001	320		vivoNEX
8990005	8511017	100002	320		好游快爆爆米花
8990006	8511018	100002	320		华为5G Covered
8990007	8511019	100002	320		4399游戏盒
8990008	8511020	100002	320		黑鲨游戏机
8990009	8511021	100004	320		小米游戏招牌
8990010	8511022	100002	320		应用宝抓娃娃机
8990011	8511023	100002	114		赛博蛋
8990012	8511024	100004	320		九游挂壁电视
8990013	8404006	100001	320		哔哩哔哩沙发
8990014	8511029	100002	320		2233家庭影院
8990015	8511030	100002	320		哔哩哔哩落地灯
8990016	8508009	100003	320		哔哩哔哩软凳
8990017	8407011	100001	320		哔哩哔哩小桌
8990018	8511031	100002	320		库洛洛
8990019	8511032	100002	320		努比亚游戏百宝箱
8990020	8511033	100002	320		分类垃圾箱
8990021	8404007	100001	320		三联装马桶
8990022	8511034	100002	320		临时充电站
8990023	8511035	100002	320		摄影机
8990024	8511036	100002	320		标准制式摩托
8040001	8511025	100002	114		复古落地灯
8040002	8405004	100001	114		欧式大床
8040003	8612022	100004	114		槲寄生花环
8040004	8511026	100002	114		圣诞礼物堆
8040005	8510006	100003	114		烛台矮柜
8040006	8406009	100001	114		欧式大衣柜
