Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	Name	Description	NeedFirstShow
2013001	1	0	3	3	2013001	10080	0			制式枪	构造体部队中最常用的手枪，结构简单，便于修理。	0
2014001	1	0	4	4	2014001	11080	0			黑星	旧世纪时著名的老款手枪，虽然工艺粗糙但结构牢固，即使到现在还有不少在服役中。	0
2015001	1	0	5	5	2015001	12080	0			暗影紫光	以无声高速攻击为目的设计的短枪，拥有最安静的枪火声和超高的子弹发射速度。	0
2016001	1	0	6	6	2016001	20800	0			噬狼枪	强化了单点射击的特制枪械，虽然命中率不佳，但是在在破坏力上堪比巨狼。	0
2016002	1	0	6	6	2016002	20801	0			零度定标	与空中花园的支援系统连接，自带能量管控与弹道导航运算能力的枪械	0
2022001	2	0	2	2	2022001	1010	0			制式刀	分配给构造体的量产刀刃，最大众化的款式，同时也最易于使用。	0
2023001	2	0	3	3	2023001	10010	0			护身刀	比手臂略长的短刀，一般用作防身使用。	0
2024001	2	0	4	4	2024001	11010	0			无铭	没有铭刻工匠名字的刀刃，但依然无损它作为兵器的冰冷锐利。	0
2024002	2	0	4	4	2024001	11010	0			无铭	没有铭刻工匠名字的刀刃，但依然无损它作为兵器的冰冷锐利。	0
2025001	2	0	5	5	2025001	12010	0			九字之定	以名刀作为蓝本制作的奇怪太刀，本身理念过于古老所以不太能适应战场	0
2026001	2	0	6	6	2026001	20100	0			红莲狂士	除了刀本身的锋利以外，红莲狂士还装载了能够直连意识海的系统，通过同调构造体能够让攻击模式产生质的变化。	0
2026002	2	0	6	6	2026002	20110	0			影打—逆断	逆断并不是武器，而是某个实验计划的代号，而将该实验体现在武器上的第一把就是这把影打—逆断。	0
2026003	2	0	6	6	2026003	20120	0			天狼星	武器强度相比其它武器相差无几，但由于极致惊艳的外观，被广泛追捧、收藏。	0
2026004	2	0	6	6	2026004	20130	0			红樱		0
2032001	3	0	2	2	2032001	1020	0			浮游装置	意念控制的最基础浮游攻击装置，刚加入队伍的构造体也能轻松使用。	0
2033001	3	0	3	3	2033001	10020	0			半自律攻击炮	拥有一定自我行动AI的浮游攻击装置，可以减轻使用者的精神负担。	0
2034001	3	0	4	4	2034001	11020	0			型鱼挂载	搭载了研发的最新行动计算机制，并附带强大火力，在战场上可自由行动的浮游攻击装置。偶尔会脱离使用者的控制。	0
2035001	3	0	5	5	2035001	12020	0			卫士挂载	装入了代号为“辉光妖精”的模拟人格，可以自行处理战斗，防卫，能量管理等多种行动的浮游兵器。据说长期使用后甚至会与使用者产生情感联系。	0
2036001	3	0	6	6	2036001	20200	0			零式	浮游攻击装置的初期实验型号，保留了很多旧式炮装的设计，虽然活动性很差，但破坏力是一流的。	0
2036002	3	0	6	6	2036002	20210	0			神赐者	辅助机型专用的浮游武装，牺牲了部分攻击性能用以强化电磁指挥场，适合群体作战用的武器。	0
2036003	3	0	6	6	2036003	20220	0			天龙之风	清廷白鹭队的专属武装之一，搭配华丽的命名和性能，能够确保构造体战无不胜。	0
2043001	4	0	3	3	2043001	10030	0			练习用复合弓	部队训练时提供的复合弓，磅数较小，连刚开始训练的构造体也能轻松使用。	0
2044001	4	0	4	4	2044001	11030	0			滑轮复合弓	使用滑轮增强射击力度的复合弓，每一箭的威力都可以与枪械相比。	0
2045001	4	0	5	5	2045001	12030	0			猎隼E-3320	黑野旗下武器工厂研发的新式弓箭，有着威力强大却缺乏稳定性的特点，首批出厂后就因为驾驭者稀少而停产。	0
2046001	4	0	6	6	2046001	20300	0			雷米尔	以堕天使为名制作的机械复合弓，带有自动诱导的射击装置，无论什么环境都能确切了结敌人。	0
2053001	5	0	3	3	2053001	10040	0			作业用链锯	进行拆卸工作时常见的便利工具，同时也可以作为武器使用。	0
2054001	5	0	4	4	2054001	11040	0			噪音	旧型使用燃油作为动力的巨大链锯，缺点是启动时需要努力发动引擎。	0
2055001	5	0	5	5	2055001	12040	0			电光石火	专门作为武器研制出来的第一代大型链锯，测试时切列机械发出的火花令人印象深刻，从而变成了产品的代号。	0
2056001	5	0	6	6	2056001	20400	0			奇美拉-逆断	逆断并不是武器，而是某个实验计划的代号，而这把武器因为使用了一部分该计划的实验成果所以被称为奇美拉。	0
2056002	5	0	6	6	2056002	20410	0			机韵		0
2063001	6	0	3	3	2063001	10050	0			大剑 	普通的构造体用大剑，灵活性很差。	0
2064001	6	0	4	4	2064001	11050	0			压乱者	集防御和攻击范围大等优点于一身的大剑，一般是用于镇暴的。	0
2065001	6	0	5	5	2065001	12050	0			动轮大剑	可变形的奇怪大剑，内装有压缩能源罐，在蓄满以后能够利用剑身作为发射器射出冲击波。	0
2065050	6	0	5	5	2065050	12060	1			伯利恒之星		0
2066001	6	0	6	6	2066001	20500	0			大神威	本身的武器名并不是这个，神威在拿到手以后用十分合手为由替换成了大神威这个滑稽的名字，能够同调所有者的海并增强其实力。	0
2066002	6	0	6	6	2066002	20510	0			漆黑	从某个感染构造体手中回收改装的武器，光是握在手中就能感受到曾经持有者的执念。	0
2073001	7	0	3	3	2073001	10060	0			火箭筒	一般构造体用的炮击筒，没有弹药的时候还能在近战中发挥锤砸功用	0
2074001	7	0	4	4	2074001	11060	0			螺旋炮	炮身在射击时会适应弹药进行有规律的自转，能够大幅提升弹药的使用效能。	0
2075001	7	0	5	5	2075001	12060	0			熔岩之柱	内藏有一个小型热能炉的试作大炮，在使用的时候还需要注意不要让其过热。	0
2075002	7	0	5	5	2075002	12061	0			开门红		0
2076001	7	0	6	6	2076001	20600	0			狂乱融合炮	据说是以前反对地球统一政府的反社会分子所使用的武器，不在意可用性，不断往上加载模块后，锻造出这种带狂暴气质的火炮。	0
2076002	7	0	6	6	2076002	20601	0			核基红龙	使用了高能动力装置的手炮。极限状态下其喷射的热焰如同传说中龙族的吐息。	0
2083001	8	0	3	3	2083001	10070	0			双手刀	普通的短刀，不太能应付战斗。	0
2084001	8	0	4	4	2084001	11070	0			切割猎手	刀身在灵活性上花了不少功夫，就算是不会使用短刀的构造体也能十分容易使用。	0
2085001	8	0	5	5	2085001	12070	0			石之心	材质上使用特别合金的“超重”短刀，虽然小巧但实际破坏力非凡。	0
2085002	8	0	5	5	2085002	12071	0			元夜		0
2086001	8	0	6	6	2086001	20700	0			斩魂者	附有离子振动模式的短刀，能够在刺穿敌人的瞬间破坏缺口部分的构造，不是相当熟练的构造体基本不能驾驭这把武器。	0
2086002	8	0	6	6	2086002	21700	0			镇命者		0
2093001	9	0	3	3	2093001	10090	0			制式镰刀	构造体部队中最常用的手枪，结构简单，便于修理。	0
2094001	9	0	4	4	2094001	11090	0			黯淡		0
2095001	9	0	5	5	2095001	12090	0			褪色		0
2096001	9	0	6	6	2096001	20900	0			魏紫		0
2991001	99	0	1	1	2991001	10000	0			武器强化素材	强化构造体武器的专用强化套组，视其容量大小能给武器带来不同的提升。	0
2992001	99	0	2	2	2992001	11000	0			武器强化素材	强化构造体武器的专用强化套组，视其容量大小能给武器带来不同的提升。	0
2993001	99	0	3	3	2993001	12000	0			武器强化素材	强化构造体武器的专用强化套组，视其容量大小能给武器带来不同的提升。	0
2994001	99	0	4	4	2994001	13000	0			武器强化素材	强化构造体武器的专用强化套组，视其容量大小能给武器带来不同的提升。	0
3911001	99	1	1	1		10005	0		1901	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3912001	99	1	2	2		11005	0		1902	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3913001	99	1	3	3		12005	0		1903	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3914001	99	1	4	4		13005	0		1904	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3915001	99	1	5	5		14005	0		1905	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3916001	99	1	6	6		15005	0		1906	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3921001	99	2	1	1		10004	0		1901	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3922001	99	2	2	2		11004	0		1902	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3923001	99	2	3	3		12004	0		1903	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3924001	99	2	4	4		13004	0		1904	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3925001	99	2	5	5		14004	0		1905	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3926001	99	2	6	6		15004	0		1906	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3931001	99	3	1	1		10003	0		1901	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3932001	99	3	2	2		11003	0		1902	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3933001	99	3	3	3		12003	0		1903	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3934001	99	3	4	4		13003	0		1904	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3935001	99	3	5	5		14003	0		1905	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3936001	99	3	6	6		15003	0		1906	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3941001	99	4	1	1		10002	0		1901	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3942001	99	4	2	2		11002	0		1902	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3943001	99	4	3	3		12002	0		1903	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3944001	99	4	4	4		13002	0		1904	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3945001	99	4	5	5		14002	0		1905	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3946001	99	4	6	6		15002	0		1906	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3951001	99	5	1	1		10001	0		1901	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3952001	99	5	2	2		11001	0		1902	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3953001	99	5	3	3		12001	0		1903	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3954001	99	5	4	4		13001	0		1904	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3955001	99	5	5	5		14001	0		1905	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3956001	99	5	6	6		15001	0		1906	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3961001	99	6	1	1		10000	0		1901	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3962001	99	6	2	2		11000	0		1902	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3963001	99	6	3	3		12000	0		1903	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3964001	99	6	4	4		13000	0		1904	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3965001	99	6	5	5		14000	0		1905	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3966001	99	6	6	6		15000	0		1906	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	0
3012001	0	1	2	2		11006	0		1201	施佩尔	某位曾经存在的伟人的意识芯片，组合后能够提升构造体的攻击力。	0
3013001	0	1	3	3		12006	0		1301	莫德尔	某位曾经存在的伟人的意识芯片，组合后能够提升构造体的近战攻击力。	0
3013002	0	1	3	3		12016	0		1304	赫尔曼	某位曾经存在的伟人的意识芯片，组合后能够提升构造体的远程攻击力。	0
3014001	0	1	4	4		13006	0		1401	阿基米德	某位曾经存在的伟人的意识芯片，组合后能够提升构造体的物理伤害。	0
3014002	0	1	4	4		13016	0		1404	爱迪生	某位曾经存在的伟人的意识芯片，组合后能够提升构造体的属性伤害。	0
3014003	0	1	4	4		13026	0		1407	爱丽丝	某位曾经存在的伟人的意识芯片，组合后能够提升构造体治疗相关的数值。	0
3014004	0	1	4	4		13036	0		1410	坎宁安	某位曾经存在的伟人的意识芯片，组合后能够为受伤的构造体带来物理增益。	0
3014005	0	1	4	4		13046	1		1413	阿呆芙-永恒	某位曾经存在的“主角”的意识芯片，组合后能够召唤机器人。	0
3015001	0	1	5	5		14006	0		1501	埃尔温	某位曾经存在的伟人的意识芯片，组合后能够强化构造体的物理攻击。	0
3015002	0	1	5	5		14016	0		1502	爱芙	某位曾经存在的伟人的意识芯片，组合后使用各类技能的同时能为自己带来增益。	0
3015003	0	1	5	5		14026	0		1503	艾克	某位曾经存在的伟人的意识芯片，组合后能强化构造体本身的属性攻击。	0
3015004	0	1	5	5		14036	0		1504	伏尔泰	某位曾经存在的伟人的意识芯片，组合后能在攻击敌人的同时减少敌人的防御。	0
3015005	0	1	5	5		14046	0		1505	歌罗达	某位曾经存在的伟人的意识芯片，组合后能在攻击敌人的同时为敌人添加不同的属性减益。	0
3015006	0	1	5	5		14056	0		1506	黎塞留	某位曾经存在的伟人的意识芯片，组合后能使构造体进行治疗时为目标带来物理增益。	0
3015007	0	1	5	5		14066	0		1507	萨曼达	某位曾经存在的伟人的意识芯片，组合后能让构造体通过使用属性攻击来扰乱战场。	0
3015008	0	1	5	5		14076	0		1508	莫扎特	某位曾经存在的伟人的意识芯片，组合后能使构造体更自由的使用超算空间。	0
3015050	0	1	5	5		14506	1		1550	丽芙·驯鹿	丽芙的圣诞庆祝装扮。	0
3016001	0	1	6	6		15006	0		1601	康德丽娜	某位曾经存在的伟人的意识芯片，组合后能够提高构造体的普通攻击。	0
3016002	0	1	6	6		15016	0		1602	莎士比亚	某位曾经存在的伟人的意识芯片，组合后能够提升构造体的火属性伤害。	0
