Id	Site	Star	Breakthrough	ExpToOneCoin	ExpToEquipId	RewardId
1	0	1	0	0.142	2992001	2001
2	0	2	0	0.142	2992001	2002
3	0	3	0	0.142	2993001	2003
4	0	4	0	0.142	2994001	2004
5	0	5	0	0.142	2994001	2005
6	0	6	0	0.142	2994001	2006
7	0	7	0	0.142	2994001	2007
8	1	1	0	0.142	3912001	2008
9	1	2	0	0.142	3912001	2009
10	1	3	0	0.142	3913001	2010
11	1	4	0	0.142	3914001	2011
12	1	5	0	0.142	3914001	2012
13	1	6	0	0.142	3914001	2013
14	1	7	0	0.142	3914001	2014
15	2	1	0	0.142	3922001	2015
16	2	2	0	0.142	3922001	2016
17	2	3	0	0.142	3923001	2017
18	2	4	0	0.142	3924001	2018
19	2	5	0	0.142	3924001	2019
20	2	6	0	0.142	3924001	2020
21	2	7	0	0.142	3924001	2021
22	3	1	0	0.142	3932001	2022
23	3	2	0	0.142	3932001	2023
24	3	3	0	0.142	3933001	2024
25	3	4	0	0.142	3934001	2025
26	3	5	0	0.142	3934001	2026
27	3	6	0	0.142	3934001	2027
28	3	7	0	0.142	3934001	2028
29	4	1	0	0.142	3942001	2029
30	4	2	0	0.142	3942001	2030
31	4	3	0	0.142	3943001	2031
32	4	4	0	0.142	3944001	2032
33	4	5	0	0.142	3944001	2033
34	4	6	0	0.142	3944001	2034
35	4	7	0	0.142	3944001	2035
36	5	1	0	0.142	3952001	2036
37	5	2	0	0.142	3952001	2037
38	5	3	0	0.142	3953001	2038
39	5	4	0	0.142	3954001	2039
40	5	5	0	0.142	3954001	2040
41	5	6	0	0.142	3954001	2041
42	5	7	0	0.142	3954001	2042
43	6	1	0	0.142	3962001	2043
44	6	2	0	0.142	3962001	2044
45	6	3	0	0.142	3963001	2045
46	6	4	0	0.142	3964001	2046
47	6	5	0	0.142	3964001	2047
48	6	6	0	0.142	3964001	2048
49	6	7	0	0.142	3964001	2049
50	0	1	1	0.142	2992001	2101
51	0	2	1	0.142	2992001	2102
52	0	3	1	0.142	2993001	2103
53	0	4	1	0.142	2994001	2104
54	0	5	1	0.142	2994001	2105
55	0	6	1	0.142	2994001	2106
56	0	7	1	0.142	2994001	2107
57	1	1	1	0.142	3912001	2108
58	1	2	1	0.142	3912001	2109
59	1	3	1	0.142	3913001	2110
60	1	4	1	0.142	3914001	2111
61	1	5	1	0.142	3914001	2112
62	1	6	1	0.142	3914001	2113
63	1	7	1	0.142	3914001	2114
64	2	1	1	0.142	3922001	2115
65	2	2	1	0.142	3922001	2116
66	2	3	1	0.142	3923001	2117
67	2	4	1	0.142	3924001	2118
68	2	5	1	0.142	3924001	2119
69	2	6	1	0.142	3924001	2120
70	2	7	1	0.142	3924001	2121
71	3	1	1	0.142	3932001	2122
72	3	2	1	0.142	3932001	2123
73	3	3	1	0.142	3933001	2124
74	3	4	1	0.142	3934001	2125
75	3	5	1	0.142	3934001	2126
76	3	6	1	0.142	3934001	2127
77	3	7	1	0.142	3934001	2128
78	4	1	1	0.142	3942001	2129
79	4	2	1	0.142	3942001	2130
80	4	3	1	0.142	3943001	2131
81	4	4	1	0.142	3944001	2132
82	4	5	1	0.142	3944001	2133
83	4	6	1	0.142	3944001	2134
84	4	7	1	0.142	3944001	2135
85	5	1	1	0.142	3952001	2136
86	5	2	1	0.142	3952001	2137
87	5	3	1	0.142	3953001	2138
88	5	4	1	0.142	3954001	2139
89	5	5	1	0.142	3954001	2140
90	5	6	1	0.142	3954001	2141
91	5	7	1	0.142	3954001	2142
92	6	1	1	0.142	3962001	2143
93	6	2	1	0.142	3962001	2144
94	6	3	1	0.142	3963001	2145
95	6	4	1	0.142	3964001	2146
96	6	5	1	0.142	3964001	2147
97	6	6	1	0.142	3964001	2148
98	6	7	1	0.142	3964001	2149
99	0	1	2	0.142	2992001	2201
100	0	2	2	0.142	2992001	2202
101	0	3	2	0.142	2993001	2203
102	0	4	2	0.142	2994001	2204
103	0	5	2	0.142	2994001	2205
104	0	6	2	0.142	2994001	2206
105	0	7	2	0.142	2994001	2207
106	1	1	2	0.142	3912001	2208
107	1	2	2	0.142	3912001	2209
108	1	3	2	0.142	3913001	2210
109	1	4	2	0.142	3914001	2211
110	1	5	2	0.142	3914001	2212
111	1	6	2	0.142	3914001	2213
112	1	7	2	0.142	3914001	2214
113	2	1	2	0.142	3922001	2215
114	2	2	2	0.142	3922001	2216
115	2	3	2	0.142	3923001	2217
116	2	4	2	0.142	3924001	2218
117	2	5	2	0.142	3924001	2219
118	2	6	2	0.142	3924001	2220
119	2	7	2	0.142	3924001	2221
120	3	1	2	0.142	3932001	2222
121	3	2	2	0.142	3932001	2223
122	3	3	2	0.142	3933001	2224
123	3	4	2	0.142	3934001	2225
124	3	5	2	0.142	3934001	2226
125	3	6	2	0.142	3934001	2227
126	3	7	2	0.142	3934001	2228
127	4	1	2	0.142	3942001	2229
128	4	2	2	0.142	3942001	2230
129	4	3	2	0.142	3943001	2231
130	4	4	2	0.142	3944001	2232
131	4	5	2	0.142	3944001	2233
132	4	6	2	0.142	3944001	2234
133	4	7	2	0.142	3944001	2235
134	5	1	2	0.142	3952001	2236
135	5	2	2	0.142	3952001	2237
136	5	3	2	0.142	3953001	2238
137	5	4	2	0.142	3954001	2239
138	5	5	2	0.142	3954001	2240
139	5	6	2	0.142	3954001	2241
140	5	7	2	0.142	3954001	2242
141	6	1	2	0.142	3962001	2243
142	6	2	2	0.142	3962001	2244
143	6	3	2	0.142	3963001	2245
144	6	4	2	0.142	3964001	2246
145	6	5	2	0.142	3964001	2247
146	6	6	2	0.142	3964001	2248
147	6	7	2	0.142	3964001	2249
148	0	1	3	0.142	2992001	2301
149	0	2	3	0.142	2992001	2302
150	0	3	3	0.142	2993001	2303
151	0	4	3	0.142	2994001	2304
152	0	5	3	0.142	2994001	2305
153	0	6	3	0.142	2994001	2306
154	0	7	3	0.142	2994001	2307
155	1	1	3	0.142	3912001	2308
156	1	2	3	0.142	3912001	2309
157	1	3	3	0.142	3913001	2310
158	1	4	3	0.142	3914001	2311
159	1	5	3	0.142	3914001	2312
160	1	6	3	0.142	3914001	2313
161	1	7	3	0.142	3914001	2314
162	2	1	3	0.142	3922001	2315
163	2	2	3	0.142	3922001	2316
164	2	3	3	0.142	3923001	2317
165	2	4	3	0.142	3924001	2318
166	2	5	3	0.142	3924001	2319
167	2	6	3	0.142	3924001	2320
168	2	7	3	0.142	3924001	2321
169	3	1	3	0.142	3932001	2322
170	3	2	3	0.142	3932001	2323
171	3	3	3	0.142	3933001	2324
172	3	4	3	0.142	3934001	2325
173	3	5	3	0.142	3934001	2326
174	3	6	3	0.142	3934001	2327
175	3	7	3	0.142	3934001	2328
176	4	1	3	0.142	3942001	2329
177	4	2	3	0.142	3942001	2330
178	4	3	3	0.142	3943001	2331
179	4	4	3	0.142	3944001	2332
180	4	5	3	0.142	3944001	2333
181	4	6	3	0.142	3944001	2334
182	4	7	3	0.142	3944001	2335
183	5	1	3	0.142	3952001	2336
184	5	2	3	0.142	3952001	2337
185	5	3	3	0.142	3953001	2338
186	5	4	3	0.142	3954001	2339
187	5	5	3	0.142	3954001	2340
188	5	6	3	0.142	3954001	2341
189	5	7	3	0.142	3954001	2342
190	6	1	3	0.142	3962001	2343
191	6	2	3	0.142	3962001	2344
192	6	3	3	0.142	3963001	2345
193	6	4	3	0.142	3964001	2346
194	6	5	3	0.142	3964001	2347
195	6	6	3	0.142	3964001	2348
196	6	7	3	0.142	3964001	2349
197	0	1	4	0.142	2992001	2401
198	0	2	4	0.142	2992001	2402
199	0	3	4	0.142	2993001	2403
200	0	4	4	0.142	2994001	2404
201	0	5	4	0.142	2994001	2405
202	0	6	4	0.142	2994001	2406
203	0	7	4	0.142	2994001	2407
204	1	1	4	0.142	3912001	2408
205	1	2	4	0.142	3912001	2409
206	1	3	4	0.142	3913001	2410
207	1	4	4	0.142	3914001	2411
208	1	5	4	0.142	3914001	2412
209	1	6	4	0.142	3914001	2413
210	1	7	4	0.142	3914001	2414
211	2	1	4	0.142	3922001	2415
212	2	2	4	0.142	3922001	2416
213	2	3	4	0.142	3923001	2417
214	2	4	4	0.142	3924001	2418
215	2	5	4	0.142	3924001	2419
216	2	6	4	0.142	3924001	2420
217	2	7	4	0.142	3924001	2421
218	3	1	4	0.142	3932001	2422
219	3	2	4	0.142	3932001	2423
220	3	3	4	0.142	3933001	2424
221	3	4	4	0.142	3934001	2425
222	3	5	4	0.142	3934001	2426
223	3	6	4	0.142	3934001	2427
224	3	7	4	0.142	3934001	2428
225	4	1	4	0.142	3942001	2429
226	4	2	4	0.142	3942001	2430
227	4	3	4	0.142	3943001	2431
228	4	4	4	0.142	3944001	2432
229	4	5	4	0.142	3944001	2433
230	4	6	4	0.142	3944001	2434
231	4	7	4	0.142	3944001	2435
232	5	1	4	0.142	3952001	2436
233	5	2	4	0.142	3952001	2437
234	5	3	4	0.142	3953001	2438
235	5	4	4	0.142	3954001	2439
236	5	5	4	0.142	3954001	2440
237	5	6	4	0.142	3954001	2441
238	5	7	4	0.142	3954001	2442
239	6	1	4	0.142	3962001	2443
240	6	2	4	0.142	3962001	2444
241	6	3	4	0.142	3963001	2445
242	6	4	4	0.142	3964001	2446
243	6	5	4	0.142	3964001	2447
244	6	6	4	0.142	3964001	2448
245	6	7	4	0.142	3964001	2449
