Id	BornMagic[1]	BornMagic[2]	BornMagic[3]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	Ability	Icon	Name	Description
101	510901						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	零落耀光	进入战斗后，增加武器最终攻击力属性的15%，持续时间无限。
102	511001						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	死点计时	入场时额外获得1个信号球，每过45秒，获得三个相同的技能球。
103	509201						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	超算闪电	触发极限闪避后，在超算空间内移动速度大幅度提升，使空间内所有敌人受到所有伤害加深10%。
201	510901						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	零落耀光	进入战斗后，增加武器最终攻击力属性的15%，持续时间无限。
202	511001						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	死点计时	入场时额外获得1个信号球，每过45秒，获得三个相同的技能球。
203	509201						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	超算闪电	触发极限闪避后，在超算空间内移动速度大幅度提升，使空间内所有敌人受到所有伤害加深10%。
2013001							0			
2014001	501001						0		共鸣振动	连击大于50时，物理伤害增加15%。
2015001	501101						0		装弹饱和	5秒内连续消除红、黄、蓝3种信号球后，全伤害增加15%，持续5秒。
2015002	501201						0		回避反响	极限闪避后，攻击力增加30%，持续4秒。
2016001	501301	501303					0		天律捕食	攻击燃烧区域内的敌人时，全伤害增加20%。
2016002	501306						0		星之轮回	"技能-空间领主造成伤害增加10%,3消后，物理伤害增加15%,持续5秒。"
2022001							0			
2023001							0			
2024001	502001						0		拔刀无铭	红球伤害加15%。
2025001	502101						0		幻剑战线	攻击有20%概率落雷，雷击造成50%物理伤害，有3秒冷却时间。
2025002	502201						0		铠身合一	极限闪避后，攻击力增加30%，持续4秒。
2026001	502301	502303	502306				0		怒火狂刀	普通攻击伤害增加10%，每次释放普通攻击，物理伤害增加5%，持续2秒，最多叠加5层。
