Level	Exp	AllExp
1	100	0
2	100	100
3	100	200
4	100	300
5	100	400
6	110	500
7	110	610
8	110	720
9	110	830
10	110	940
11	120	1050
12	120	1170
13	120	1290
14	120	1410
15	120	1530
16	130	1650
17	130	1780
18	130	1910
19	130	2040
20	130	2170
21	140	2300
22	140	2440
23	140	2580
24	140	2720
25	140	2860
26	150	3000
27	150	3150
28	150	3300
29	150	3450
30	150	3600
31	170	3750
32	170	3920
33	170	4090
34	170	4260
35	170	4430
36	190	4600
37	190	4790
38	190	4980
39	190	5170
40	190	5360
41	210	5550
42	210	5760
43	210	5970
44	210	6180
45	210	6390
