Key	Type	Value
DamageRandomMin	int	9500
DamageRandomMax	int	10500
DamageFormulaParam	int	3000
CritFormulaParam1	int	1980
CritFormulaParam2	int	20
JoystickTouchRange	int	107
HpBarShowTime	float	5
HpBarHideOpacity	float	40
HpAnimationTime	float	1
HpBossAnimationTime	float	1
RestStandWaitTime	fix	0
ComboDuration	fix	3
ComboShakeDuration	float	0.2
ComboShakeRange	float	5
DefaultNpcMaxHitValue	int	100
BallMoveSpeed	int	2000
BallWidth	int	1000
BallBoxLength	int	7000
ThreatAttenuationCoefficient	fix	0.995
BallOneSound	int	1001
BallTwoSound	int	1002
BallThreeSound	int	1003
MaxBallReserve	int	8
MaxBehitFlyHeight	float	3
CameraPerspectiveAlpha	float	0.5
CameraPerspectiveDurationTime	float	0.4
CameraPerspectiveEaseTime	float	0.2
CameraPerspectiveNpcDefaultHeight	float	2
FightLowHpPercent	float	0.25
FightLowHpScreenEffect	int	100002
FightHurtScreenEffect	int	100001
FightHurtPercent	float	0.05
DodgeLimitMagicToMe	string	100081
DodgeLimitMagicToTarget	string	100082
DodgeLimitMagicToMeEx	string	100083
DodgeLimitMagicToTargetEx	string	100084
DodgeLimitInterval	fix	1
DefaultAttackButtonImage	string	Assets/Product/Texture/Image/UiFight/FightBtnAttack.png
DefaultDodgeButtonImage	string	Assets/Product/Texture/Image/UiFight/FightIconMijuan1.png
DefaultExSkillButtonImage	string	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png
IndicatorToLocation	string	FxZhishi01
IndicatorToNpc	string	FxZhishi02
IndicatorRing	string	FxZhishiyuan
QteActivateEffect1	string	FxUiQTE0301
QteActivateEffect2	string	FxUiQTE0303
QteActivateEffect3	string	FxUiQTE0302
QteRunningEffect	string	FxUiQTE04
QteCoolDownEffect1	string	FxUiQTE0201
QteCoolDownEffect2	string	FxUiQTE0203
QteCoolDownEffect3	string	FxUiQTE0202
FlashLightEffect	string	FxUi008
SpEffect	string	FxUiQTE01
SwitchInvincibleMagicIds	string	100039
RebootRing	string	FxFuhuokuang01
RebootRingActive	string	FxFuhuokuang02
AffixLevel2	string	Assets/Product/Texture/Image/IconAffix/2.png
AffixLevel3	string	Assets/Product/Texture/Image/IconAffix/3.png
RunTiltBufferCoefficient	float	0.93
RunTiltGravity	float	85
RunStartIncludedAngle	fix	170
HpNormalDis	float	4
HpNormalFov	float	60
HpMinScale	float	0.7
HpMaxScale	float	1.5
DefaultAnimationTransition	float	0.1
