Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
102215			0	0.8			1	0	1022150|3	1022150		102215000					
102223			0	5.6			1	0	1022230	1022230		102223000	FxR3LuxiyaCanying	Root			
102224			0	5.6			1	0	1022240	1022230|1022240		102224000	FxR3LuxiyaCanying	Root			
102225			0	5.6			1	0	1022250	1022230|1022240|1022250		102225000	FxR3LuxiyaCanying	Root			
102226			0	5.6			1	0	1022260	1022260		102226000					
102227			0	5.6			1	0	1022270	1022260|1022270		102227000					
102228			0	5.6			1	0	1022280	1022260|1022270|1022280		102228000					
102242			0	-1			1	0	1022420			102242000					
102243			0	6			1	0	1022430|3			102243000					
102244			0	6			1	0	1022440|3			102244000					
102245			0	0			1	0	1022450	1022430|1022440							
102246			0	6.1			1	0	1022460			102246000					
102250			0	5.8			1	0	1022500			102250000					1
102253			0	5.9			1	0	1022530|1	1022530		102253000					
102255			0	0			1	0	1022550	1022530|1022560							
102256			0	5.9			1	0	1022560	1022560		102256000					
102257			0	0			1	0	1022570	1022570		102257000					
102258			0	0			1	0	1022580	1022580		102258000					
102259			0	3.7			1	0	1022590			102259000					1
102260			0	-1			1	0	1022600			102260000					1
102261			0	-1			1	0	1022610			102261000					
102262			0	6.1			1	0	1022620			102262000					
102263			0	1			1	0	1022630			102263000					
102264			0	1			1	0	1022640			102264000					
102267			0	-1			1	0	1022670	1022670			FxR3LuxiyaBuff01	Root			
102268			0	0			1	0	1022680	1022670		102268000					
102269			0	6.1			1	0	1022690|3	1022690		102269000					
102270			0	2			1	0	1022700	1022700		102270000					
102271			0	0			1	0	1022710	1022700							
102272			0	2			1	0	1022720	1022720		102272000					
102273			0	0			1	0	1022730	1022720							
102274			0	2			1	0	1022740	1022740		102274000					
102275			0	2			1	0	1022750	1022750		102275000					
102276			0	0			1	0	1022760	1022740|1022750							
102277			0	2	8		1	0	1022770|8	1022770	10|15	102277000	FxTongyongBati	Root			
102278			0	0			1	0	1022780	1022770							
102279			0	2			1	0	1022790	1022790			FxR3LuxiyaCanying	Root			
102280			0	0			1	0	1022800	1022790							
102281			0	10			1	0	1022810			102281000					
102282			0	10			1	0	1022820			102282000					
102285			0	-1			1	0	1022850			102285000					
102286			0	-1			1	0	1022860			102286000					
102287			0	-1			1	0	1022870			102287000					
102288			0	-1			1	0	1022880			102288000					
102289			0	-1			1	0	1022890			102289000					
102290			0	-1			1	0	1022900			102290000					
102291			0	-1			1	0	1022910			102291000					
102292			0	-1			1	0	1022920			102292000					
102293			0	5	202		1	0	1022930|202|200|5	1022930		102293000					1
102294			0	-1			1	0	1022940								
102295			0	-1			1	0	1022950			102295000					
102296			0	0			1	0	1022960	1022960		102296000					1
102297			0	0			1	0	1022970	1022970							1
102298			0	-1			1	0	1022980			102298000	FxR3LuxiyaPinzhiGuadianBip001LForearm	Bip001LForearm			
102299			0	1.5			1	0	1022990	1022980	1022980		FxTongyongGuanghuanKuosan	Root			
101514			0	0.4			1	0	1015140|8		10|15	101514000					
101515			0	0			1	0	1015150	1015140							
101516			0	0			1	0	1015160			101516000					1
101523			0	5			1	0	1015230	1015230		101523000	FxTongyongBati	Root			
101524			0	5			1	0	1015240	1015230|1015240		101524000	FxTongyongBati	Root			
101525			0	5			1	0	1015250	1015230|1015240|1015250		101525000	FxTongyongBati	Root			
101526			0	-1			1	0	1015260|8		10|15	101526000					1
101527			0	0			1	0	1015270	1015260							
101528			0	-1			1	0	1015280			101528000					
101533			0	0			1	0	1015330			101533000					1
101535			0	-1			1	0	1015350			101535000	FxR3YongyechaoPinzhiGuadianBip001RForearm	Bip001RForearm			
101536			0	1.5			1	0	1015360	1015350	1015350		FxTongyongGuanghuanKuosan	Root			
101537			0	10			1	0	1015370			101537000					
101538			0	10			1	0	1015380			101538000					
101542			0	-1			1	0	1015420			101542000					
101543			0	0.3			1	0	1015430			101543000					
101544			0	0			1	0	1015440	1015430							
101545			0	0.3			1	0	1015450			101545000					
101546			0	0			1	0	1015460	1015450							
101547			0	-1			1	0	1015470	1015470			FxR3YongyechaoBorn	HitCase			1
101548			0	0			1	0	1015480	1015470							1
101550			0	1.9			1	0	1015500|402			101550000					1
101552			0	-1			1	0	1015520	1015520		101552000	FxR3YongyechaoAttack51Wuqi	Root			1
101553			0	-1			1	0	1015530	1015530		101553000					1
101556			0	0			1	0	1015560			101556000					1
101558			0	5			1	0	1015580			101558000					1
101559			0	3.6			1	0	1015590|401			101559000					1
101560			0	-1			1	0	1015600|403			101560000					1
101561			0	-1			1	0	1015610				FxR3YongyechaoFootL	Bip001LFoot			
101562			0	-1			1	0	1015620				FxR3YongyechaoFootR	Bip001RFoot			
101564			0	0			1	0	1015640			101564000					1
101565			0	0			1	0	1015650			101565000					1
101566			0	0			1	0	1015660			101566000					1
101567			0	1			1	0	1015670			101567000					1
101568			0	1			1	0	1015680			101568000					1
101569			0	5			1	0	1015690			101569000					
101570			0	0			1	0	1015700	1015690							1
101571			0	5			1	0	1015710			101571000					
101572			0	0			1	0	1015720	1015710							1
101573			0	0			1	0	1015730	1015670|1015680|1015770|1015780							1
101574			0	1.1			1	0	1015740	1015740		101574000					
101575			0	-1			1	0	1015750	1015750			FxR3YongyechaoCanying	HitCase			1
101576			0	0			1	0	1015760	1015750							1
101577			0	1.5			1	0	1015770			101577000					1
101578			0	1.5			1	0	1015780			101578000					1
101579			0	5	202		1	0	1015790|202|200|5	1015790		101579000	FxTongyongJianfang	HitCase			1
101586			0	5	202		1	0	1015860|202|200|5	1015860		101586000	FxTongyongJianfang	HitCase			1
101587			0	3			1	0	1015870	1015870		101587000	FxTongyongBati	Root			
101588			0	2.65			1	0	1015880			101588000					
101590			0	-1			1	0	1015900			101590000					
101591			0	-1			1	0	1015910			101591000					
101592			0	-1			1	0	1015920			101592000					
101593			0	-1			1	0	1015930			101593000					
101595			0	-1			1	0	1015950			101595000					
101596			0	6.9			1	0	1015960	1015960		101596000					
101597			0	-1			1	0	1015970			101597000					
101598			0	4.9			1	0	1015980	1015980		101598000					
101599			0	4.9			1	0	1015990	1015990		101599000					
