Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
900001			0	60			-1	0	9000010|9000013								
900002			0	0			1	0	9000020								
900003			0	999			1	0	9000030|9000033			900003000					
900004			0	-1			1	0	9000040|9000043			900004000					
900005			0	1			1	0	9000050|9000053				FxHudun	HitCase			
900006			0	0			1	0	9000060|9000063	9000050							
900007			0	-1			1	0	9000070|9000073				FxMebiaoji001				
900008			0	2			1	0	9000080|9000083				FxBorn01				
900009			0	5			1	0	9000090|9000093			900009000					
900010			0	0.1			1	0	9000100|9000103	9000090|9000350	9000090|9000350						1
900011			0	-1			1	0	9000110			900011000					
900012			0	-1			1	0	9000120|9000123			900012000					
900013			0	-1			1	0	9000130			900013000					
900014			0	-1			1	0	9000140|9000143			900014000					
900015			0	-1			1	0	9000150|9000153			900015000					
900016			0	-1			1	0	9000160			900016000					
900019			0	-1			1	0	9000190			900019000					
900020			0	-1			1	0	9000200|9000203			900020000					
900021			0	0			1	0	9000210	1000900	1000900						
900022			0	-1			1	0	9000220|9000223			900022000					
900023			0	-1			1	0	9000230|9000233			900023000					
900024			0	0			1	0	9000240	9000230	9000230						
900025			0	0			1	0	9000250|9000250								1
900026			0	-1			1	0	9000260			900026000					
900027			0	-1			1	0	9000270			900027000					
900029			0	-1			1	0	9000290|9000293			900029000					
900030			0	0			1	0	9000300	9000290	9000290						
900031			0	-1			1	0	9000310			900031000					
900032			0	-1			1	0	9000320			900032000					
900033			0	-1			1	0	9000330			900033000					
900034			0	-1			1	0	9000340			900034000					
900035			0	5			1	0	9000350				FxTongyongBati				
900050			0	-1			1	0	9000500			900050000					
900051			0	-1			1	0	9000510			900051000					
900052			0	0.05			99	0	9000520								
900053			0	3			1	0	9000530			900053000					
900055			0	-1			1	0	9000550								
900056			0	-1			1	0	9000560			900056000					1
900057			0	-1			1	0	9000570|8		10|15						
900058			0	-1			1	0	9000580			900058000					
900059			0	-1			1	0	9000590			900059000					
900060			0	0			1	0	9000600	9000580	9000580						
900061			0	0			1	0	9000610	9000590	9000590						
900062			0	-1			1	0	9000620			900062000					
900063			0	-1			1	0	9000630			900063000					
900064			0	-1			1	0	9000640			900064000					1
900065			0	-1			1	0	9000650|1000			900065000					1
900066			0	-1			1	0	9000660			900066000					
900067			0	-1	900067		99	0	9000670			900067000	FxCizhuiBaozou	HitCase			
900068			0	-1			1	0	9000680			900068000					
900070			0	-1			1	0	9000700								
900071			0	-1			1	0	9000710								
900072			0	-1			1	0	9000720								
900073			0	-1			1	0	9000730								
900074			0	-1			1	0	9000740								
900075			0	-1			1	0	9000750								
900076			0	-1			1	0	9000760								
900077			0	-1			1	0	9000770								
900078			0	-1			1	0	9000780								
900079			0	-1			1	0	9000790								
900080			0	-1			1	0	9000800			900080000					
900081			0	-1			1	0	9000810			900081000					
900082			0	-1			1	0	9000820								
900083			0	-1			1	0	9000830			900083000					
900085			0	-1			1	0	9000850			900085000					
900086			0	-1			1	0	9000860			900086000					
900087			0	-1			1	0	9000870			900087000					
900088			0	-1			1	0	9000880			900088000					
900089			0	-1			1	0	9000890			900089000					
900090			0	-1			1	0	9000900			900090000					
900091			0	-1			1	0	9000910			900091000					
900092			0	-1			1	0	9000920			900092000					
900093			0	-1			1	0	9000930			900093000					
900094			0	-1			1	0	9000940			900094000					
900095			0	-1			1	0	9000950			900095000					
900096			0	-1			1	0	9000960			900096000					
900101			0	-1			1	0	9001010			900101000					
900102			0	-1			1	0	9001020|9001020			900102000					
900103			0	0			1	0	9001030|9001030								
900104			0	0			99	0	9001040			900104000					
900105			0	-1			99	0	9001050			900105000					
900106			0	2			99	0	9001060	1013360	1013360						1
900107			0	-1			1	0	9001070			900107000					
900201			0	-1			1	0	9002010			900201000					
900202			0	-1			1	0	9002020			900202000					
900203			0	-1			1	0	9002030			900203000					
900204			0	-1			1	0	9002040			900204000					
900205			0	-1			1	0	9002050			900205000					
900206			0	-1			1	0	9002060			900206000					
900207			0	-1			1	0	9002070			900207000					
900208			0	-1			1	0	9002080			900208000					
900209			0	-1			1	0	9002090			900209000					
900210			0	0.05			1	0	9002100								
900211			0	-1			1	0	9002110			900211000					
900212			0	0.05			1	0	9002120								
900213			0	1			1	0	9002130			900213000					
900214			0	-1			1	0	9002140			900214000					
900701			0	-1			1	0	9007010|9007013			900701000					
900702			0	0			1	0	9007020|9007023	9007010	9007010						
900705			0	-1			1	0	9007050|9007053			900705000					
900706			0	0			1	0	9007060|9007063	9007050	9007050						
900707			0	0			1	0	9007070								
900708			0	0			1	0	9007080								
970001			0	-1			1	0	9700010								
970002			0	-1			1	0	9700020								
970003			0	0			1	0	9700030	9700010|9700020							
970004			0	0			1	0	9700040								
970005			0	0			1	0	9700050								
970006			0	-1			1	0	9700060			970006000					
971001			0	-1			99	0	9710010								
971002			0	0			1	0	9710020	9710010|9710710	9710010|9710710						
971003			0	0			1	0	9710030			971003000					
971004			0	0			1	0	9710040								
971005			0	0			1	0	9710050								
971006			0	0			1	0	9710060								
971007			0	5			1	0	9710070			971007000					
971008			0	2			1	0	9710080|17|5|10			971008000					
971009			0	0			1	0	9710090			971009000					
971010			0	0			1	0	9710100								
971011			0	0			1	0	9710110								
971012			0	0			1	0	9710120								
971013			0	5			1	0	9710130			971013000					
971014			0	0			1	0	9710140								
971016			0	0.05			1	0	9710160								
971017			0	0.05			1	0	9710170								
971018			0	0			1	0	9710180								
971020			0	0			1	0	9710200								
971021			0	0			1	0	9710210								
971022			0	0			1	0	9710220								
971023			0	0			1	0	9710230								
971026			0	0			1	0	9710260								
971027			0	0			1	0	9710270								
971028			0	0			1	0	9710280								
971029			0	0			1	0	9710290								
971030			0	5			1	0	9710300			971030000					
971031			0	0			1	0	9710310								
971033			0	0			1	0	9710330								
971034			0	0			1	0	9710340								
971035			0	0			1	0	9710350								
971036			0	0			1	0	9710360								
971037			0	5			1	0	9710370			971037000					
971038			0	0			1	0	9710380								
971039			0	3			1	0	9710390			971039000					
971041			0	-1			1	0	9710410			971041000					
971042			0	0.1			1	0	9710420	9710410	9710410						
971043			0	0.05			1	0	9710430			971043000					
971044			0	0.05			1	0	9710440			971044000					
971045			0	0.05			1	0	9710450			971045000					
971046			0	0.05			1	0	9710460			971046000					
971047			0	0.05			1	0	9710470			971047000					
971048			0	0.05			1	0	9710480			971048000					
971049			0	0.05			1	0	9710490			971049000					
971050			0	0.05			1	0	9710500			971050000					
971051			0	0.05			1	0	9710510			971051000					
971052			0	0.05			1	0	9710520			971052000					
