Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
740001			0	0.3			1	0	7400010			740001000					
740003			0	-1			1	0	7400030			740003000					
740004			0	-1			1	0	7400040			740004000					1
740005			0	2			1	0	7400050	1000330	1000330						
740006			0.3	-1			1	0	7400060			740006000					
740007			0	-1			1	0	7400070			740007000					
740008			0	2			1	0	7400080			740008000					
740009			0	2			1	0	7400090			740009000					1
740010			0	-1			1	0	7400100			740010000					
740011			0	2			1	0	7400110			740011000					1
740012			0	-1			1	0	7400120	1000510|1000520	1000510|1000520	740012000					
740013			0	-1			1	0	7400130	1000330|1000510|1000520	1000330|1000510|1000520						
740014			0	-1			1	0	7400140			740014000					
740015			0	-1			1	0	7400150			740015000					
740016			0	-1			1	0	7400160			740016000					
740017			0	-1			1	0	7400170				FxXinshouZhansha01				
740018			0	-1			1	0	7400180	7400170			FxXinshouZhansha02				
740019			0	-1			1	0	7400190	9955070	9955070						
740020			0	-1			1	0	7400200			740020000					
740021			0	-1			1	0	7400210			740021000					
740022			0	1			1	0	7400220			740022000					1
740023			0	999			1	0	7400230			740023000					1
740025			0	0			1	0	7400250			740025000					1
740026			0	-1			1	0	7400260			740026000					
740027			0	1			1	0	7400270	7400220	7400220	740027000					
741001			0	-1			1	0	7410010			741001000	FxMb1BraveMd010011Attack12Laser	Root			
741002			0	-1			1	0	7410020			741002000					
741003			0	0.3			1	0	7410030			741003000					
