Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
90390096				-1								90390097					1
90390098			4.2	-1								90390099					1
90390094			4.2	-1								90390095					1
90390092			4.2	-1								90390093					1
20150096				-1								20150097					1
20150098				-1								20150099					1
20150094				-1								20150095					1
20150092				-1								20150093					1
82130096				-1								82130097					1
82130098				-1								82130099					1
82130094				-1								82130095					1
82130092				-1								82130093					1
82150096				-1								82150097					1
82150098			2.6	-1								82150099					1
82150094			2.6	-1								82150095					1
82150092			2.6	-1								82150093					1
82160096				-1								82160097					1
82160098				-1								82160099					1
82160094				-1								82160095					1
82160092				-1								82160093					1
