Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
90030096				-1								90030097					1
90030098				-1								90030099					1
90030094				-1								90030095					1
90030092				-1								90030093					1
90090096				-1								90090097					1
90090098				-1								90090099					1
90090094				-1								90090095					1
90090092				-1								90090093					1
90100096				-1								90100097					1
90100098				-1								90100099					1
90100094				-1								90100095					1
90100092				-1								90100093					1
90110096				-1								90110097					1
90110098				-1								90110099					1
90110094				-1								90110095					1
90110092				-1								90110093					1
90120096				-1								90120097					1
90120098				-1								90120099					1
90120094				-1								90120095					1
90120092				-1								90120093					1
90130096				-1								90130097					1
90130098				-1								90130099					1
90130094				-1								90130095					1
90130092				-1								90130093					1
90150096				-1								90150097					1
90150098				-1								90150099					1
90150094				-1								90150095					1
90150092				-1								90150093					1
90160096				-1								90160097					1
90160098				-1								90160099					1
90160094				-1								90160095					1
90160092				-1								90160093					1
90170096				-1								90170097					1
90170098				-1								90170099					1
90170094				-1								90170095					1
90170092				-1								90170093					1
90180096				-1								90180097					1
90180098				-1								90180099					1
90180094				-1								90180095					1
90180092				-1								90180093					1
90190096				-1								90190097					1
90190098				-1								90190099					1
90190094				-1								90190095					1
90190092				-1								90190093					1
90200096				-1								90200097					1
90200098				-1								90200099					1
90200094				-1								90200095					1
90200092				-1								90200093					1
90210096				-1								90210097					1
90210098				-1								90210099					1
90210094				-1								90210095					1
90210092				-1								90210093					1
90250096				-1								90250097					1
90250098				-1								90250099					1
90250094				-1								90250095					1
90250092				-1								90250093					1
90360096				-1								90360097					1
90360098				-1								90360099					1
90360094				-1								90360095					1
90360092				-1								90360093					1
90420096			1	-1								90420097					1
90420098			1	-1								90420099					1
90420094			1	-1								90420095					1
90420092			1	-1								90420093					1
96010096				-1								96010097					1
96010098				-1								96010099					1
96010094				-1								96010095					1
96010092				-1								96010093					1
96040096				-1								96040097					1
96040098				-1								96040099					1
96040094				-1								96040095					1
96040092				-1								96040093					1
96050096				-1								96050097					1
96050098				-1								96050099					1
96050094				-1								96050095					1
96050092				-1								96050093					1
96060096				-1								96060097					1
96060098				-1								96060099					1
96060094				-1								96060095					1
96060092				-1								96060093					1
96070096				-1								96070097					1
96070098				-1								96070099					1
96070094				-1								96070095					1
96070092				-1								96070093					1
96080096				-1								96080097					1
96080098				-1								96080099					1
96080094				-1								96080095					1
96080092				-1								96080093					1
96100096				-1								96100097					1
96100098				-1								96100099					1
96100094				-1								96100095					1
96100092				-1								96100093					1
96140096				-1								96140097					1
96140098				-1								96140099					1
96140094				-1								96140095					1
96140092				-1								96140093					1
96150096				-1								96150097					1
96150098				-1								96150099					1
96150094				-1								96150095					1
96150092				-1								96150093					1
