Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
99810096				-1								99810097					1
99810098				-1								99810099					1
99810094				-1								99810095					1
99810092				-1								99810093					1
99820096				-1								99820097					1
99820098				-1								99820099					1
99820094				-1								99820095					1
99820092				-1								99820093					1
99830096				-1								99830097					1
99830098				-1								99830099					1
99830094				-1								99830095					1
99830092				-1								99830093					1
81520096				-1								81520097					1
81520098				-1								81520099					1
81520094				-1								81520095					1
81520092				-1								81520093					1
83400096				-1								83400097					1
83400098				-1								83400099					1
83400094				-1								83400095					1
83400092				-1								83400093					1
