Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
81110096				-1								81110097					1
81110098			1.65	-1								81110099					1
81110094			1.65	-1								81110095					1
81110092			1.65	-1								81110093					1
81120096				-1								81120097					1
81120098				-1								81120099					1
81120094				-1								81120095					1
81120092				-1								81120093					1
81130096				-1								81130097					1
81130098			1.65	-1								81130099					1
81130094			1.65	-1								81130095					1
81130092			1.65	-1								81130093					1
81200096				-1								81200097					1
81200098			1	-1								81200099					1
81200094			1	-1								81200095					1
81200092			1	-1								81200093					1
81300096			5	-1								81300097					1
81300098			5	-1								81300099					1
81300094			5	-1								81300095					1
81300092			5	-1								81300093					1
81310096				-1								81310097					1
81310098			4.6	-1								81310099					1
81310094			4.6	-1								81310095					1
81310092			4.6	-1								81310093					1
81400096				-1								81400097					1
81400098			2.767	-1								81400099					1
81400094			2.767	-1								81400095					1
81400092			2.767	-1								81400093					1
81410096			1	-1								81410097					1
81410098			1	-1								81410099					1
81410094			1	-1								81410095					1
81410092			1	-1								81410093					1
