Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
83200096				-1								83200097					1
83200098			2.13	-1								83200099					1
83200094			2.13	-1								83200095					1
83200092			2.13	-1								83200093					1
83220096				-1								83220097					1
83220098			1.57	-1								83220099					1
83220094			1.57	-1								83220095					1
83220092			1.57	-1								83220093					1
83310096			2.47	-1								83310097					1
83310098			2.47	-1								83310099					1
83310094			2.47	-1								83310095					1
83310092			2.47	-1								83310093					1
83330096			2.47	-1								83330097					1
83330098			2.47	-1								83330099					1
83330094			2.47	-1								83330095					1
83330092			2.47	-1								83330093					1
