Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
815201			0	4			1	0	8152010|815203			815201000	FxMe1BioMd006010Attack10Bianshen01				1
815202			0	1			1	0	8152020			815202000					1
815203			0	0.5			1	0	8152030			815203000					
815204			0	-1			1	0	8152040			815204000					
815205			0	0.1			1	0	8152050								
815211			0	3			1	0	8152110|8152113			815211000					
815212			0	0			1	0	8152120|8152123			815212000					
815213			0	0			1	0	8152130|8152133			815213000					
815214			0	-1			1	0	8152140				FxMo1ArmorMd010071Attack04				
815215			0	10			1	0	8152150			815215000					
815216			0	10			1	0	8152160|5052163			815216000					
815217			0	-1			1	0	8152170			815217000					
815218			0	-1			1	0	8152180	8152170							
815219			0	0			1	0	8152190			815219000					
815220			0	0.4			-1	0	8152200			815220000					
815221			0	3			1	0	8152210			815221000					
815222			0	10			1	0	8152220			815222000					
815223			0	10			1	0	8152230			815223000					
815224			0	10			1	0	8152240			815224000					
815225			0	1			1	0	8152250			815225000					
815226			0	10			1	0	8152260			815226000					
815227			0	1			99	0	8152270			815227000					
815228			0	-1			1	0	8152280			815228000					
834001			0	0			1	0	8340010								
834002			0	7			1	0	8340020			834002000					
834003			0	1			99	0	8340030			834003000					
834004			0	1			1	0	8340040			834004000					1
