Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
832000			0	4			99	0	8320000			832000000					1
832008			0	-1			1	0	8320080				FxMb1LuosaitaMd010001Attack0801				
832009			0	-1			1	0	8320090				FxMb1LuosaitaMd010001Attack0802				
832010			0	0			1	0	8320100	8320080|8320090							
832021			0	3			1	0	8320210								
832022			0	3.1			1	0	8320220			832022000					
832023			0	10			1	0	8320230			832023000					
832200			0	6.9			99	0	8322000			832200000					1
832201			0	-1			1	0	8322010	8322310|8311320|8322330|8322340		832201000					
832202			0	-1			1	0	8322020			832202000					
832203			0	-1			1	0	8322030			832203000					
832204			0	0			1	0	8322040	8322010|8322020|8322030							
832205			0.2	0			1	0	8322050			832205000					
832206			0	0.2			1	0	8322060			832206000					1
832207			0	0.45			1	0	8322070				FxMb1LuosaitaMd010002Canying				
832208			0	0.45			1	0	8322080				FxMb1LuosaitaMd010002MoveGuadianBip001RHand	Bip001 R Hand			
832209			0	0.45			1	0	8322090				FxMb1LuosaitaMd010002MoveGuadianBip001Spine1	Bip001 Spine1			
832210			0	-1			1	0	8322100			832210000					
832211			0	0.8			1	0	8322110|8		10|15	832211000					
832212			0	-1			1	0	8322120			832212000					
832213			0	-1			1	0	8322130			832213000					
832214			0.2	0			1	0	8322140			832214000					
832223			0	0.9			1	0	8322230			832223000					
832231			0	-1			1	0	8322310	8322330|8322340	8322330|8322340		FxMb1LuosaitaMd010002Chibang01GuadianBone009	Bone009			
832232			0	-1			1	0	8322320	8322330|8322340	8322330|8322340		FxMb1LuosaitaMd010002Chibang01GuadianBone009mirrored	Bone009mirrored			
832233			0	-1			1	0	8322330	8322310|8311320	8322310|8311320		FxMb1LuosaitaMd010002Chibang02GuadianBone009	Bone009			
832234			0	-1			1	0	8322340	8322310|8311320	8322310|8311320		FxMb1LuosaitaMd010002Chibang02GuadianBone009mirrored	Bone009mirrored			
832235			0	5			1	0	8322350				FxMb1LuosaitaMd010002Attack06Yujing02	HitCase			
832236			0	0.5			1	0	8322360	8322350	8322350		FxMb1LuosaitaMd010002Attack06Yujing01	HitCase			
832237			0	10			1	0	8322370			832237000					
