Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
9951				-1								99510					
9952				-1								99520					
9044				-1								90440					
9026				-1								90260					
9033				-1								90330					
9038				-1								90380					
9960				-1								99600					
9958				-1								99580					
9954				-1								99540					
9955				-1								99550					
9037				-1								90370					
9034				-1								90340					
9022				-1								90220					
9043				-1								90430					
9051				-1								90510					
9058				-1								90580					
9957				-1								99570					
9052				-1								90520					
9053				-1								90530					
9054				-1								90540					
9055				-1								90550					
9056				-1								90560					
9057				-1								90570					
