Name	Type
AddBall	2|2
AddBehavior	2
AddBuff	2
AddMissile	2|2
AddNpc	2|2|2|0|4|4|0|4|4
AddAttribValue	2|2|2
ChangeAttribAdditive	2|2|2
ChangeAttribValue	2|2|2
ChangeDamageAdditive	2|2|2
ChangeCureAdditive	2|2|2
Cure	2|2|2|2|1
Damage	2|2|2|2|2|2|1|2
DelayCombo	4
Die	
DragNpc	2|2|4|4
HideJoint	0
PlayCameraTrack	0|3|3
PlayCameraTrackOnAllClients	0|3|3
PlayScreenEffect	2
SetDOFFocus	
SetAllClientsDOFFocus	
LowSaturation	1
RecordCombo	2
RemoveBehavior	2|2
RemoveBuff	2|2
ResetBuffDurationByBuffId	2
ResetBuffDurationByKind	2
ResetCombo	
SetCameraPosition	3|3|3|3|3
SetCameraRotation	3|3|3|3|3|1|1
SetCameraPositionOffset	3|3|3|3|3|1
SetDamage	2|2
ShakeCamera	2|3|3|3|3|2
ShakeAllCamera	2|3|3|3|3|2
CameraNoise	0|3|3|3
AllCameraNoise	0|3|3|3
AddForceThreat	
AddThreat	2
ClearFromNpcThreat	
ClearToNpcThreat	
AddProtector	2|2|2|2
ChangeModelScale	3|3
DoMotionBlur	3|3|3|3|3
ChangeTimeScale	4|2|2|2
AddTimeScaleBuff	4
AddNpcState	2
PlaySceneColorEffect	0
PlayBallExEffect	
AddWeapon	2
PlaySound	2|1
PlayCV	2|1
PauseCountDown	
PauseFightTime	
AddChain	2
SetTimeDependency	
