Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
90030096	AddBuff	90030096																													
90030097	AddMissile	900399|1																													
90030098	AddBuff	90030098																													
90030099	HideJoint	Root																													
90030094	AddBuff	90030094																													
90030095	AddNpcState	21																													
90030092	AddBuff	90030092																													
90030093	AddNpcState	22																													
90090096	AddBuff	90090096																													
90090097	AddMissile	900999|1																													
90090098	AddBuff	90090098																													
90090099	HideJoint	Root																													
90090094	AddBuff	90090094																													
90090095	AddNpcState	21																													
90090092	AddBuff	90090092																													
90090093	AddNpcState	22																													
90100096	AddBuff	90100096																													
90100097	AddMissile	901099|1																													
90100098	AddBuff	90100098																													
90100099	HideJoint	Root																													
90100094	AddBuff	90100094																													
90100095	AddNpcState	21																													
90100092	AddBuff	90100092																													
90100093	AddNpcState	22																													
90110096	AddBuff	90110096																													
90110097	AddMissile	901199|1																													
90110098	AddBuff	90110098																													
90110099	HideJoint	Root																													
90110094	AddBuff	90110094																													
90110095	AddNpcState	21																													
90110092	AddBuff	90110092																													
90110093	AddNpcState	22																													
90120096	AddBuff	90120096																													
90120097	AddMissile	901299|1																													
90120098	AddBuff	90120098																													
90120099	HideJoint	Root																													
90120094	AddBuff	90120094																													
90120095	AddNpcState	21																													
90120092	AddBuff	90120092																													
90120093	AddNpcState	22																													
90130096	AddBuff	90130096																													
90130097	AddMissile	901399|1																													
90130098	AddBuff	90130098																													
90130099	HideJoint	Root																													
90130094	AddBuff	90130094																													
90130095	AddNpcState	21																													
90130092	AddBuff	90130092																													
90130093	AddNpcState	22																													
90150096	AddBuff	90150096																													
90150097	AddMissile	901599|1																													
90150098	AddBuff	90150098																													
90150099	HideJoint	Root																													
90150094	AddBuff	90150094																													
