Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
99210096	AddBuff	99210096																													
99210097	AddMissile	992199|1																													
99210098	AddBuff	99210098																													
99210099	HideJoint	Root																													
99210094	AddBuff	99210094																													
99210095	AddNpcState	21																													
99210092	AddBuff	99210092																													
99210093	AddNpcState	22																													
99220096	AddBuff	99220096																													
99220097	AddMissile	992299|1																													
99220098	AddBuff	99220098																													
99220099	HideJoint	Root																													
99220094	AddBuff	99220094																													
99220095	AddNpcState	21																													
99220092	AddBuff	99220092																													
99220093	AddNpcState	22																													
99230096	AddBuff	99230096																													
99230097	AddMissile	992399|1																													
99230098	AddBuff	99230098																													
99230099	HideJoint	Root																													
99230094	AddBuff	99230094																													
99230095	AddNpcState	21																													
99230092	AddBuff	99230092																													
99230093	AddNpcState	22																													
90350096	AddBuff	90350096																													
90350097	AddMissile	903599|1																													
90350098	AddBuff	90350098																													
90350099	HideJoint	Root																													
90350094	AddBuff	90350094																													
90350095	AddNpcState	21																													
90350092	AddBuff	90350092																													
90350093	AddNpcState	22																													
20160096	AddBuff	20160096																													
20160097	AddMissile	201699|1																													
20160098	AddBuff	20160098																													
20160099	HideJoint	Root																													
20160094	AddBuff	20160094																													
20160095	AddNpcState	21																													
20160092	AddBuff	20160092																													
20160093	AddNpcState	22																													
