Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
873601	AddBuff	873601																													
873601000	AddBehavior	873601																													
873602	AddBuff	873602																													
873602000	AddBehavior	873602																													
873603	AddBuff	873603																													
873603000	AddBehavior	873603																													
873604	AddBuff	873604																													
873605	AddBuff	873605																													
873605000	AddBehavior	873605																													
873606	Damage	0|0|600|0|0|||																													
873607	DragNpc	1|2|6|100																													
873608	AddBuff	873608																													
873608000	ShakeCamera	2|00.3|-00.2|10|00.15|0																													
873609	DragNpc	1|2|5|100																													
873610	DragNpc	1|2|4.5|100																													
873611	DragNpc	1|2|4|100																													
873612	DragNpc	1|2|3.5|100																													
873613	DragNpc	1|2|3|100																													
873614	DragNpc	1|2|2.5|100																													
873615	DragNpc	1|2|2|100																													
873616	DragNpc	1|2|1.5|100																													
873617	DragNpc	1|2|1|100																													
873618	AddBuff	873618																													
873618000	ShakeCamera	2|00.2|-00.2|10|00.15|0																													
873619	DragNpc	1|2|1|100																													
873620	AddBuff	873620																													
873620000	ShakeCamera	2|00.1|-00.2|10|00.15|0																													
873621	AddBuff	873621																													
873621000	AddBehavior	873621																													
873622	Damage	0|0|7000|0|0|||																													
873623	AddBuff	873623																													
873625	AddBuff	873625																													
873625000	ShakeCamera	2|00.5|-00.2|10|00.15|0																													
873626	AddBuff	873626																													
873626000	AddBehavior	873626																													
873627	AddBuff	873627																													
873627000	AddBehavior	873627																													
873628	AddBuff	873628																													
873628000	Damage	0|0|500|0|0|||																													
873629	AddBuff	873629																													
873630	AddBuff	873630																													
873630000	PlayCameraTrackOnAllClients	CTMb1CubeMd050001Born|00.3|00.3																													
873631	AddBuff	873631																													
873632	AddBuff	873632																													
873633	AddBuff	873633																													
873633000	AddBehavior	873633																													
873634	AddBuff	873634																													
873634000	AddBehavior	873634																													
873635	Damage	0|0|7000|0|0|||																													
873636	AddBuff	873636																													
873637	AddBuff	873637																													
873637000	AddBehavior	873637																													
873638	AddBuff	873638																													
873638000	HideJoint	Root																													
873639	AddBuff	873639																													
873639000	AddNpcState	21																													
873640	AddBuff	873640																													
873640000	AddNpcState	22																													
873641	AddBuff	873641																													
873641000	AddNpcState	1																													
873642	AddBuff	873642																													
873901	AddBuff	873901																													
873901000	AddBehavior	873901																													
873902	AddBuff	873902																													
873902000	AddBehavior	873902																													
873903	AddBuff	873903																													
873903000	AddBehavior	873903																													
873904	AddBuff	873904																													
873904000	AddBehavior	873904																													
873905	AddBuff	873905																													
873905000	AddBehavior	873905																													
873906	AddBuff	873906																													
873906000	AddBehavior	873906																													
873907	AddBuff	873907																													
873907000	AddBehavior	873907																													
873908	AddBuff	873908																													
873908000	AddBehavior	873908																													
873909	AddBuff	873909																													
873909000	AddBehavior	873909																													
873910	AddBuff	873910																													
873910000	AddBehavior	873910																													
873911	AddBuff	873911																													
873911000	AddBehavior	873911																													
873912	AddBuff	873912																													
873912000	AddBehavior	873912																													
873913	AddBuff	873913																													
873913000	AddBehavior	873913																													
873914	AddBuff	873914																													
873914000	AddBehavior	873914																													
873915	AddBuff	873915																													
873916	AddBuff	873916																													
873916000	AddBehavior	873916																													
873917	AddBuff	873917																													
873917000	AddBehavior	873917																													
873918	AddBuff	873918																													
873918000	AddBehavior	873918																													
873919	AddBuff	873919																													
873920	AddBuff	873920																													
873920000	AddBehavior	873920																													
873921	AddBuff	873921																													
873921000	AddBehavior	873921																													
873922	AddBuff	873922																													
873922000	AddBehavior	873922																													
873923	AddBuff	873923																													
873923000	AddBehavior	873923																													
873924	AddBuff	873924																													
873924000	AddBehavior	873924																													
873925	AddBuff	873925																													
873925000	AddBehavior	873925																													
873926	AddBuff	873926																													
873926000	AddBehavior	873926																													
873927	AddBuff	873927																													
873927000	AddBehavior	873927																													
873928	AddBuff	873928																													
873928000	AddBehavior	873928																													
873929	AddBuff	873929																													
873929000	AddBehavior	873929																													
873930	AddBuff	873930																													
873930000	AddBehavior	873930																													
873931	AddBuff	873931																													
873931000	AddBehavior	873931																													
874101	AddBuff	874101																													
874102	AddBuff	874102																													
874102000	PlayCameraTrackOnAllClients	Mb1CubeMd010001Born|00.3|00.3																													
874103	AddBuff	874103																													
874104	AddBuff	874104																													
874105	AddBuff	874105																													
874106	AddBuff	874106																													
874107	AddBuff	874107																													
874108	AddBuff	874108																													
874109	AddBuff	874109																													
874110	AddBuff	874110																													
874111	AddBuff	874111																													
874112	AddBuff	874112																													
874113	AddBuff	874113																													
874114	AddBuff	874114																													
874115	AddBuff	874115																													
874116	AddBuff	874116																													
874117	AddBuff	874117																													
874118	AddBuff	874118																													
874119	AddBuff	874119																													
874120	AddBuff	874120																													
874121	AddBuff	874121																													
874122	AddBuff	874122																													
874123	AddBuff	874123																													
874124	AddBuff	874124																													
874125	AddBuff	874125																													
