Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
720001	AddBuff	720001																													
720001000	ChangeAttribAdditive	3||-6000																													
720002	AddBuff	720002																													
720002000	ChangeAttribValue	1|10000|																													
720003	AddBuff	720003																													
720003000	ChangeAttribValue	1|20000|																													
720004	AddBuff	720004																													
720004000	AddBehavior	720004																													
720005	AddBuff	720005																													
720005000	AddBehavior	720005																													
720006	AddBuff	720006																													
720006000	AddNpcState	30																													
720007	AddBuff	720007																													
720007000	AddBehavior	720007																													
720008	AddBuff	720008																													
720009	AddBuff	720009																													
720009000	AddBehavior	720009																													
720010	AddBuff	720010																													
720010000	AddBehavior	720010																													
720011	AddBuff	720011																													
720011000	AddBehavior	720011																													
720012	AddBuff	720012																													
720012000	AddBehavior	720012																													
720013	AddBuff	720013																													
720013000	AddBehavior	720013																													
720014	AddBuff	720014																													
720014000	AddBehavior	720014																													
720015	AddBuff	720015																													
720015000	ChangeAttribAdditive	25|120000|																													
720016	AddBuff	720016																													
720016000	HideJoint	ModelCase																													
720017	AddBuff	720017																													
720017000	HideJoint	Root																													
720018	AddBuff	720018																													
720020	AddBuff	720020																													
720020000	AddBehavior	720020																													
720021	AddBuff	720021																													
720021000	AddNpcState	11																													
720022	AddBuff	720022																													
720022000	AddNpcState	21																													
720023	AddBuff	720023																													
720023000	AddNpcState	22																													
720024	AddBuff	720024																													
720025	AddBuff	720025																													
720026	AddBuff	720026																													
720027	AddBuff	720027																													
720028	AddBuff	720028																													
720028000	AddAttribValue	1|100|-2000																													
720029	AddBuff	720029																													
720029000	AddBehavior	720029																													
720030	AddBuff	720030																													
720031	AddBuff	720031																													
720031000	AddNpcState	30																													
720032	AddBuff	720032																													
720032000	ChangeTimeScale	00.2|20|0|0																													
720033	AddBuff	720033																													
720033000	ChangeTimeScale	00.2|160|0|0																													
720034	AddBuff	720034																													
720034000	SetCameraPosition	0|0|5|3																													
720035	AddBuff	720035																													
720035000	SetCameraRotation	-5|180|0|3|1|0																													
720036	AddBuff	720036																													
720037	AddBuff	720037																													
720038	AddBuff	720038																													
720038000	AddBehavior	720038																													
720039	AddBuff	720039																													
720039000	HideJoint	WeaponCase																													
720040	AddBuff	720040																													
720040000	HideJoint	Bip001Prop1																													
720041	AddBuff	720041																													
720041000	AddBehavior	720041																													
720042	AddBuff	720042																													
720042000	AddNpcState	30																													
720101	AddBuff	720101																													
720101000	SetCameraRotation	0|90|0|1|1|																													
720102	AddBuff	720102																													
720102000	SetCameraPosition	0|1|-8|1																													
720201	AddBuff	720201																													
720201000	AddNpcState	21																													
720202	AddBuff	720202																													
720202000	AddNpcState	22																													
720203	AddBuff	720203																													
720203000	AddBehavior	720203																													
720204	AddBuff	720204																													
720204000	ChangeTimeScale	00.2|5|0|0																													
720205	AddBuff	720205																													
720205000	AddNpcState	25																													
720206	AddBuff	720206																													
720206000	HideJoint	ModelCase																													
720207	AddBuff	720207																													
720207000	RemoveBuff	720206|																													
720208	AddBuff	720208																													
720209	AddBuff	720209																													
720209000	AddBehavior	720209																													
720210	AddBuff	720210																													
720210000	ChangeAttribAdditive	3||-8000																													
720211	AddBuff	720211																													
720211000	ChangeAttribAdditive	4||-8000																													
720212	AddBuff	720212																													
720212000	RemoveBuff	720210|																													
720213	AddBuff	720213																													
720213000	RemoveBuff	720211|																													
720214	AddBuff	720214																													
720214000	AddBehavior	720214																													
720215	AddBuff	720215																													
720215000	RemoveBuff	701003|																													
720216	AddBuff	720216																													
720216000	RemoveBuff	700227|																													
720217	AddBuff	720217																													
720217000	RemoveBuff	700228|																													
720218	AddBuff	720218																													
720218000	RemoveBuff	720209|																													
720220	AddBuff	720220																													
720220000	AddBehavior	720220																													
720221	AddBuff	720221																													
720221000	RemoveBuff	720220|																													
720301	AddBuff	720301																													
720301000	SetCameraRotation	90|0|0|1|1|0																													
720302	AddBuff	720302																													
720302000	SetCameraPosition	0|0|-50|1																													
720303	AddBuff	720303																													
720303000	RemoveBuff	720301|																													
720304	AddBuff	720304																													
720304000	RemoveBuff	720302|																													
