Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
903301	Damage	1|0|300|0|0|||																													
903302	Damage	1|0|600|0|0|||																													
903303	Damage	1|0|700|0|0|||																													
903304	Damage	1|0|800|0|0|||																													
903306	Damage	1|0|200|0|0|||																													
903307	AddBuff	903307																													
903307000	AddNpcState	23																													
903308	AddBuff	903308																													
903308000	AddNpcState	23																													
903309	AddBuff	903309																													
903310	AddBuff	903310																													
903310000	ChangeAttribValue	3|-10|																													
903311	AddBuff	903311																													
903311000	ChangeAttribValue	4|-10|																													
903312	AddBuff	903312																													
903312000	AddNpcState	2																													
903313	AddBuff	903313																													
903313000	AddNpcState	21																													
903314	AddBuff	903314																													
903314000	ChangeAttribAdditive	4||4000																													
903315	AddBuff	903315																													
903316	AddBuff	903316																													
903317	AddBuff	903317																													
903318	AddBuff	903318																													
903329	AddBuff	903329																													
903329000	AddNpcState	21																													
903330	AddBuff	903330																													
903330000	AddNpcState	22																													
903331	AddBuff	903331																													
903321	AddBuff	903321																													
903321000	AddBehavior	903321																													
903322	AddBuff	903322																													
903322000	AddBehavior	903322																													
903323	AddBuff	903323																													
903323000	AddBehavior	903323																													
903324	AddBuff	903324																													
903324000	AddBehavior	903324																													
903325	AddBuff	903325																													
903325000	AddBehavior	903325																													
903326	AddBuff	903326																													
903326000	ChangeAttribValue	5|0|50000																													
903327	AddBuff	903327																													
903327000	ChangeAttribValue	3|0|3000																													
903328	AddBuff	903328																													
903328000	ChangeAttribValue	5|0|50000																													
903332	ShakeCamera	6|00.2|-1|17|00.15|0																													
903333	ShakeCamera	7|00.25|-00.7|20|00.2|1																													
903334	ShakeCamera	5|00.5|-00.5|16|00.2|0																													
903335	ShakeCamera	2|00.4|-1|15|00.2|0																													
903336	ShakeCamera	2|00.4|-1|20|00.15|0																													
903337	ShakeCamera	7|00.35|-1|15|00.1|1																													
903338	ShakeCamera	6|00.35|-1|15|00.1|2																													
903339	ShakeCamera	7|00.35|-1|15|00.1|3																													
903340	ShakeCamera	6|00.35|-1|15|00.1|4																													
903341	ShakeCamera	7|00.35|-1|15|00.1|5																													
903342	ShakeCamera	6|00.4|-1|17|00.2|6																													
903401	AddBuff	903401																													
903401000	AddNpcState	27																													
903402	AddBuff	903402																													
903402000	AddNpcState	21																													
903403	Damage	1|0|500|0|0|||																													
903404	Damage	1|0|200|0|0|||																													
903405	Damage	1|0|300|0|0|||																													
903406	Damage	1|0|200|0|0|||																													
903407	Damage	1|0|400|0|0|||																													
903408	Damage	1|0|500|0|0|||																													
903409	Damage	1|0|400|0|0|||																													
903410	AddBuff	903410																													
903410000	ChangeAttribAdditive	4||-5000																													
903411	AddBuff	903411																													
903412	AddBuff	903412																													
903412000	AddBehavior	903412																													
903413	AddBuff	903413																													
903414	AddBuff	903414																													
903415	AddBuff	903415																													
903416	ShakeCamera	3|00.2|-00.5|15|00.2|0																													
903417	ShakeCamera	7|00.25|-00.6|12|00.21|1																													
903418	ShakeCamera	6|00.25|-00.7|15|00.21|2																													
903419	ShakeCamera	7|00.3|-00.7|18|00.25|3																													
903420	ShakeCamera	2|00.3|-00.5|20|00.2|4																													
903421	ShakeCamera	5|00.6|-00.5|17|00.35|5																													
903422	ShakeCamera	3|00.35|-00.5|15|00.35|6																													
903423	AddBuff	903423																													
903423000	AddBehavior	903423																													
904401	ShakeCamera	5|00.6|-00.5|17|00.3|0																													
904402	ShakeCamera	3|00.3|-1|10|00.15|0																													
904403	ShakeCamera	3|00.4|-00.5|15|00.3|0																													
904404	ShakeCamera	5|00.6|-00.5|20|00.3|0																													
819050	AddBuff	819050																													
819050000	AddBehavior	819050																													
819051	AddBuff	819051																													
819051000	AddBehavior	819051																													
819052	AddBuff	819052																													
819053	AddBuff	819053																													
819053000	AddNpcState	21																													
819054	AddBuff	819054																													
819054000	AddNpcState	22																													
819055	AddBuff	819055																													
819055000	HideJoint	ModelCase																													
819056	AddBuff	819056																													
819056000	AddNpcState	11																													
819057	AddBuff	819057																													
819057000	AddNpcState	26																													
819058	AddBuff	819058																													
819058000	HideJoint	E3SwordMd090011																													
819059	AddBuff	819059																													
819059000	AddBehavior	819059																													
819060	AddBuff	819060																													
819060000	AddBehavior	819060																													
819061	AddBuff	819061																													
819061000	ChangeAttribValue	5|0|20000																													
995501	AddBuff	995501																													
995501000	AddBehavior	995501																													
995502	AddBuff	995502																													
995502000	AddBehavior	995502																													
995503	AddBuff	995503																													
995504	AddBuff	995504																													
995505	AddBuff	995505																													
995506	AddBuff	995506																													
995506000	AddBehavior	995506																													
995507	AddBuff	995507																													
995507000	AddBehavior	995507																													
995508	AddBuff	995508																													
995509	AddBuff	995509																													
995510	AddBuff	995510																													
995511	AddBuff	995511																													
995512	AddBuff	995512																													
995512000	AddBehavior	995512																													
995513	AddBuff	995513																													
995513000	ChangeTimeScale	00.2|5|0|0																													
995514	AddBuff	995514																													
995514000	AddNpcState	27																													
995515	AddBuff	995515																													
995515000	AddNpcState	27																													
995516	AddBuff	995516																													
995516000	AddNpcState	27																													
995517	AddBuff	995517																													
995517000	AddNpcState	27																													
995518	AddBuff	995518																													
995518000	AddNpcState	27																													
995519	AddBuff	995519																													
995519000	AddNpcState	27																													
995520	AddBuff	995520																													
995520000	AddNpcState	27																													
995521	AddBuff	995521																													
995521000	AddNpcState	27																													
995522	AddBuff	995522																													
995522000	AddNpcState	27																													
995523	AddBuff	995523																													
995523000	AddNpcState	27																													
995524	AddBuff	995524																													
995524000	AddNpcState	27																													
995525	AddBuff	995525																													
995525000	AddNpcState	21																													
995526	AddBuff	995526																													
995527	AddBuff	995527																													
995527000	AddNpcState	21																													
995528	AddBuff	995528																													
995529	AddBuff	995529																													
995529000	AddNpcState	27																													
995530	AddBuff	995530																													
995530000	AddNpcState	27																													
995531	AddBuff	995531																													
995531000	AddNpcState	27																													
995532	AddBuff	995532																													
995532000	ChangeTimeScale	0|33|0|0																													
995533	AddBuff	995533																													
995533000	AddBehavior	995533																													
995534	ShakeCamera	3|00.4|-1|20|00.2|0																													
995535	ChangeTimeScale	00.2|7|0|0																													
995536	ChangeTimeScale	00.4|7|0|0																													
995537	AddBuff	995537																													
995537000	ShakeCamera	3|00.3|-1|15|00.35|0																													
995538	AddBuff	995538																													
995538000	AddBehavior	995538																													
995539	AddBuff	995539																													
995539000	AddBehavior	995539																													
995540	AddBuff	995540																													
995540000	AddBehavior	995540																													
995541	AddBuff	995541																													
995541000	AddBehavior	995541																													
995542	AddBuff	995542																													
995542000	AddBehavior	995542																													
995543	AddBuff	995543																													
995543000	AddBehavior	995543																													
995544	AddBuff	995544																													
995544000	AddBehavior	995544																													
995545	AddBuff	995545																													
995545000	AddBehavior	995545																													
995546	AddBuff	995546																													
995546000	AddBehavior	995546																													
995547	AddBuff	995547																													
995547000	AddBehavior	995547																													
995548	AddBuff	995548																													
995548000	AddWeapon	2024001																													
995549	AddBuff	995549																													
995549000	ShakeCamera	6|00.12|-00.4|12|00.3|0																													
995550	AddBuff	995550																													
995550000	ShakeCamera	2|00.2|-00.5|11|00.2|0																													
995551	AddBuff	995551																													
995551000	ShakeCamera	5|00.3|-00.5|11|00.2|1																													
995552	AddBuff	995552																													
995552000	ShakeCamera	4|00.4|-1|17|00.2|2																													
995553	AddBuff	995553																													
995553000	ShakeCamera	2|00.15|-00.4|12|00.1|0																													
995554	AddBuff	995554																													
995554000	ShakeCamera	2|00.25|-00.7|16|00.25|1																													
995555	AddBuff	995555																													
995555000	ShakeCamera	3|00.1|-00.5|10|00.1|0																													
995556	AddBuff	995556																													
995556000	ShakeCamera	6|00.2|-1|17|00.2|1																													
995557	AddBuff	995557																													
995557000	ShakeCamera	3|00.18|-00.5|10|00.15|0																													
995558	AddBuff	995558																													
995558000	ShakeCamera	3|00.2|-00.4|12|00.1|0																													
995559	AddBuff	995559																													
995559000	ShakeCamera	7|00.3|-00.7|15|00.2|1																													
995598	AddBuff	995598																													
995598000	AddNpcState	27																													
999901	AddBuff	999901																													
999901000	Damage	0|10|0|0|0|0||																													
999902	AddBuff	999902																													
999902000	Damage	0|20|0|0|0|0||																													
999903	AddBuff	999903																													
999903000	AddBehavior	999903																													
999904	AddBuff	999904																													
999904000	AddBehavior	999904																													
813050	AddBuff	813050																													
813050000	AddBehavior	813050																													
813051	AddBuff	813051																													
813051000	AddBehavior	813051																													
813052	AddBuff	813052																													
813052000	AddBehavior	813052																													
813053	AddBuff	813053																													
813053000	AddBehavior	813053																													
813054	AddBuff	813054																													
813054000	AddBehavior	813054																													
813055	AddBuff	813055																													
813055000	AddBehavior	813055																													
813056	AddBuff	813056																													
813056000	AddBehavior	813056																													
813057	AddBuff	813057																													
813057000	AddBehavior	813057																													
813058	AddBuff	813058																													
813058000	ShakeCamera	7|00.35|-00.2|10|00.3|0																													
813059	AddBuff	813059																													
813059000	AddAttribValue	1|0|-10000																													
813060	AddBuff	813060																													
813060000	AddNpcState	26																													
995201	AddBuff	995201																													
995201000	AddBehavior	995201																													
995202	AddBuff	995202																													
995202000	AddNpcState	27																													
995203	AddBuff	995203																													
995203000	HideJoint	Jian																													
995204	AddBuff	995204																													
995204000	RemoveBuff	995203|																													
995205	AddBuff	995205																													
995205000	ChangeAttribValue	4|0|30000																													
995206	ShakeCamera	5|00.4|-00.5|10|00.2|0																													
995207	ShakeCamera	5|00.5|-00.6|15|00.3|1																													
995208	ShakeCamera	3|00.35|-00.6|12|00.2|2																													
995209	ShakeCamera	7|00.2|-00.4|17|00.15|3																													
995210	ShakeCamera	5|00.6|-00.58|16|00.25|4																													
995211	AddBuff	995211																													
995212	AddBuff	995212																													
995212000	ChangeAttribValue	5|0|8000																													
995213	AddBuff	995213																													
995213000	ChangeAttribValue	5|0|3000																													
995214	AddBuff	995214																													
995214000	ChangeAttribValue	5|0|-10000																													
818015	AddBuff	818015																													
818016	AddBuff	818016																													
818017	AddBuff	818017																													
818018	AddBuff	818018																													
815050	AddBuff	815050																													
815050000	AddBehavior	815050																													
815051	AddBuff	815051																													
815051000	Damage	3|0|200|0|0|||0																													
815052	AddBuff	815052																													
815052000	Damage	3|0|300|0|0|||0																													
815053	AddBuff	815053																													
815053000	HideJoint	ModelCase																													
815054	AddBuff	815054																													
815054000	AddBehavior	815054																													
815055	AddBuff	815055																													
815055000	AddBehavior	815055																													
815056	ShakeCamera	7|00.18|-00.5|10|00.2|0																													
815057	ShakeCamera	3|00.25|-00.5|12|00.2|1																													
815058	ShakeCamera	3|00.3|-00.55|20|00.2|2																													
815059	ShakeCamera	3|00.4|-00.4|13|00.2|3																													
815060	ShakeCamera	3|00.4|-00.4|15|00.2|4																													
831050	ChangeTimeScale	00.1|6|0|0																													
995901	AddBuff	995901																													
995901000	AddBehavior	995901																													
995902	AddBuff	995902																													
995902000	AddBehavior	995902																													
995911	AddBuff	995911																													
995911000	AddWeapon	2013001																													
995912	AddBuff	995912																													
995912000	AddWeapon	2022001																													
995905	AddBuff	995905																													
995905000	AddWeapon	2032001																													
995906	AddBuff	995906																													
995906000	AddWeapon	2043001																													
995907	AddBuff	995907																													
995907000	AddWeapon	2054001																													
995908	AddBuff	995908																													
995908000	AddWeapon	2063001																													
995909	AddBuff	995909																													
995909000	AddWeapon	2076001																													
995910	AddBuff	995910																													
995910000	AddWeapon	2083001																													
995957	AddBuff	995957																													
995957000	AddNpcState	27																													
995958	AddBuff	995958																													
995958000	AddBehavior	995958																													
995959	AddBuff	995959																													
995959000	AddBehavior	995959																													
995960	AddBuff	995960																													
995960000	AddBehavior	995960																													
995961	AddBuff	995961																													
995961000	AddBehavior	995961																													
995962	AddBuff	995962																													
995962000	AddBehavior	995962																													
995963	AddBuff	995963																													
995963000	AddBehavior	995963																													
995964	AddBuff	995964																													
995964000	AddBehavior	995964																													
995965	AddBuff	995965																													
995965000	AddBehavior	995965																													
995966	AddBuff	995966																													
995966000	AddWeapon	2026002																													
995903	AddBuff	995903																													
995903000	AddBehavior	995903																													
995904	AddBuff	995904																													
995904000	AddBehavior	995904																													
995913	AddBuff	995913																													
995913000	AddBehavior	995913																													
995914	AddBuff	995914																													
995914000	AddBehavior	995914																													
995915	AddBuff	995915																													
995916	AddBuff	995916																													
995916000	RemoveBuff	995915|																													
995950	ShakeCamera	6|00.21|-00.5|10|00.14|0																													
995951	ShakeCamera	5|00.35|-1|12|00.18|1																													
995952	ShakeCamera	5|00.35|-1|15|00.18|2																													
995953	ShakeCamera	1|00.4|-1|20|00.25|3																													
995954	ShakeCamera	3|00.12|-00.5|10|00.1|0																													
995955	ShakeCamera	4|00.3|-1|15|00.15|1																													
995956	ShakeCamera	3|00.3|-00.5|15|00.25|2																													
903801	AddBuff	903801																													
903801000	PlaySound	903807|0																													
902650	Damage	1|0|1500|0|0|||																													
902651	ShakeCamera	1|00.3|-1|12|00.2|0																													
902652	ShakeCamera	1|00.4|-1|15|00.25|1																													
902653	ShakeCamera	7|00.35|-1|10|00.25|2																													
902654	ShakeCamera	1|00.35|-1|15|00.25|3																													
902655	ShakeCamera	2|00.35|-1|15|00.25|4																													
