Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
101801012	ShakeCamera	3|00.25|-2|10|00.1|0																													
101802012	ShakeCamera	4|00.3|-2|10|00.1|1																													
101802022	ShakeCamera	4|00.3|-2|10|00.1|2																													
101803012	ShakeCamera	4|00.2|-2|10|00.1|0																													
101803022	ShakeCamera	4|00.3|-2|15|00.1|1																													
101803032	ShakeCamera	2|00.25|-2|10|00.1|2																													
101804012	ShakeCamera	2|00.45|-1.5|15|00.25|0																													
101804022	ShakeCamera	2|00.35|-2|15|00.15|1																													
101805012	ShakeCamera	2|00.2|-00.5|10|00.1|0																													
101805022	ShakeCamera	2|00.25|-1|10|00.15|1																													
101806012	ShakeCamera	4|00.7|-00.5|15|00.3|0																													
101807012	ShakeCamera	4|00.6|-2|10|00.1|0																													
101808012	ShakeCamera	4|00.6|-00.5|10|00.15|0																													
101808022	ShakeCamera	2|00.5|-00.75|15|00.2|1																													
101809012	ShakeCamera	3|00.25|-2|10|00.1|0																													
101810012	ShakeCamera	4|00.3|-2|10|00.1|1																													
101810022	ShakeCamera	4|00.3|-2|10|00.1|2																													
101811012	ShakeCamera	4|00.2|-2|10|00.1|0																													
101811022	ShakeCamera	4|00.3|-2|15|00.1|1																													
101811032	ShakeCamera	2|00.25|-2|10|00.1|2																													
101812012	ShakeCamera	2|00.45|-1.5|15|00.25|0																													
101812022	ShakeCamera	2|00.35|-2|15|00.15|1																													
101813012	ShakeCamera	2|00.2|-00.5|10|00.1|0																													
101813022	ShakeCamera	2|00.25|-1|10|00.15|1																													
101814012	ShakeCamera	4|00.7|-00.5|15|00.3|0																													
101815012	ShakeCamera	4|00.6|-2|10|00.1|0																													
101816012	ShakeCamera	4|00.6|-00.5|10|00.15|0																													
101816022	ShakeCamera	2|00.5|-00.75|15|00.2|1																													
100901012	ShakeCamera	3|00.2|-00.5|10|00.15|0																													
100902012	ShakeCamera	4|00.4|-00.75|10|00.15|1																													
100902022	ShakeCamera	4|00.4|-00.75|10|00.15|3																													
100902032	ShakeCamera	2|00.35|-00.5|15|00.3|2																													
100903012	ShakeCamera	4|00.4|-00.75|8|00.25|0																													
100903022	ShakeCamera	4|00.4|-00.75|8|00.25|1																													
100904012	ShakeCamera	3|00.2|-00.5|10|00.25|0																													
100904022	ShakeCamera	5|00.35|-00.5|10|00.15|1																													
100904032	ShakeCamera	5|00.35|-00.5|10|00.15|2																													
100904042	ShakeCamera	5|00.35|-00.5|10|00.15|3																													
100904052	ShakeCamera	2|00.45|-00.5|15|00.5|5																													
100905012	ShakeCamera	4|00.4|-2|10|00.1|0																													
100905022	ShakeCamera	4|00.4|-2|10|00.1|1																													
100905032	ShakeCamera	2|00.5|-1|15|00.35|2																													
100906012	ShakeCamera	4|00.4|-2|10|00.1|0																													
100906022	ShakeCamera	4|00.4|-2|10|00.1|1																													
100906032	ShakeCamera	2|00.5|-1|15|00.35|2																													
100907012	ShakeCamera	4|00.4|-2|10|00.1|0																													
100907022	ShakeCamera	4|00.4|-2|10|00.1|1																													
100907032	ShakeCamera	2|00.5|-1|15|00.35|2																													
100911012	ShakeCamera	6|00.3|-1.5|10|00.1|1																													
100912012	ShakeCamera	6|00.3|-1.5|10|00.1|1																													
100913012	ShakeCamera	6|00.3|-1.5|10|00.1|1																													
100914012	ShakeCamera	4|00.4|-00.5|15|00.1|0																													
100914022	ShakeCamera	7|00.3|-00.5|15|00.1|1																													
100914032	ShakeCamera	7|00.3|-00.5|15|00.1|2																													
100914042	ShakeCamera	7|00.25|-00.5|15|00.1|3																													
100914052	ShakeCamera	7|00.25|-00.5|15|00.1|4																													
100914062	ShakeCamera	7|00.25|-00.5|15|00.1|5																													
100918012	ShakeCamera	6|00.3|-1.5|10|00.1|1																													
100923012	ShakeCamera	3|00.2|-00.5|10|00.15|0																													
