Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
815004112	ShakeCamera	3|00.3|-00.8|10|00.2|0																													
815055012	ShakeCamera	7|00.3|-00.5|15|00.25|0																													
816056012	ShakeCamera	5|00.65|-00.4|17|00.25|0																													
816056022	ShakeCamera	5|00.65|-1|20|00.25|1																													
816056182	ShakeCamera	1|00.25|-1|10|00.3|2																													
816056192	ShakeCamera	5|00.85|-00.6|15|00.3|3																													
816057022	ShakeCamera	3|00.3|-00.5|13|00.25|0																													
816057032	ShakeCamera	3|00.3|-00.5|13|00.25|0																													
816058022	ShakeCamera	7|00.2|-00.2|8|00.3|1																													
816062212	ShakeCamera	3|00.4|-00.4|13|00.35|0																													
816063012	ShakeCamera	5|00.6|-00.35|18|00.2|0																													
816063022	ShakeCamera	5|00.6|-00.35|18|00.2|1																													
816063042	ShakeCamera	4|00.6|-1|15|00.3|2																													
817053122	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053132	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053142	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053152	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053162	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053172	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053182	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817053192	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054122	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054132	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054142	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054152	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054162	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054172	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054182	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817054192	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817058012	ShakeCamera	2|00.1|-00.05|15|00.15|0																													
817059012	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817060032	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817060052	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817060072	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817060092	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817060112	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817060132	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817061012	ShakeCamera	1|00.05|0|20|00.1|0																													
817061022	ShakeCamera	1|00.05|0|20|00.1|0																													
817061032	ShakeCamera	1|00.05|0|20|00.1|0																													
817061042	ShakeCamera	1|00.05|0|20|00.1|0																													
817061052	ShakeCamera	1|00.05|0|20|00.1|0																													
817061062	ShakeCamera	1|00.05|0|20|00.1|0																													
817061072	ShakeCamera	1|00.05|0|20|00.1|0																													
817062012	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062022	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062032	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062042	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062052	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062062	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062072	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062082	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062092	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062102	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062112	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062122	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062132	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062142	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062152	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062162	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062172	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062182	ShakeCamera	5|00.2|-00.5|10|00.1|0																													
817062222	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817062252	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817062272	ShakeCamera	2|00.3|-00.8|15|00.2|0																													
817063122	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063142	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063162	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063182	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063202	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063222	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063242	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063262	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063282	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
817063302	ShakeCamera	2|00.15|-00.5|10|00.1|0																													
