Info	Key	X	Y
11010105	PB1	628	740
11010105	S4	1182	737
11010105	B101	1429	1174
11010105	B102	1504	621
11010105	B103	1650	1037
11010105	B104	1676	798
11010105	S1	1366	886
11010105	SP1	1163	493
11010105	B201	3313	1050
11010105	B202	3322	727
11010105	B203	3556	1183
11010105	B204	3592	599
11010105	S2	2835	863
11010105	B301	6299	833
11010105	B302	6520	1121
11010105	B303	6560	541
11010105	B304	6706	838
11010105	S3	5914	825
11010105	V2	3109	1095
11010105	Exit	7142	1337
11010105	V3	6300	1216
11010105	SP2	3004	1363
11010105	RF1	3420	1095
11010105	RF2	3298	1253
11010105	RF3	3614	984
11010105	RF4	6405	1016
11010105	RF5	6890	763
11010105	RF6	6637	700
11010104	PB1	924	838
11010104	S1	1437	895
11010104	B101	1468	1192
11010104	B102	1857	679
11010104	B103	1725	1112
11010104	B104	1809	922
11010104	Guardian1	615	793
11010104	Guardian2	1181	991
11010104	SP1	1048	462
11010104	B201	3446	1045
11010104	B202	3446	708
11010104	B203	3728	1192
11010104	B204	3750	551
11010104	S2	3234	877
11010104	B301	6304	909
11010104	B302	6598	1192
11010104	B303	6804	909
11010104	B304	6598	599
11010104	S3	5907	915
11010104	Exit1	1891	1317
11010104	Exit2	4538	915
11010104	Exit3	7163	1355
11010104	SP2	2919	1258
11010104	RF1	2767	906
11010104	RF2	2952	569
11010104	RF3	5685	1216
11010104	RF4	5439	879
11010104	RF5	5721	532
