Info	Key	X	Y
10010002	PB1	310	327
10010002	B101	922	324
10010002	B301	1308	316
10010002	B302	1722	316
10010002	B201	2027	319
10010002	B202	2106	419
10010002	B203	2156	306
10010002	B204	2082	206
10010002	B205	2232	405
10010002	B206	2211	193
10010002	B303	2628	335
10010002	B304	2628	222
10010002	B305	2628	111
10010002	B306	2148	261
10010002	B307	2896	216
10010002	B211	3395	290
10010002	B212	3400	450
10010002	B213	3516	392
10010002	B214	3547	266
10010002	B215	3476	159
10010002	B216	3348	140
10010002	B217	3282	411
10010002	B308	3930	319
10010002	B309	4396	420
10010002	B501	4722	405
10010002	B502	4681	277
10010002	B503	4900	460
10010002	B504	4885	326
10010002	B505	4842	201
10010002	B506	4731	137
