Key	CellX	CellY
VisibleObstacle		
	36	85
	37	85
	35	85
	36	86
	36	84
	37	86
	37	84
	35	86
	35	84
	36	83
	37	83
	35	83
	36	82
	37	82
	35	82
	36	81
	37	81
	35	81
	36	80
	37	80
	35	80
	36	78
	37	78
	35	78
	36	79
	36	77
	37	79
	37	77
	35	79
	35	77
	36	76
	37	76
	35	76
	36	75
	37	75
	35	75
	36	74
	37	74
	35	74
	36	73
	37	73
	35	73
	36	72
	37	72
	35	72
	36	71
	37	71
	35	71
	36	69
	37	69
	35	69
	36	70
	36	68
	37	70
	37	68
	35	70
	35	68
	36	66
	37	66
	35	66
	36	67
	36	65
	37	67
	37	65
	35	67
	35	65
	36	63
	37	63
	35	63
	36	64
	36	62
	37	64
	37	62
	35	64
	35	62
	36	61
	37	61
	35	61
	36	60
	37	60
	35	60
	36	58
	37	58
	35	58
	36	59
	36	57
	37	59
	37	57
	35	59
	35	57
	36	55
	37	55
	35	55
	36	56
	36	54
	37	56
	37	54
	35	56
	35	54
	36	52
	37	52
	35	52
	36	53
	36	51
	37	53
	37	51
	35	53
	35	51
	36	50
	37	50
	35	50
	36	49
	37	49
	35	49
	36	47
	37	47
	35	47
	36	48
	76	49
	37	48
	77	48
	35	48
	76	48
	38	48
	39	48
	38	49
	38	47
	39	49
	39	47
	40	48
	40	49
	40	47
	42	48
	43	48
	41	48
	42	49
	42	47
	43	49
	43	47
	41	49
	41	47
	45	48
	46	48
	44	48
	45	49
	45	47
	46	49
	46	47
	44	49
	44	47
	48	48
	49	48
	47	48
	48	49
	48	47
	49	49
	49	47
	47	49
	47	47
	51	48
	52	48
	50	48
	51	49
	51	47
	52	49
	52	47
	50	49
	50	47
	54	48
	55	48
	53	48
	54	49
	54	47
	55	49
	55	47
	53	49
	53	47
	57	48
	58	48
	56	48
	57	49
	57	47
	58	49
	58	47
	56	49
	56	47
	59	48
	60	48
	59	49
	59	47
	60	49
	60	47
	62	48
	63	48
	61	48
	62	49
	62	47
	63	49
	63	47
	61	49
	61	47
	65	48
	66	48
	64	48
	65	49
	65	47
	66	49
	66	47
	64	49
	64	47
	68	48
	69	48
	67	48
	68	49
	68	47
	69	49
	69	47
	67	49
	67	47
	70	48
	71	48
	70	49
	70	47
	71	49
	71	47
	73	48
	74	48
	72	48
	73	49
	73	47
	74	49
	74	47
	72	49
	72	47
	75	48
	75	49
	75	47
	76	47
	77	49
	77	47
	76	51
	77	51
	75	51
	76	52
	76	50
	77	52
	77	50
	75	52
	75	50
	76	55
	77	55
	75	55
	76	56
	76	54
	77	56
	77	54
	75	56
	75	54
	76	53
	77	53
	75	53
	76	58
	77	58
	75	58
	76	59
	76	57
	77	59
	77	57
	75	59
	75	57
	76	67
	77	67
	75	67
	76	68
	76	66
	77	68
	77	66
	75	68
	75	66
	76	65
	77	65
	75	65
	76	64
	77	64
	75	64
	76	63
	77	63
	75	63
	76	62
	77	62
	75	62
	76	61
	77	61
	75	61
	76	60
	77	60
	75	60
	76	83
	77	83
	75	83
	76	84
	76	82
	77	84
	77	82
	75	84
	75	82
	76	81
	77	81
	75	81
	76	80
	77	80
	75	80
	76	104
	75	103
	77	103
	75	79
	76	79
	76	103
	77	79
	76	78
	77	78
	75	78
	76	77
	77	77
	75	77
	76	76
	77	76
	75	76
	76	75
	77	75
	75	75
	76	74
	77	74
	75	74
	76	73
	77	73
	75	73
	76	72
	77	72
	75	72
	76	71
	77	71
	75	71
	76	70
	77	70
	75	70
	76	69
	77	69
	75	69
	76	102
	77	104
	77	102
	75	104
	75	102
	76	101
	77	101
	75	101
	76	100
	77	100
	75	100
	76	99
	77	99
	75	99
	76	96
	77	96
	75	96
	76	97
	76	95
	77	97
	77	95
	75	97
	75	95
	76	94
	77	94
	75	94
	76	93
	77	93
	75	93
	76	92
	77	92
	75	92
	76	91
	77	91
