Info	Key	X	Y
11030102	PB1	6184	1537
11030102	S1	5692	1529
11030102	B101	5862	2088
11030102	B102	5862	1054
11030102	B103	5401	2088
11030102	B104	5401	1054
11030102	B105	4926	2088
11030102	B106	4926	1054
11030102	B107	4826	1519
11030102	B201	5129	1931
11030102	B202	5632	1128
11030102	End	4583	1519
10030303	PB1	593	1685
10030303	PB2	0	0
10030303	PB3	0	0
10030303	PB4	0	0
10030303	PB5	0	0
10030303	S1	801	1685
10030303	B101	1617	1639
10030303	B102	1907	1413
10030303	B103	1927	1739
10030303	S2	2254	1529
10030303	B201	3114	1566
10030303	B202	3210	1729
10030303	B203	3224	1411
10030303	S3	3292	1566
10030303	B301	4271	1581
10030303	B302	4041	1706
10030303	B303	4037	1435
10030303	S4	4138	1574
10030303	B401	5964	1659
10030303	B402	5537	1402
10030303	B403	5536	1912
10030303	B404	5244	1211
10030303	CCJT1	4750	1830
10030303	CCJT2	4750	1294
12030101	PB1	5459	548
12030101	S1	5452	829
12030101	B101	5448	1318
12030101	B102	5213	1584
12030101	B103	5662	1580
12030101	JS	5436	2424
11040102	PB1	1251	1599
11040102	V1	1883	1523
11040102	PB2	1677	1523
11040102	S1	2795	1583
11040102	B101	3236	1785
11040102	B102	3233	1382
11040102	B103	3506	1713
11040102	B104	3506	1462
11040102	S2	4919	1522
11040102	B201	5077	1849
11040102	B202	5081	1169
11040102	B203	5475	1656
11040102	B204	5467	1345
11040102	S3	5984	1518
11040102	B301	5582	1871
11040102	B302	5586	1155
11040102	B303	5311	1656
11040102	B304	5308	1350
11040102	S4	6404	1535
11040102	V2	3320	1572
11040102	V3	5195	1516
11040102	V4	5587	1506
11040102	TLP1	4556	1530
10030304	PB1	5424	800
10030304	PB2	0	0
10030304	PB3	0	0
10030304	PB4	0	0
10030304	PB5	0	0
10030304	S1	5424	959
10030304	B101	5214	1169
10030304	B102	5628	1165
10030304	B103	0	0
10030304	S2	5425	959
10030304	B201	5428	1361
10030304	B202	5270	1572
10030304	B203	5623	1556
10030304	S3	4862	1565
10030304	B301	4071	1655
10030304	B302	4066	1457
10030304	B303	0	0
10030304	S4	3409	1563
10030304	B401	2885	1558
10030304	B402	2706	1712
10030304	B403	2706	1421
10030304	S5	0	0
10030304	B501	5217	290
10030304	B502	5686	285
10030304	B503	5217	2750
10030304	B504	5686	2750
10030304	B505	4739	1710
10030304	B506	4742	1410
10030304	B507	6377	1742
10030304	B508	6378	1422
10030304	B509	4269	1658
10030304	B510	4277	1450
10030304	B511	2557	1645
10030304	B512	2561	1459
10030304	B601	1191	1650
10030304	B602	1191	1530
10030304	B603	1888	1650
10030304	B604	1888	1530
10030304	B605	1191	1780
10030304	B606	1191	1400
10030304	B607	1888	1780
10030304	B608	1888	1400
10030304	B609	1191	1590
10030304	B610	1888	1590
10030304	S6	1540	1590
30050104	PB1	1246	1546
30050104	S1	1930	1526
30050104	S2	5193	1726
30050104	B101	3921	1584
30050104	B102	4068	1427
30050104	B111	4844	1515
30050104	B112	4896	822
30050104	B113	5468	397
30050104	B114	5836	916
30050104	B115	5889	1503
30050104	B116	5889	2033
30050104	B117	5446	2625
30050104	B118	4901	2087
30050104	B201	5805	1741
30050104	B202	5581	2014
30050104	B203	5575	1490
30050104	JX1	3791	1579
30050104	JX2	4679	1526
30050104	JX3	5459	1735
30050104	JX4	6505	1705
30050104	B103	4062	1736
30061101	PB1	623	1676
30061101	B101	1939	1729
30061101	B102	1700	1773
30061101	B103	1470	1719
30061101	B104	1939	1392
30061101	B105	1719	1387
30061101	B106	1470	1411
30061101	B111	3909	1729
30061101	B112	3913	1439
30061101	B113	3405	1768
30061101	B114	3952	1387
30061101	B115	3669	1387
30061101	B116	3410	1387
30061101	B117	4084	1709
30061101	B118	4079	1421
30061101	BOSS	3837	1582
30061101	Guardian1	3736	1771
30061101	Guardian2	3736	1397
30061101	S1	1275	1578
30061101	S2	3283	1578
70010204	PB1	593	1685
70010204	PB2	0	0
70010204	PB3	0	0
70010204	PB4	0	0
70010204	PB5	0	0
70010204	S1	801	1685
70010204	B101	1631	1640
70010204	B102	1950	1468
70010204	B103	1394	1468
70010204	S2	2254	1529
70010204	B201	3114	1566
70010204	B202	3210	1729
70010204	B203	3224	1411
70010204	S3	3292	1566
70010204	B301	4271	1581
70010204	B302	4041	1706
70010204	B303	4037	1435
70010204	S4	4138	1574
70010204	B401	6051	1685
70010204	B402	5799	1685
70010204	B403	5325	1915
70010204	B404	5244	1211
12030102	PB1	2606	1556
12030102	S1	2918	1556
12030102	B101	3713	1564
12030102	B102	3520	1720
12030102	B103	3535	1400
12030102	JS	4308	1534
