Info	Key	X	Y
30030101	PB1	4332	1979
30030101	S1	4317	2090
30030101	B101	3940	3000
30030101	B102	4140	3000
30030101	B103	4340	3000
30030101	B104	4540	3000
30030101	B105	4226	2850
30030101	B106	3940	2700
30030101	B107	4140	2700
30030101	B108	4340	2700
30030101	B109	4540	2700
30030101	S2	4285	3181
30030101	B201	5400	2500
30030101	B202	5400	2300
30030101	B203	5400	2100
30030101	B204	5400	1900
30030101	B205	5400	1700
30030101	B206	5700	2500
30030101	B207	5700	2300
30030101	B208	5700	2100
30030101	B209	5700	1900
30030101	S3	5548	2177
30030101	B301	3000	2600
30030101	B302	3000	2400
30030101	B303	3000	2200
30030101	B304	3000	2000
30030101	B305	3000	1800
30030101	B306	3300	2600
30030101	B307	3300	2400
30030101	B308	3300	2200
30030101	B309	3300	2000
30050102	PB1	4364	2066
30050102	S1	4364	2066
30050102	B101	4345	3108
30050102	B102	5085	2849
30050102	B103	5444	2089
30050102	B104	5161	1405
30050102	B105	4404	976
30050102	B106	3588	1346
30050102	B107	3283	2080
30050102	B108	3628	2804
30050102	B201	3313	2788
30050102	B202	3294	2247
30050102	B203	3313	1641
30050102	B204	3316	1128
30050102	B205	3004	2785
30050102	B206	3010	2228
30050102	B207	3028	1632
30050102	B208	3032	1116
30050102	B301	5381	3082
30050102	B302	5400	2627
30050102	B303	5418	2096
30050102	B304	5427	1570
30050102	B305	5665	3079
30050102	B306	5703	2637
30050102	B307	5727	2092
30050102	B308	5749	1567
30060101	PB1	4364	2066
30060101	S1	4364	2066
30060101	B101	3313	2780
30060101	B102	3313	2240
30060101	B103	3313	1700
30060101	B104	3313	1160
30060101	B105	5400	2510
30060101	B106	5400	1970
30060101	B107	5400	1430
30060101	B108	5400	890
11040104	PB1	3279	2167
11040104	PB2	3479	2171
11040104	S1	3684	2167
11040104	B201	4677	2166
11040104	B202	4642	2565
11040104	B203	4659	1716
11040104	B101	4169	2171
11040104	B102	3968	2555
11040104	B103	3946	1809
11040104	B1	4084	2291
11040104	B2	4325	2763
11040104	B3	4084	1458
11040104	B4	3939	2166
70010105	PB1	4795	747
70010105	S1	4741	1036
70010105	B101	4665	1318
70010105	B102	4361	1424
70010105	B103	4840	1501
70010105	B104	4064	1531
70010105	B105	5069	1737
70010105	S2	4528	1942
70010105	B201	4483	2285
70010105	B202	4170	2049
70010105	B203	4879	2087
70010105	S3	4467	2551
70010105	B301	4543	2879
70010105	B302	4201	2780
70010105	B303	4582	3237
70010105	B304	3790	3069
70010105	S4	3660	2986
70010105	B401	3036	3328
70010105	B402	2899	3001
30050103	PB1	4364	2066
30050103	S1	4364	2066
30050103	B101	3313	2788
30050103	B102	3294	2247
30050103	B103	3313	1641
30050103	B104	3316	1128
30050103	B105	3004	2785
30050103	B106	3010	2228
30050103	B107	3028	1632
30050103	B108	3032	1116
30050103	B301	5381	3082
30050103	B302	5400	2627
30050103	B303	5418	2096
30050103	B304	5427	1570
30050103	B305	5665	3079
30050103	B306	5703	2637
30050103	B307	5727	2092
30050103	B308	5749	1567
10030204	PB1	2581	2181
10030204	PB2	880	2287
10030204	PB3	880	2128
10030204	PB4	1010	2287
10030204	PB5	1006	2126
10030204	B101	3367	2107
10030204	B102	3667	2326
10030204	B103	3653	1850
10030204	B104	815	1615
10030204	B201	4100	2115
10030204	B202	4300	1831
10030204	B203	4300	2363
10030204	B301	4800	1826
10030204	B302	4800	2351
10030204	B303	3704	2118
10030204	S1	2880	2164
10030204	S2	3572	2108
10030204	S3	3870	2076
10030204	B401	5567	2064
10030204	B402	5877	2339
10030204	B403	5887	1765
10030204	B404	5448	2289
10030204	B405	5178	1655
10030204	S4	4897	2119
10030204	NPC1	2790	1884
10030204	JS	1688	2134
30050101	PB1	4364	2066
30050101	S1	4364	2066
30050101	B101	4345	3108
30050101	B102	4956	2922
30050101	B103	5446	2206
30050101	B104	5267	1527
30050101	B105	4770	1067
30050101	B106	3973	1067
30050101	B107	3473	1459
30050101	B108	3280	2176
30050101	B109	3638	2804
10030203	PB1	5968	3099
10030203	S1	4364	2066
10030203	B101	4230	2315
10030203	B102	3675	2442
10030203	B103	4143	1847
10030203	DN1	5139	3088
10030203	NPC1	5753	3099
10030203	B201	4416	2233
10030203	B202	3998	2219
10030203	B203	4366	1833
10030203	B301	4616	2119
10030203	B302	4212	1833
10030203	B303	4852	1651
10030203	S2	4939	2734
10030203	S3	4875	2718
10030203	S4	4737	2529
10030203	S5	4715	2452
10030203	B401	4169	2068
10030203	B402	4521	1987
10030203	B403	3851	2258
10030203	B501	4697	1992
10030203	B502	4078	2217
10030203	B503	5046	2226
10030203	NPC2	5262	3081
30010801	PB1	4286	2298
30010801	S1	4440	2295
30010801	B101	4270	2741
30010801	B102	4050	1977
30010801	B103	4732	2433
30010801	B104	4581	1994
30010801	B105	3880	2439
30010801	B201	4516	2610
30010801	B202	4326	1971
30010801	B203	4673	2217
30010801	B204	3959	2200
30010801	B205	4077	2613
30010801	S2	4296	2298
30010801	B301	4293	2616
30010801	B302	4011	2400
30010801	B303	4142	2076
30010801	B304	4506	2105
30010801	B305	4614	2390
30010801	S3	4290	2298
