Key	CellX	CellY
VisibleObstacle		
	21	27
	22	27
	20	27
	21	28
	21	26
	22	28
	22	26
	20	28
	20	26
	21	25
	22	25
	20	25
	23	26
	23	27
	23	25
	22	24
	23	24
	21	24
	24	25
	24	26
	24	24
	23	23
	24	23
	22	23
	25	24
	25	25
	25	23
	24	22
	25	22
	23	22
	26	23
	26	24
	26	22
	25	21
	26	21
	24	21
	27	22
	27	23
	27	21
	28	22
	28	23
	28	21
	29	22
	29	23
	29	21
	30	22
	30	23
	30	21
	29	24
	30	24
	28	24
	29	25
	30	25
	28	25
	27	24
	27	25
	26	25
	27	26
	28	26
	26	26
	29	26
	30	26
	31	24
	31	25
	31	23
	31	22
	32	23
	32	24
	32	22
	31	21
	32	21
	33	21
	32	20
	33	22
	33	20
	31	20
	32	19
	33	19
	31	19
	34	20
	34	21
	34	19
	33	18
	34	18
	32	18
	35	18
	34	17
	35	19
	35	17
	33	17
	34	16
	35	16
	33	16
	36	17
	36	18
	36	16
	35	15
	36	15
	34	15
	37	15
	36	14
	37	16
	37	14
	35	14
	37	17
	36	19
	35	20
	35	21
	34	22
	33	23
	34	23
	33	24
	32	25
	33	25
	31	26
	32	26
	35	22
	36	20
	37	18
	36	13
	37	13
	35	13
	38	14
	38	15
	38	13
	37	12
	38	12
	36	12
	39	13
	39	14
	39	12
	38	11
	39	11
	37	11
	40	12
	40	13
	40	11
	39	10
	40	10
	38	10
	41	11
	41	12
	41	10
	40	9
	41	9
	39	9
	42	10
	42	11
	42	9
	43	10
	43	11
	43	9
	44	9
	43	8
	44	10
	44	8
	42	8
	45	9
	45	10
	45	8
	44	7
	45	7
	43	7
	46	8
	46	9
	46	7
	47	8
	47	9
	47	7
	46	6
	47	6
	45	6
	46	10
	44	11
	45	11
	42	12
	43	12
	48	7
	48	8
	48	6
	49	7
	49	8
	49	6
	48	5
	49	5
	47	5
	50	6
	50	7
	50	5
	49	4
	50	4
	48	4
	51	5
	51	6
	51	4
	52	5
	52	6
	52	4
	51	3
	52	3
	50	3
	53	4
	53	5
	53	3
	54	3
	53	2
	54	4
	54	2
	52	2
	55	3
	55	4
	55	2
	56	3
	56	4
	56	2
	54	5
	55	5
	53	6
	52	7
	53	7
	51	7
	51	8
	52	8
	50	8
	50	9
	51	9
	49	9
	48	9
	54	6
	54	7
	55	6
	56	5
	56	6
	57	4
	57	5
	57	3
	54	1
	55	1
	53	1
	56	1
	57	1
	56	0
	57	2
	57	0
	55	0
	58	1
	58	2
	58	0
	59	1
	59	2
	59	0
	60	1
	60	2
	60	0
	61	1
	61	2
	61	0
	62	1
	62	2
	62	0
	63	1
	63	2
	63	0
	64	2
	63	3
	64	3
	64	1
	62	3
	65	2
	65	3
	65	1
	66	2
	66	3
	66	1
	67	2
	67	3
	67	1
	68	2
	68	3
	68	1
	69	2
	69	3
	69	1
	70	2
	70	3
	70	1
	71	2
	71	3
	71	1
	70	4
	71	4
	69	4
	72	3
	72	4
	72	2
	73	4
	72	5
	73	5
	73	3
	71	5
	74	4
	74	5
	74	3
	75	5
	74	6
	75	6
	75	4
	73	6
	76	6
	75	7
	76	7
	76	5
	74	7
	77	6
	77	7
	77	5
	76	8
	77	8
	75	8
	78	7
	78	8
	78	6
	77	9
	78	9
	76	9
	73	7
	72	6
	71	6
	70	5
	74	8
	75	9
	77	10
	78	10
	76	10
	77	11
	78	11
	76	11
	79	10
	79	11
	79	9
	78	12
	79	12
	77	12
	80	11
	80	12
	80	10
	79	13
	80	13
	78	13
	81	12
	81	13
	81	11
	80	14
	81	14
	79	14
	80	15
	81	15
	79	15
	80	16
	81	16
	79	16
	82	15
	82	16
	82	14
	81	17
	82	17
	80	17
	83	16
	83	17
	83	15
	82	18
	83	18
	81	18
	82	19
	83	19
	81	19
	84	18
	84	19
	84	17
	83	20
	84	20
	82	20
	85	19
	85	20
	85	18
	84	21
	85	21
	83	21
	84	22
	85	22
	83	22
	86	21
	86	22
	86	20
	85	23
	86	23
	84	23
	85	24
	86	24
	84	24
	85	25
	86	25
	84	25
	83	24
	83	25
	83	23
	84	26
	85	26
	83	26
	82	25
	82	26
	82	24
	81	24
	82	23
	81	25
	81	23
	80	24
	80	25
	80	23
	79	24
	79	25
	79	23
	80	22
	81	22
	79	22
	78	22
	79	21
	80	21
	78	23
