Key	CellX	CellY
VisibleObstacle		
	26	2
	27	2
	25	2
	26	3
	26	1
	27	3
	27	1
	25	3
	25	1
	28	2
	28	3
	28	1
	29	2
	29	3
	29	1
	30	2
	30	3
	30	1
	31	2
	31	3
	31	1
	32	2
	32	3
	32	1
	33	2
	33	3
	33	1
	34	2
	34	3
	34	1
	35	2
	35	3
	35	1
	36	2
	36	3
	36	1
	37	2
	37	3
	37	1
	38	2
	38	3
	38	1
	39	2
	39	3
	39	1
	40	2
	40	3
	40	1
	41	2
	41	3
	41	1
	42	2
	42	3
	42	1
	43	2
	43	3
	43	1
	44	2
	44	3
	44	1
	45	2
	45	3
	45	1
	46	2
	46	3
	46	1
	47	2
	47	3
	47	1
	48	2
	48	3
	48	1
	49	2
	49	3
	49	1
	50	2
	50	3
	50	1
	51	2
	51	3
	51	1
	52	2
	52	3
	52	1
	54	2
	55	2
	53	2
	54	3
	54	1
	55	3
	55	1
	53	3
	53	1
	56	2
	56	3
	56	1
	57	2
	57	3
	57	1
	23	2
	24	2
	22	2
	23	3
	23	1
	24	3
	24	1
	22	3
	22	1
	23	4
	24	4
	22	4
	23	5
	24	5
	22	5
	23	6
	24	6
	22	6
	23	7
	24	7
	22	7
	23	8
	24	8
	22	8
	24	9
	23	9
	24	10
	23	10
	22	10
	23	11
	24	11
	22	11
	22	9
	23	12
	24	12
	22	12
	23	13
	24	13
	22	13
	23	14
	24	14
	22	14
	23	15
	24	15
	22	15
	22	16
	23	16
	22	17
	23	17
	22	18
	23	18
	24	17
	24	18
	24	16
	23	19
	24	19
	22	19
	23	20
	24	20
	22	20
	23	21
	24	21
	22	21
	23	22
	24	22
	22	22
	23	23
	24	23
	22	23
	23	24
	24	24
	22	24
	23	25
	24	25
	22	25
	23	26
	24	26
	22	26
	23	27
	24	27
	22	27
	23	28
	24	28
	22	28
	23	29
	24	29
	22	29
	23	30
	24	30
	22	30
	23	31
	24	31
	22	31
	23	32
	24	32
	22	32
	23	33
	24	33
	22	33
	23	34
	24	34
	22	34
	23	35
	24	35
	22	35
	23	36
	24	36
	22	36
	23	37
	24	37
	22	37
	23	38
	24	38
	22	38
	23	39
	24	39
	22	39
	23	40
	24	40
	22	40
	23	42
	24	42
	22	42
	23	43
	23	41
	24	43
	24	41
	22	43
	22	41
	23	44
	24	44
	22	44
	21	43
	21	44
	21	42
	20	43
	20	44
	20	42
	19	43
	19	44
	19	42
	18	43
	18	44
	18	42
	17	43
	17	44
	17	42
	16	43
	16	44
	16	42
	15	43
	15	44
	15	42
	14	43
	14	44
	14	42
	13	43
	13	44
	13	42
	12	43
	12	44
	12	42
	11	43
	11	44
	11	42
	10	42
	11	41
	12	41
	10	43
	10	41
	9	41
	10	40
	11	40
	9	42
	9	40
	8	40
	9	39
	10	39
	8	41
	8	39
	7	39
	8	38
	9	38
	7	40
	7	38
	0	36
	7	37
	8	37
	1	36
	0	35
	0	34
	1	34
	1	35
	0	33
	3	35
	1	33
	3	34
	3	33
	2	35
	2	33
	4	34
	2	34
	1	38
	1	39
	1	37
	0	38
	0	39
	0	37
	0	40
	1	40
	0	41
	1	41
	0	42
	1	42
	0	43
	1	43
	0	44
	1	44
	0	45
	1	45
	0	46
	1	46
	0	47
	1	47
	0	48
	1	48
	0	49
	1	49
	0	50
	1	50
	0	51
	1	51
	0	52
	1	52
	0	54
	1	54
	0	55
	0	53
	1	55
	1	53
	0	56
	1	56
	0	57
	1	57
	1	58
	2	58
	0	58
	1	59
	2	59
	3	55
	0	59
	4	55
	3	58
	3	59
	4	57
	2	57
	4	59
	4	56
	2	56
	5	59
	2	55
	3	57
	6	59
	3	56
	7	59
	7	60
	7	58
	8	59
	8	60
	8	58
	9	60
	9	59
	10	60
	10	59
	11	60
	11	61
	11	59
	12	61
	11	62
	12	62
	12	60
	12	59
	13	60
	13	61
	13	62
	13	63
	12	63
	12	64
	11	64
	10	64
	11	63
	10	63
	9	64
	9	63
	8	63
	7	63
	8	64
	6	63
	8	65
	8	66
	8	67
	9	67
	9	68
	9	69
	10	69
	10	70
	9	71
	9	70
	9	72
	8	74
	9	74
	7	74
	8	75
	8	73
	9	75
	9	73
	7	75
	7	73
	8	72
	7	72
	8	71
	7	71
	8	70
	7	70
	8	69
	7	69
	8	68
	7	68
	7	67
	6	67
	7	66
	6	68
	6	66
	7	65
	6	65
	7	64
	6	64
	11	75
	12	75
	10	75
	11	76
	11	74
	12	76
	12	74
	10	76
	10	74
	13	75
	14	75
	13	76
	13	74
	14	76
	14	74
	15	75
	15	76
	15	74
	16	75
	16	76
	16	74
	17	75
	17	76
	17	74
	16	77
	17	77
	15	77
	17	79
	15	79
	16	79
	15	78
	15	80
	17	78
	19	80
	18	79
	16	80
	18	80
	18	81
	19	79
	18	83
	17	80
	19	81
	17	83
	18	84
	19	84
	16	78
	17	81
	17	84
	17	82
	20	84
	19	83
	18	82
	22	86
	20	85
	20	86
	19	82
	19	85
	23	86
	22	87
	23	87
	22	84
	20	83
	24	86
	22	85
	21	86
	24	88
	21	87
	25	86
	24	87
	25	87
	23	88
	21	83
	18	85
	21	84
	23	85
	25	88
	21	85
	27	87
	28	87
	26	87
	27	88
	27	86
	28	88
	28	86
	26	88
	26	86
	29	87
	29	88
	29	86
	30	87
	30	88
	30	86
	31	87
	31	88
	31	86
	32	87
	32	88
	32	86
	33	87
	33	88
	33	86
	34	87
	34	88
	34	86
	35	87
	35	88
	35	86
	36	87
	36	88
	36	86
	37	87
	37	88
	37	86
	38	87
	38	88
	38	86
	39	87
	39	88
	39	86
	40	87
	40	88
	40	86
	41	87
	41	88
	41	86
	42	87
	42	88
	42	86
	43	87
	43	88
	43	86
	44	87
	44	88
	44	86
	45	87
	45	88
	45	86
	46	87
	46	88
	46	86
	47	88
	47	87
	47	86
	48	88
	48	87
	48	86
	49	88
	47	90
	49	89
	48	90
	50	90
	49	90
	49	91
	47	89
	48	89
	50	91
	50	89
	48	91
	53	94
	54	94
	52	94
	53	95
	53	93
	54	95
	54	93
	52	95
	52	93
	50	94
	51	94
	49	94
	50	95
	50	93
	51	95
	51	93
	49	95
	49	93
	48	93
	49	92
	50	92
	48	94
	48	92
	56	94
	57	94
	55	94
	56	95
	56	93
	57	95
	57	93
	55	95
	55	93
	58	94
	59	94
	58	95
	58	93
	59	95
	59	93
	61	94
	62	94
	60	94
	61	95
	61	93
	62	95
	62	93
	60	95
	60	93
	67	75
	69	75
	68	75
	67	71
	69	76
	67	73
	68	74
	69	71
	68	76
	69	73
	68	71
	68	73
	67	72
	69	72
	68	72
	67	68
	67	70
	69	68
	69	70
	68	68
	68	70
	69	77
	67	74
	67	77
	69	69
	68	77
	67	69
	68	69
	66	68
	66	70
	65	68
	65	70
	66	69
	65	69
	64	70
	64	68
	61	69
	63	70
	63	68
	62	69
	63	69
	64	69
	60	67
	60	70
	60	68
	61	68
	62	70
	62	68
	61	70
	67	78
	67	76
	69	78
	69	74
	68	78
	68	79
	69	79
	67	79
	68	80
	69	80
	67	80
	68	81
	69	81
	67	81
	68	82
	69	82
	67	82
