Info	Key	X	Y
80010502	PB1	1250	69000
80010502	PB2	750	69000
80010502	PB3	1750	69000
80010502	H01	1250	68600
80010502	H02	750	68600
80010502	H03	1750	68600
80010502	End	1250	3400
80010502	End02	750	3400
80010502	End03	1750	3400
90090001	PB1	1420	26000
90090001	B101	1420	25500
90090001	B102	1420	25000
11080105	PB1	1282	19774
11080105	B101	1388	18244
11080105	S1	1379	19018
11080105	NPC1	887	19273
10080404	PB1	1339	26258
10080404	B101	1339	25417
10080404	S1	1339	25819
10080404	CCJT1	374	26166
10080404	CCJT2	2301	26166
11080104	PB1	1450	22817
11080104	B101	1482	22185
11080104	S1	1477	22753
11080104	B102	1160	21809
11080104	B103	1758	21765
11080104	S2	1576	21708
11080104	B201	1231	21134
11080104	B202	1774	21140
11080104	B203	1134	23747
11080104	S3	1358	20217
11080104	B301	1331	19900
11080104	B302	1074	19909
11080104	B303	1598	19892
11080104	NPC1	1362	20221
11080104	B304	767	20179
11080104	B305	767	20444
11080104	B306	783	19913
11080104	B307	1900	20206
11080104	B308	1905	20472
11080104	B309	1944	19880
11080103	PB1	1387	26035
11080103	B101	1341	25280
11080103	S1	1361	25541
11080103	B102	1090	24996
11080103	B103	1564	24990
11080103	S2	1391	24605
11080103	B201	1391	24127
11080103	B202	1689	23764
11080103	B203	1134	23747
11080103	S3	1424	23253
11080103	B301	1445	22944
11080103	B302	1194	22642
11080103	B303	1733	22606
