Info	Key	X	Y
10090202	PB1	1157	1211
10090202	B101	2245	1961
10090202	S1	1583	1483
10090202	ZX1	1855	1663
10090202	B111	2237	1939
10090202	End	3399	296
30090421	PB1	897	1252
30090421	S1	1837	1670
30090421	B101	2628	2030
30090422	PB1	732	1146
30090422	S1	1805	1674
30090422	B101	2476	2508
30090422	B102	2615	2301
30090422	B103	2789	2037
30090422	B104	2939	1770
30090422	B201	2236	2421
30090422	B202	2462	2045
30090422	B203	2599	1639
30090422	B301	2236	2424
30090422	B302	2460	2045
30090422	B303	2639	1601
30090422	B401	2476	2508
30090422	B402	2885	1565
30090422	B501	2479	2508
30090422	B502	2885	1562
30090422	S2	1803	1671
30090422	S3	1806	1680
30090422	S4	1806	1680
30090422	S5	1809	1677
30090422	B105	2505	1594
30090402	PB1	1198	1247
30090402	S1	1839	1680
30090402	A1	2167	1920
30090402	B101	2243	2342
30090402	B102	2630	1868
30090402	B103	2611	2398
30090402	B104	2784	2177
30090402	B201	2242	2343
30090402	B202	2631	1868
30090402	B203	2611	2400
30090402	B204	2784	2179
30090402	S2	1840	1684
30090423	PB1	891	1056
30090423	S1	1862	1664
30090423	S2	1862	1661
30090423	S3	1862	1661
30090423	B101	2384	2577
30090423	B102	2910	1610
30090423	B103	2337	2274
30090423	B104	2483	2037
30090423	B105	2636	1767
30090423	B201	2483	2033
30090423	B202	2585	2281
30090423	B203	2764	1942
30090423	B204	2921	2234
30090423	B301	2220	1814
