Info	Key	X	Y
90090001	PB1	730	1775
90090001	B101	1776	1784
10090104	dianguangyuan	3100	1832
10090104	fanshejing1	2291	2691
10090104	fanshejing2	2291	1015
10090104	fanshejing3	1456	1841
10090104	fanshejing4	636	1029
10090104	fanshejing5	629	2698
10090104	zhongdian	615	1832
10090104	PB1	2136	2346
10090104	S1	1151	1839
10090104	B101	1410	2070
10090104	B102	1410	1609
10090104	B103	1661	2130
10090104	B104	1651	1535
10090104	B105	1622	1839
10090104	B201	2218	2067
10090104	B202	2209	1608
10090104	B203	2410	1425
10090104	B204	2419	2246
10090104	B205	2481	1831
10090104	S2	2138	1840
10090104	C2	2332	1835
10090102	PB1	2136	2346
10090102	S1	1640	1863
10090102	kz0	1646	1356
10090102	kz1	1646	2349
10090102	kz2	1036	2249
10090102	kz3	914	1867
10090102	kz4	2348	1831
10090102	kz5	1829	2707
10090102	kz6	1979	2707
10090102	kz7	1356	990
10090102	kz8	1184	990
10090102	C1	1046	1868
10090102	C2	2143	1845
10090102	B101	2335	2224
10090102	B102	2330	1466
10090102	B103	2685	2052
10090102	B104	2685	1634
10090102	B201	1202	2237
10090102	B202	1207	1470
10090102	B203	828	2067
10090102	B204	828	1631
10090102	S2	1624	1868
10090102	B301	1281	1486
10090102	B302	1967	1486
10090102	B303	1417	1244
10090102	B304	1834	1244
10090102	S3	1632	1821
